¿Cómo se define la Infección de Vías Urinarias (IVU) en pediatría?,Crecimiento de microorganismos en el tracto urinario asociado a sintomatología clínica compatible.
¿Cuál es la principal vía de adquisición de las IVU en el paciente pediátrico?,Vía ascendente.
¿Qué criterio define una IVU atípica respecto a la respuesta al tratamiento?,Síntomas persistentes después de $48$ horas de haber iniciado el tratamiento.
Mencione dos datos de gravedad que caracterizan a una IVU atípica.,Elevación de la creatinina o presencia de masa abdominal.
¿Cuál es el agente etiológico responsable del $90\%$ de las IVU pediátricas?,$Escherichia$ $coli$.
¿Qué porcentaje de los recién nacidos prematuros desarrollan ictericia en la primera semana de vida?,El $80\%$.
¿Cuál es el factor de riesgo anatómico masculino relacionado con la IVU?,Fimosis fisiológica.
"¿Cómo se clasifica una IVU que presenta inflamación de la mucosa vesical, disuria y dolor suprapúbico?",Infección del tracto urinario baja o no complicada (Cistitis).
Definición de Pielonefritis aguda:,Infección piógena difusa de la pelvis y parénquima renal con síntomas sistémicos como fiebre ($>38^{\circ}C$).
¿Qué término describe una IVU causada por la reaparición de bacterias en un sitio dentro del tracto urinario?,Infección persistente.
¿Cuál es la diferencia entre infección recurrente por mismo patógeno vs. reinfección?,La recurrente es por el mismo patógeno y la reinfección es provocada por otro patógeno.
¿Qué condición clasifica automáticamente una IVU como complicada independientemente de otros factores?,La presencia de Pielonefritis.
¿Cuáles son los síntomas más frecuentes de IVU en lactantes menores de $3$ meses?,"Fiebre, vómito, letargia e irritabilidad."
¿Qué síntomas de IVU son más frecuentes en niños mayores de $3$ meses?,"Fiebre, polaquiuria y disuria."
¿Cuál es el estándar de oro para el diagnóstico definitivo de IVU?,Urocultivo.
¿Qué hallazgos en la tira reactiva sugieren un diagnóstico presuntivo de IVU?,Nitritos positivos y/o esterasa leucocitaria positiva.
¿Cuál es el recuento de colonias significativo para diagnóstico de IVU mediante punción suprapúbica?,"$>10,000$ UFC/ml."
¿Cuál es el recuento de colonias significativo para diagnóstico de IVU mediante cateterismo vesical transuretral?,"$>100,000$ UFC/ml."
¿Por qué no se debe utilizar la bolsa urinaria para la recolección de urocultivo?,Por el alto riesgo de contaminación de la muestra.
¿En qué pacientes pediátricos está indicado el ultrasonido renal como primer estudio de imagen?,En menores de $2$ años con su primera IVU o en casos de IVU atípica.
¿Cuál es la indicación principal para realizar una Cistouretrografía Miccional (CUGM)?,"Pacientes con IVU recurrente, resistencia al tratamiento o anomalías detectadas en USG."
¿Qué estudio es el más sensible para detectar cicatrices renales?,Gramagrama renal con Tc-99 (DMSA).
¿Cuál es el tratamiento antibiótico empírico de elección para lactantes menores de $3$ meses con IVU?,Hospitalización con Aminoglucósido + Ampicilina.
"En IVU no complicada en niños de $3$ meses a $2$ años, ¿cuál es el fármaco de primera elección?",Trimetoprim-Sulfametoxazol (TMP-SMX).
¿Cuál es el tratamiento ambulatorio de elección para una Pielonefritis?,Cefalosporina de tercera generación (Cefixima).
"En zonas de alto riesgo de resistencia, ¿qué antibiótico se prefiere para niños menores de $6$ años?",Cefalosporinas de segunda generación (Cefalexina) o Amoxicilina.
"En zonas de alto riesgo de resistencia, ¿qué antibiótico se indica para niños mayores de $6$ años?",Fosfomicina.
¿Cuándo se debe solicitar un urocultivo de control tras iniciar el tratamiento?,En caso de fiebre persistente o mala evolución clínica a las $48$ horas.
¿Qué fármacos se utilizan para el tratamiento profiláctico de IVU recurrentes?,"Nitrofurantoína, TMP-SMX o Cefalexina por $10$-$24$ semanas."
¿Qué define al Reflujo Vesicoureteral (RVU)?,Flujo retrógrado de orina desde la vejiga hacia el tracto urinario superior.
