¿Qué hormona es la principal responsable del origen de la hiperplasia prostática benigna?,Dihidrotestosterona (DHT).
¿Qué enzima convierte la testosterona en dihidrotestosterona (DHT) en el tejido prostático?,La enzima $5-\alpha-\text{reductasa}$ tipo 2.
Mencione uno de los tres criterios que definen la hiperplasia prostática benigna.,Detección microscópica de hiperplasia.
¿A partir de qué edad suele presentarse la sintomatología de la HPB?,Entre los 60 y 65 años.
¿Cuál es el tumor más frecuente en hombres mayores de 50 años en México?,Hiperplasia prostática benigna.
¿Cuál es la causa más frecuente de hematuria en hombres mayores de 50 años?,Hiperplasia prostática benigna.
¿En qué zona de la próstata se desarrolla predominantemente el carcinoma prostático?,Zona periférica.
¿En qué zona de la próstata se produce el crecimiento característico de la HPB?,Zona transicional.
Mencione los tres factores de riesgo principales para desarrollar HPB.,"Edad mayor a 55 años, síndrome metabólico y raza negra."
"Categoría de síntomas de la HPB que incluye disminución del flujo, intermitencia y goteo terminal.",Síntomas de vaciamiento (obstructivos).
"Categoría de síntomas de la HPB que incluye urgencia, nicturia y polaquiuria.",Síntomas irritativos (de almacenamiento).
¿Cuáles son los dos síntomas de HPB más comúnmente reportados por los pacientes?,Nicturia y disminución del chorro urinario.
¿Cuál es el estudio clínico inicial para evaluar el tamaño y consistencia de la próstata?,Tacto rectal.
¿Qué consistencia suele tener la próstata al tacto rectal en un paciente con HPB?,Consistencia de goma (gomosa).
¿Cuál es el valor considerado normal para el Antígeno Prostático Específico (APE)?,Menor a $4 \text{ ng/ml}$.
¿En qué rango de niveles de APE se debe solicitar la medición de APE libre?,Entre $4$ y $10 \text{ ng/ml}$.
¿Qué estudio es el estándar de oro para confirmar el diagnóstico de HPB?,Biopsia transrectal de próstata.
¿Para qué se utiliza el ultrasonido vesical en el protocolo de estudio de la HPB?,Para medir la orina residual y el tamaño prostático.
¿Cuál es la conducta recomendada para un paciente con un puntaje de IPSS menor a 8?,Realizar modificaciones higiénico-dietéticas.
¿Qué rango de puntaje en la escala IPSS define una sintomatología moderada?,Entre 8 y 19 puntos.
¿Qué rango de puntaje en la escala IPSS define una sintomatología severa?,Entre 20 y 35 puntos.
¿Cuál es el fármaco de elección para pacientes con IPSS de 8-19 puntos y próstata menor a $40 \text{ ml}$?,Bloqueadores $\alpha-1$ (ej. Tamsulosina).
¿Cuál es el efecto adverso más característico de la tamsulosina?,Eyaculación retrógrada.
¿Cuánto tiempo tardan los bloqueadores alfa en reducir el IPSS en un 30-40%?,Desde el primer mes de tratamiento.
¿Cuál es el efecto de los bloqueadores alfa sobre el tamaño de la próstata?,No reducen el tamaño de la próstata.
¿Bajo qué condición de tamaño prostático se debe añadir finasteride al tratamiento con bloqueadores alfa?,Cuando la próstata mide más de $40 \text{ g}$ o $\text{ml}$.
¿Cuánto tiempo de uso de finasteride se requiere para observar una reducción del 20% en el tamaño prostático?,Seis meses de uso continuo.
Mencione dos efectos adversos del uso de finasteride.,Reducción de la libido y del volumen de eyaculación.
¿Qué fármaco para la HPB tiene el beneficio adicional de reducir el riesgo de cáncer de próstata?,Finasteride.
¿Cuál es el estándar de oro quirúrgico para próstatas con un volumen de 30 a $80 \text{ ml}$?,Resección Transuretral Prostática (RTUP).
¿Qué procedimiento endoscópico se recomienda para próstatas menores a $30 \text{ cc}$ en pacientes que desean preservar la eyaculación?,Incisión Transuretral (ITUP).
¿Cuál es la indicación principal de volumen prostático para realizar una prostatectomía abierta?,Próstatas mayores a $80 \text{ ml}$.
Mencione un criterio absoluto para el tratamiento quirúrgico de la HPB.,Retención urinaria reiterada.
¿Cuál es la complicación más común después de una cirugía de próstata?,Eyaculación retrógrada (65-70%).
¿Cuál es la complicación más grave reportada tras la cirugía de próstata?,Disfunción eréctil.
¿Qué clase de fármacos psiquiátricos están contraindicados en pacientes con HPB?,Antidepresivos tricíclicos.
¿Cuál es el agente etiológico más frecuente en la prostatitis aguda?,$E. \text{ coli}$.
¿Qué porcentaje de los casos de prostatitis aguda se asocia a manipulación del tracto urinario (como biopsia)?,30% de los casos.
¿Por qué debe suspenderse el tacto rectal en un paciente con sospecha de prostatitis si presenta dolor intenso?,Para evitar el riesgo de sepsis y retención urinaria.
¿Por qué no se recomienda medir el APE durante la fase aguda de una prostatitis?,Porque estará elevado y tardará hasta 3 meses en normalizarse.
¿Cuál es el esquema antibiótico de elección para la prostatitis aguda?,Aminoglucósidos combinados con cefalosporinas de amplio espectro o ampicilina.
¿Cuál es la duración recomendada del tratamiento antibiótico en la prostatitis aguda?,Hasta por 4 semanas.
¿Qué hallazgo en el líquido prostático define a la prostatitis crónica?,Más de 10 leucocitos por campo.
¿Cómo se denomina a la condición donde el paciente tiene síntomas perineales pero los estudios diagnósticos son normales?,Prostatodinia.
¿Qué estudio de imagen está indicado específicamente en pacientes con prostatitis que no responden al manejo médico inicial?,Ultrasonido transrectal o TAC (para buscar abscesos).
Mencione una indicación para hospitalizar a un paciente con prostatitis.,Diabetes o inmunosupresión (pacientes de alto riesgo).
¿Qué síntoma postmiccional se caracteriza por la sensación de no haber vaciado la vejiga por completo?,Tenesmo vesical.
¿A qué se debe el goteo terminal en la sintomatología de la HPB?,A la obstrucción del flujo de orina por el crecimiento prostático.
¿Cuál es el valor de APE a partir del cual se debe derivar a urología para biopsia de forma directa?,Mayor a $10 \text{ ng/ml}$.
¿Bajo qué circunstancia se utiliza el ultrasonido transrectal de próstata según la guía?,Únicamente cuando se va a realizar una biopsia.
¿Qué complicación renal justifica el tratamiento quirúrgico absoluto de la HPB?,Hidronefrosis retrógrada.
¿Qué hallazgo físico en la prostatitis aguda se considera un signo de alarma durante el tacto?,Crepitación o aumento de temperatura local.
¿Cuál es la utilidad de los alfa-bloqueadores en el contexto de una prostatitis?,Reducir el riesgo de retención urinaria y facilitar la micción.
¿Cuál es el síntoma principal reportado en la prostatitis crónica?,Dolor perineal (sensación de incomodidad prolongada al estar sentado).
¿Qué factor de riesgo para HPB se asocia con un estado de inflamación crónica y resistencia a la insulina?,Síndrome metabólico.
