     1→¿Cuál es el tiempo máximo de evolución que suele definir a un abdomen agudo no traumático?,"Generalmente menos de 48 horas, pudiendo extenderse hasta 6 días."
     2→¿Cómo se define el abdomen agudo no traumático en cuanto a la repercusión del paciente?,Como un síndrome clínico con repercusión del estado general que requiere diagnóstico rápido por posible cirugía urgente.
     3→Menciona tres signos frecuentes de peritonismo en el abdomen agudo.,"Rigidez abdominal, incremento de la sensibilidad (con o sin rebote) y defensa o resistencia involuntaria."
     4→¿Qué porcentaje de precisión diagnóstica ofrece la laparoscopía en el abdomen agudo?,Aproximadamente un 95%.
     5→¿Cuál es el propósito de una laparoscopía diagnóstica pura?,Permitir descartar o confirmar una patología sin realizar una intervención terapéutica adicional.
     6→¿Para qué se utiliza la cirugía asistida por laparoscopía?,Para determinar la mejor técnica quirúrgica y planear una laparotomía más dirigida.
     7→¿Qué define a la cirugía laparoscópica pura?,Es aquella donde se trata completamente la patología identificada sin necesidad de conversión a cirugía abierta.
     8→Menciona tres causas gastrointestinales de abdomen agudo por perforación.,"Úlcera péptica perforada, diverticulitis y cáncer."
     9→Menciona las tres principales causas gineco-obstétricas de abdomen agudo no traumático.,"Embarazo ectópico roto, enfermedad pélvica inflamatoria y torsión de quiste ovárico."
    10→¿Qué estado hemodinámico se requiere para realizar una laparoscopía diagnóstica?,Estabilidad hemodinámica (ausencia de choque hipovolémico o séptico).
    11→Menciona una contraindicación absoluta para la laparoscopía en abdomen agudo.,Trastornos severos de la coagulación no corregidos.
    12→¿Cuál es el estudio de imagen auxiliar de elección para un paciente con dolor abdominal?,Tomografía Axial Computarizada (TAC).
    13→Definición de herida quirúrgica 'Limpia'.,Incisión en tejido sin abrir vísceras o cavidades que contienen flora bacteriana.
    14→¿Cuál es la tasa de infección esperada en una herida limpia?,Menor al 2%.
    15→Definición de herida quirúrgica 'Limpia-Contaminada'.,Procedimiento donde se accede de forma controlada a cavidades con flora bacteriana normal sin contaminación excesiva.
    16→¿Cuál es la tasa de infección en heridas limpias-contaminadas?,Alrededor del 3-10%.
    17→Definición de herida quirúrgica 'Contaminada'.,"Herida con contaminación significativa o inflamación aguda sin pus, incluyendo roturas accidentales de la técnica aséptica."
    18→¿Cuál es la tasa de infección en heridas contaminadas?,Aproximadamente del 10-20%.
    19→Definición de herida quirúrgica 'Sucia o Infectada'.,"Herida con infección clínica establecida, presencia de pus o tejidos necróticos."
    20→¿Cuál es la tasa de infección en heridas sucias o infectadas?,Mayor al 20%.
    21→Menciona un ejemplo de cirugía que genera una herida limpia.,Cirugías ortopédicas o neuroquirúrgicas sin entrada al tracto gastrointestinal.
    22→Menciona un ejemplo de cirugía que genera una herida limpia-contaminada.,Apendicectomía en estadios tempranos o cirugía electiva de reflujo gastroesofágico.
    23→Menciona un ejemplo de situación que resulta en una herida contaminada.,Cirugía de emergencia por perforación intestinal reciente con derrame importante de contenido.
    24→Menciona un ejemplo de cirugía para una herida sucia.,Tratamiento de abscesos intraabdominales o perforaciones intestinales tardías.
    25→Característica del dolor en el abdomen agudo de tipo inflamatorio.,"Dolor constante, progresivo y localizado de forma inicial, acompañado de SIRS."
    26→Tríada diagnóstica del abdomen agudo obstructivo.,"Ausencia de evacuaciones/gases, ruidos intestinales aumentados y náuseas/vómitos."
    27→Descripción del dolor típico en el abdomen agudo perforativo.,"Dolor súbito, intenso, descrito como ""en puñalada""."
    28→Signo clínico cardinal del abdomen agudo de origen vascular.,Dolor abdominal desproporcionado a los hallazgos de la exploración física.
    29→Signos característicos del abdomen agudo hemorrágico.,"Inicio súbito, distensión abdominal y datos de choque hipovolémico."
    30→¿Cuál es el cuadro clínico típico de la colecistitis?,"Mujer >40 años, obesidad, dolor en hipocondrio derecho irradiado en hemicinturón y Murphy positivo."
    31→¿Cómo se describe la irradiación del dolor en la pancreatitis aguda?,Irradiación transficticia (hacia la espalda).
    32→¿Cuál es el patrón de migración del dolor en la apendicitis aguda?,Dolor periumbilical que migra a la fosa ilíaca derecha.
    33→¿Cuál es el perfil típico de un paciente con diverticulitis?,"Paciente >60 años, bajo consumo de fibra, estreñimiento y dolor en fosa ilíaca izquierda."
    34→¿Cuál es la causa más frecuente de obstrucción de intestino delgado en pacientes con antecedentes quirúrgicos?,Bridas o adherencias.
    35→¿Cuál es la causa más frecuente de obstrucción de intestino delgado en pacientes sin antecedentes quirúrgicos?,Hernias.
    36→¿Qué signo radiológico es característico del vólvulo de sigmoides?,"Imagen en ""grano de café"" y ausencia de gas rectal."
    37→Perfil típico del paciente con vólvulo de sigmoides.,Masculino >60 años con estreñimiento crónico y pérdida de peso.
    38→Perfil típico del paciente con vólvulo de ciego.,Masculino >60 años con inicio agudo y brusco de síntomas obstructivos.
    39→"¿Qué diagnóstico sugiere un dolor súbito ""en puñalada""?",Úlcera péptica perforada (UPP).
    40→¿Qué patologías presentan dolor de tipo intermitente?,Obstrucción intestinal y cólico biliar.
    41→Menciona tres diagnósticos diferenciales para dolor en el hipocondrio derecho.,"Patología biliar, hepatitis y absceso hepático."
