¿Cuáles son los valores normales de hemoglobina en hombres según el material?,$13-17$ $g/dL$
¿Cuáles son los valores normales de hemoglobina en mujeres según el material?,$12-15$ $g/dL$
Rango normal del Volumen Corpuscular Medio (VCM):,$80-100$ $fL$
Rango normal de la Hemoglobina Corpuscular Media (HCM):,$27-33$ $pg$
Rango normal del Ancho de Distribución Eritrocitaria (ADE o RDW):,$11-15\%$
¿Cuál es el porcentaje normal de reticulocitos en sangre periférica?,$2-3\%$
Rango normal de leucocitos totales:,"$4,000-12,000$ /$\mu L$"
Rango normal de plaquetas:,"$150,000-450,000$ /$\mu L$"
¿Cómo se define la anemia en hombres según el hematocrito?,Menor a $41\%$
¿Cómo se define la anemia en mujeres según el nivel de hemoglobina?,Menor a $12$ $g/dL$
¿Cuál es la causa más común de anemia a nivel mundial?,Deficiencia de hierro
Mencione las dos causas principales de deficiencia de hierro:,Déficit de aporte y hemorragias
¿Qué término se utiliza para describir la clínica de anemia cuando aún no se cuenta con resultados de laboratorio?,Síndrome anémico
"¿Qué estudio permite observar el tamaño, forma e inclusiones de los eritrocitos?",Frotis de sangre periférica
¿En qué célula precursora se encuentra hemoglobina por primera vez?,Proeritroblasto
¿Cuál es el primer sitio de hematopoyesis en el feto?,Saco vitelino
¿Cuál es el segundo sitio de formación de sangre en el feto?,Hígado
¿Cuál es el tercer sitio donde se forma sangre en el feto?,Bazo
¿Para qué sirve el recuento de reticulocitos en el abordaje de las anemias?,Para distinguir entre anemias regenerativas y arregenerativas
Una anemia con menos del $2\%$ de reticulocitos se clasifica como:,Arregenerativa
Una anemia con más del $3\%$ de reticulocitos se clasifica como:,Regenerativa
¿Qué vía metabólica del eritrocito produce ATP para energía?,Vía glucolítica de Embden-Meyerhof
¿Qué produce la vía de la hexosa-monofosfato en el eritrocito?,$NADPH$
¿Cuál es la función principal del $NADPH$ en el metabolismo del eritrocito?,Protección contra radicales libres
¿Cuál es la causa más frecuente de macrocitosis sin anemia?,Alcoholismo
¿Cuál es la causa más frecuente de anemia macrocítica no megaloblástica?,Hepatopatías
¿En qué parte del tubo digestivo se absorbe el hierro?,Duodeno
¿En qué parte del tubo digestivo se absorbe el ácido fólico?,Yeyuno
¿En qué parte del tubo digestivo se absorbe la vitamina $B_{12}$?,Íleon terminal
Mencione tres grupos de riesgo para padecer anemia:,"Niños 0-5 años, mujeres en edad reproductiva y adultos mayores"
Morfología clásica de la anemia ferropénica:,Microcítica e hipocrómica
¿A qué se asocia la deficiencia de hierro en hombres?,Sangrado digestivo
¿A qué se asocia la deficiencia de hierro en mujeres?,Menstruación
¿Qué evaluación se recomienda semestralmente en adultos mayores para prevenir la anemia ferropénica?,Evaluación odontológica
¿Cuál es la profilaxis de hierro indicada en embarazadas a partir de la semana 20?,$60$ $mg$ diarios
