¿Cómo se define operativamente la hipertensión en el embarazo según el número de mediciones?,Presión mayor a 140/90 mmHg con dos mediciones anormales con un intervalo de 4 a 6 horas entre ellas.
¿Cuál es el criterio temporal para diagnosticar hipertensión arterial crónica en el embarazo?,Presencia de hipertensión antes del embarazo o diagnóstico previo a la semana 20 de gestación.
¿Cuál es el periodo de presentación característico de la hipertensión gestacional?,Posterior a la semana 20 hasta la semana 12 posparto.
Defina el hallazgo paraclínico que diferencia a la hipertensión gestacional de la preeclampsia.,La ausencia de proteinuria en la hipertensión gestacional.
¿Qué cantidad de proteinuria define a la preeclampsia sin datos de severidad en una recolección de 24 horas?,Mayor a 300 mg (0.3 gramos).
¿Cuál es la cifra de presión arterial sistólica/diastólica que define por sí misma un dato de severidad en la preeclampsia?,Presión arterial mayor o igual a 160/110 mmHg.
¿A partir de qué cantidad de proteinuria en 24 horas se considera un dato de severidad?,Mayor a 3 gramos.
¿Cómo se define la eclampsia?,Presencia de preeclampsia más convulsiones.
¿Hasta qué día del posparto puede presentarse la eclampsia?,Hasta el décimo día posparto.
¿Qué componentes integran la tríada del síndrome de HELLP?,"Hemólisis, enzimas hepáticas elevadas y plaquetas bajas."
¿A partir de qué momento se reclasifica la hipertensión del embarazo como crónica si persiste tras el parto?,Después de la semana 12 del puerperio.
¿Cuál es el punto de corte gestacional para clasificar la preeclampsia en temprana o tardía?,La semana 34 de gestación.
¿Por qué la preeclampsia temprana tiene peor pronóstico que la tardía?,"Porque está mediada por factores placentarios, mientras que la tardía es por factores maternos."
¿Qué porcentaje de las muertes maternas son causadas por complicaciones hipertensivas?,Entre el 15 y el 20% de las muertes maternas.
¿Cuál es el factor de riesgo con el mayor riesgo relativo (RR = 9.72) para desarrollar preeclampsia?,Enfermedades autoinmunes como el Lupus Eritematoso Sistémico o el Síndrome Antifosfolípidos.
¿Cuál es el principal mecanismo fisiopatológico de los estados hipertensivos del embarazo?,El daño endotelial.
¿Qué parámetro ecográfico se utiliza entre las semanas 11 y 13.6 para el tamizaje de preeclampsia?,El índice de pulsatilidad de la arteria uterina.
¿Cuál es la dosis recomendada de calcio para profilaxis en pacientes con baja ingesta basal?, 1.5 gramos vía oral cada 24 horas.
¿Qué riesgo fetal existe si se administra Ácido Acetilsalicílico (ASA) antes de la semana 12?,Defectos de la pared abdominal.
¿A qué complicación placentaria se asocia el uso de ASA después de la semana 16?,Desprendimiento prematuro de placenta normoinserta (DPPNI).
¿En qué semana se debe suspender el ASA para evitar efectos en la coagulación neonatal?,Antes de la semana 36.
¿Cuál es el estándar de oro para el diagnóstico de proteinuria en el embarazo?,La recolección de orina de 24 horas.
¿Qué valor del cociente proteína/creatinina indica proteinuria significativa?,Un cociente mayor a 0.28.
"En ausencia de proteinuria, ¿cuál es el nivel de creatinina sérica que sugiere preeclampsia?",1.1 mg/dL o el doble de la concentración sérica previa.
¿Qué nivel de plaquetas se considera un criterio diagnóstico de preeclampsia en ausencia de proteinuria?,"Menos de 100,000 plaquetas por μL."
¿Cuál es el fármaco de primera línea para el tratamiento de la hipertensión gestacional y preeclampsia sin datos de severidad?,Alfametildopa.
¿Cuál es el efecto secundario neonatal característico del uso de Metoprolol en el embarazo?,Bradicardia neonatal.
¿Por qué el Nifedipino puede afectar la dinámica del parto?,Porque puede provocar uteroinhibición al ser un bloqueador de canales de calcio.
¿Cuál es la meta terapéutica de presión arterial en pacientes embarazadas sin comorbilidades?,130-155 mmHg sistólica y 80-105 mmHg diastólica.
"En pacientes con preeclampsia y comorbilidades, ¿cuál es la meta de presión arterial sistólica?",130-139 mmHg.
¿Qué nivel de consciencia en la escala de Glasgow se considera un criterio de severidad?,Un puntaje menor a 13.
¿Cuál es el volumen urinario que define la oliguria en 24 horas como dato de severidad?,Menor a 400 mL.
¿Cuáles son los tres síntomas clásicos de vasoespasmo mencionados en la preeclampsia severa?,"Cefalea, fotopsias y tinnitus."
¿Cuál es el fármaco antihipertensivo de elección vía intravenosa para crisis en preeclampsia severa?,Labetalol.
¿Cuál es el fármaco antihipertensivo oral de elección en México para preeclampsia con datos de severidad?,Nifedipino.
¿En qué consiste el esquema de Zuspan para la administración de Sulfato de Magnesio?,"Impregnación con 4 g IV para 30 minutos, seguido de mantenimiento de 1 g/h IV."
¿Cuál es el antídoto para la intoxicación por Sulfato de Magnesio?,Gluconato de calcio (1 ámpula).
¿Qué signo clínico indica la abolición del reflejo rotuliano por toxicidad de magnesio?,Arreflexia o hiporreflexia rotuliana.
¿Cuál es el tratamiento definitivo para la preeclampsia con datos de severidad?,La finalización del embarazo.
¿Qué criterios diagnósticos utiliza el sistema de Tennessee para el Síndrome de HELLP?,"AST > 70 UI/L, plaquetas < 100,000, bilirrubina total > 1.2 mg/dL y DHL > 600 UI/L."
¿Cuál es el principal biomarcador de severidad en el síndrome de HELLP?,El aumento de los niveles de Deshidrogenasa Láctica (DHL).
¿Cuál es la complicación materna no fetal más frecuente del síndrome de HELLP?,Ruptura de hematoma hepático que causa hemoperitoneo.
¿Qué nombre recibe el protocolo de manejo para el síndrome de HELLP que incluye corticosteroides?,Protocolo de Mississippi.
"Según el protocolo de Mississippi, ¿qué dosis de dexametasona se administra anteparto?",10 mg IV cada 12 horas.
¿Cuál es el objetivo de presión arterial diastólica según el protocolo de Mississippi?,80-100 mmHg.
¿Qué síntoma es considerado el primer signo de alerta antes de la aparición de convulsiones en la eclampsia?,Aumento excesivo de peso en el tercer trimestre.
¿Cuál es el rango de dosis terapéutica óptima de magnesio en sangre?,5 a 7 mg/dL.
¿Cuánto tiempo debe mantenerse el sulfato de magnesio tras la última convulsión en eclampsia?,Hasta 24 horas después.
