¿Cuál es la definición fisiopatológica del cáncer de mama?,"Crecimiento anormal de células del parénquima mamario por mecanismos genéticos, hormonales y mutaciones en genes supresores."
¿Cuáles son los dos genes supresores de tumores cuya mutación se asocia frecuentemente al cáncer de mama?,Los genes BRCA1 y BRCA2.
¿Por qué el cáncer de mama se considera una enfermedad sistémica?,Debido a su alta probabilidad de diseminación.
¿Cuál es la neoplasia maligna más frecuente en la mujer a nivel mundial?,El cáncer de mama (representa del 20 al 25%).
¿Cuál es la primera causa de mortalidad por tumor maligno en mujeres?,El cáncer de mama.
¿Cuál es la variedad histológica de cáncer de mama invasor más frecuente?,El carcinoma ductal invasor.
¿A qué edad se presenta el pico de incidencia máxima del cáncer de mama?,Entre los 60 y 65 años.
¿Cuál es el principal factor de riesgo para desarrollar cáncer de mama?,El sexo femenino.
¿Qué efecto tiene la lactancia materna sobre el riesgo de cáncer de mama?,Reduce el riesgo en un 4% por cada 12 meses de lactancia.
¿A partir de qué edad se considera un factor de riesgo para el cáncer de mama según la normativa?,Edad mayor de 40 años.
¿Cuál es el factor pronóstico más importante en el cáncer de mama?,El número de ganglios linfáticos afectados.
¿Qué alteración en los oncogenes se asocia a un mal pronóstico en el cáncer de mama?,Alteraciones en ERB-B2 (HER2) y p53.
¿Cuál es la localización anatómica más frecuente de los tumores mamarios?,El cuadrante superoexterno de la mama.
¿Cuál es la principal vía de diseminación del cáncer de mama?,La vía linfática.
¿Cuál es el sitio más frecuente de metástasis a distancia en el cáncer de mama?,El pulmón (63%).
¿Qué tipo de cáncer de mama suele presentar metástasis en la serosa peritoneal?,El carcinoma lobulillar infiltrante.
¿Qué porcentaje de los carcinomas no invasores corresponde al carcinoma ductal in situ (CDIS)?,Aproximadamente el 80%.
¿Cuáles son las dos características clínicas principales del carcinoma lobulillar in situ (CLIS)?,Es multicéntrico y frecuentemente bilateral (no simultáneo).
Subtipo molecular: Luminal A,"Definición: Buen pronóstico, receptores estrogénicos positivos, HER2 negativo y bajo índice de proliferación."
¿Cuál es el subtipo molecular de cáncer de mama con el peor pronóstico?,El subtipo triple negativo (sin receptores estrogénicos ni HER2).
¿Qué hallazgo cutáneo en la mama es sugestivo de edema linfático secundario a invasión tumoral?,"La apariencia de ""piel de naranja""."
¿A partir de qué edad recomienda la GPC realizar la autoexploración mamaria mensual?,A partir de los 19 años.
¿Cuál es la frecuencia recomendada de mastografía para mujeres asintomáticas de 40 a 49 años?,Anual.
¿Cada cuánto tiempo se recomienda la mastografía en mujeres de 40 a 69 años según la NOM-041-SSA2-2011?,Cada 2 años.
¿A qué edad debe iniciar el tamizaje anual en mujeres con mutación confirmada de BRCA1 o BRCA2?,A los 30 años (pero no antes de los 25).
¿Cuál es el estándar de oro para la confirmación diagnóstica del cáncer de mama?,La biopsia.
¿Qué tipo de biopsia está indicada para el estudio citológico de ganglios axilares?,Biopsia por aspiración con aguja fina (BAAF).
¿Qué tipo de biopsia es la de elección para obtener tejido y determinar el tipo histológico en lesiones palpables?,Biopsia con aguja gruesa (Tru-cut).
¿Cuál es el método de imagen de elección para evaluar patología mamaria en menores de 35 años?,El ultrasonido mamario.
BI-RADS 0,Significado: Evaluación incompleta; requiere pruebas de imagen adicionales o comparación con estudios previos.
