¿Cuál es la prevalencia de anormalidades cromosómicas en la pérdida de embarazos tempranos?,Representan el $50\%$ de los casos.
¿Cuál es la cromosomopatía más frecuente y causa principal de retraso mental?,El síndrome de Down (trisomía 21).
¿Cuál es el objetivo primordial del tamizaje de cromosomopatías en el control prenatal?,La detección y manejo oportunos del feto para mejorar supervivencia y calidad de vida.
¿A partir de qué edad materna se considera un factor de riesgo para el tamizaje de cromosomopatías?,Igual o mayor a $35$ años.
¿A partir de qué edad paterna se considera un factor de riesgo para el tamizaje de cromosomopatías?,Igual o mayor a $45$ años.
"En el ultrasonido del primer trimestre, ¿cuál es el marcador de mayor importancia para la detección de cromosomopatías?",La translucencia nucal.
¿Qué hallazgo en el hueso nasal sugiere una cromosomopatía durante el tamizaje?,Su ausencia o hipoplasia.
"En el segundo trimestre, ¿cuál es el marcador ecográfico más sensible para la detección de cromosomopatías?",La hipoplasia nasal.
¿Qué medida del pliegue nucal se considera anormal en el tamizaje ecográfico?,Un valor mayor a $6$ mm.
¿En qué consiste el 'Duo Test' realizado durante el primer trimestre?,En la medición de $\beta$-HCG (elevada) y PAPP-A (disminuida).
¿Qué parámetros componen el 'Cuádruple Test' del segundo trimestre?,"$\beta$-HCG, estriol, alfafetoproteína e inhibina."
¿Cuál es el periodo gestacional recomendado para realizar una biopsia corial?,Entre la semana $9$ a $13$ de gestación.
¿Cuál es el periodo gestacional para realizar una amniocentesis según la GPC?,De la semana $16$ a la $20$.
¿A partir de qué semana de gestación se puede realizar la cordocentesis?,A partir de la semana $20$.
¿Cuál técnica invasiva de diagnóstico prenatal tiene el mayor riesgo de aborto?,La biopsia corial.
¿Qué técnica invasiva permite medir la maduración pulmonar a las $32$ semanas de gestación?,La amniocentesis.
"En el síndrome de Down, ¿cuál es el dato clínico más frecuente?",El perfil facial plano.
¿Cómo se denominan los criterios utilizados para el diagnóstico clínico del síndrome de Down?,Criterios de Hall.
¿Cuál es la cardiopatía congénita más frecuentemente asociada al síndrome de Down?,Defectos del canal auriculoventricular (CIA/CIV).
¿Qué patología hematológica requiere seguimiento intencionado en pacientes con síndrome de Down?,Leucemias.
Defina el mosaicismo en el contexto del síndrome de Down.,"Es la presencia de la trisomía en algunas células, mientras otras son normales ($46,XX/47,XX,+21$)."
¿Qué alteración cromosómica define al síndrome de Edwards?,"La presencia de un cromosoma $18$ extra ($47,XX/XY, +18$)."
¿Cuál es la segunda trisomía autosómica más frecuente después del síndrome de Down?,El síndrome de Edwards.
¿Qué característica de las manos es típica del síndrome de Edwards?,Manos con dedos superpuestos.
¿Cómo se describe la malformación de los pies característica del síndrome de Edwards?,Pies en mecedora.
¿Cuál es el pronóstico de supervivencia para un neonato con síndrome de Edwards?,"Alta mortalidad temprana, generalmente dentro del primer año de vida."
¿Qué trisomía se caracteriza por la presencia de un cromosoma $13$ extra?,El síndrome de Patau.
"¿Qué malformación del sistema nervioso central, consistente en el fallo de separación de los hemisferios, es común en el síndrome de Patau?",Holoprosencefalia.
"En el síndrome de Patau, ¿qué anomalías faciales graves pueden presentarse en casos severos?",Hipotelorismo o ciclopía.
¿Cuál es el cariotipo clásico del síndrome de Klinefelter?,"$47, XXY$."
¿Cuál es el fenotipo físico característico de un paciente con síndrome de Klinefelter respecto a su talla?,Talla alta con extremidades largas.
¿Qué hallazgos se esperan en el perfil hormonal de un paciente con síndrome de Klinefelter?,"Testosterona baja con gonadotropinas (FSH, LH) elevadas."
¿Cuál es el pilar del tratamiento farmacológico en el síndrome de Klinefelter para mejorar la masa ósea y caracteres sexuales?,Reemplazo con testosterona.
¿Qué gen y en qué cromosoma se encuentra mutado en el síndrome de Marfan?,Gen de la fibrilina-1 (FBN1) en el cromosoma $15$.
¿Cuál es el patrón de herencia del síndrome de Marfan?,Autosómica dominante.
"En el síndrome de Marfan, ¿qué término describe la presencia de dedos desproporcionadamente largos y delgados?",Aracnodactilia.
¿Hacia dónde suele ocurrir la subluxación del cristalino en el síndrome de Marfan?,Hacia arriba y afuera.
¿Cuál es la principal causa de morbimortalidad en pacientes con síndrome de Marfan?,Aneurisma o disección de la raíz aortica.
¿Qué criterios diagnósticos se utilizan para el síndrome de Marfan?,Criterios de Ghent.
¿A partir de qué diámetro de la raíz aórtica dilatada se indica la cirugía en el síndrome de Marfan?,Mayor a $50$ mm.
¿Qué porcentaje de probabilidad de transmisión vertical de VIH existe en una madre sin tratamiento antirretroviral?,Del $15$ al $40\%$.
¿Cuál es el momento de mayor frecuencia para la transmisión del VIH de madre a hijo?,El periodo periparto (alrededor del $70\%$ de los casos).
¿En qué porcentaje incrementa la lactancia materna el riesgo de transmisión de VIH?,Hasta en un $22\%$.
¿Qué cifra de linfocitos CD4 se considera un factor de riesgo para la transmisión vertical de VIH?,Un recuento menor a $200$ células/$mm^{3}$.
"Si una paciente embarazada con factores de riesgo resulta negativa en su prueba rápida de VIH, ¿cuál es la conducta a seguir?","Repetir la prueba inmediatamente; si sale negativa, repetir en $3$ meses."
¿Cuáles son los estudios confirmatorios que se realizan tras una prueba rápida de VIH positiva en el embarazo?,ELISA seguido de Western Blot.
"¿Cuál es el esquema de tratamiento para una embarazada con VIH que nunca ha recibido TARV y tiene una carga viral $< 100,000$?",Zidovudina + Lamivudina + Lopinavir/Ritonavir.
¿Qué fármaco antirretroviral debe evitarse durante las primeras $8$ semanas de embarazo debido a la organogénesis?,Efavirenz.
¿Bajo qué condiciones se indica el parto vaginal en una paciente con VIH?,"Carga viral menor a $50$ copias, tratamiento con triple ARV y buen control."
¿En qué momento debe iniciarse la Zidovudina IV en una embarazada programada para cesárea por VIH?,Tres horas antes de la incisión.
¿Por qué no se debe realizar ELISA o Western Blot para el diagnóstico de VIH en neonatos menores de $18$ meses?,Debido a que los anticuerpos maternos cruzan la barrera placentaria y pueden dar falsos positivos.
¿Cómo se excluye definitivamente la infección por VIH en un niño menor de $18$ meses?,Con dos o más estudios virológicos negativos a los $6$ meses de vida (sin lactancia materna).
¿Cuál es la profilaxis posnatal para un recién nacido de madre con TARV y supresión viral efectiva?,Zidovudina durante $4$ semanas.
¿Qué esquema de profilaxis recibe el neonato si la madre solo recibió TARV intraparto?,Zidovudina por $6$ semanas más $3$ dosis de Nevirapina.
¿Cuál es el manejo para un recién nacido de madre que no recibió TARV en ningún momento?,Zidovudina ($6$ sem) + Nevirapina (dosis única) + Lamivudina ($1$ sem).
¿Qué fármacos componen el tratamiento del lactante en caso de confirmarse la infección por VIH?,Abacavir + Lamivudina + Dolutegravir.
¿En qué semana de gestación se debe realizar la cesárea programada en pacientes con VIH y carga viral $> 50$ copias?,En la semana $38$ de gestación.
"En el síndrome de Down, ¿qué alteración de los pabellones auriculares es común?",Implantación baja.
¿Qué marcador ecográfico del segundo trimestre se asocia a síndrome de Down pero tiene baja especificidad de forma aislada?,Foco ecogénico intracardiaco.
"En el síndrome de Edwards, ¿qué nombre recibe la prominencia de la parte posterior del cráneo?",Occipucio prominente.
