¿Cuáles son las tres causas principales de la insuficiencia arterial aguda?,"Embolismo, trombosis o trauma vascular."
¿Cuál es el origen más frecuente de un embolismo en la insuficiencia arterial aguda?,Cardíaco ($80\%$ de los casos).
¿Cuál es la causa subyacente más común de la insuficiencia arterial de origen trombótico?,Aterosclerosis.
¿Cuál es la arteria que se ve afectada con mayor frecuencia en la insuficiencia arterial aguda?,La arteria femoral.
¿Cuál es la probabilidad de salvar una extremidad si la isquemia arterial aguda supera las $6$ horas?,Pocas probabilidades.
¿Qué complicación sistémica puede ocurrir tras la reperfusión de una extremidad isquémica?,Falla orgánica múltiple y colapso cardiovascular.
"Mencione las $6$ ""P"" de la clínica de insuficiencia arterial aguda.","Pain (dolor), Palidez, Parestesias, Parálisis, Pérdida de temperatura y Pulsos ausentes."
¿Cuál es el estudio de diagnóstico de elección para la insuficiencia arterial aguda?,Angiografía.
"Según la clasificación de Rutherford, ¿qué caracteriza al Grado I (viable)?",Extremidad viable con presencia de señal Doppler.
"Según Rutherford, ¿qué déficit diferencia al Grado IIB del Grado IIA?","El Grado IIB presenta déficit motor, además del sensitivo."
"Según Rutherford, ¿cuál es el manejo indicado para una extremidad Grado III (no viable)?",Amputación.
¿Qué procedimiento quirúrgico está indicado en un paciente con Rutherford IIB por riesgo de síndrome compartimental?,Fasciotomía.
¿Cuál es una contraindicación absoluta para la trombólisis relacionada con antecedentes neurológicos?,Antecedentes de EVC hemorrágico o neoplasia intracraneal.
¿Cuál es el manejo inicial de la rabdomiólisis secundaria a isquemia si aún no hay daño renal?,"Administración de líquidos, manitol y bicarbonato ($HCO_{3}$)."
¿Cuál es el síntoma más frecuente de la Enfermedad Arterial Periférica (EAP)?,Claudicación intermitente.
¿Qué fenómeno clínico se caracteriza por dolor en piernas durante la deambulación que alivia con el reposo?,Claudicación intermitente.
¿Qué nombre recibe la manifestación clásica de la EAP donde hay isquemia digital pero los pulsos pedios están normales?,Síndrome del dedo azul.
¿Qué porcentaje de pacientes con Enfermedad Arterial Periférica son asintomáticos?,$20\%$.
¿Cuál es la localización anatómica más frecuente de la Enfermedad Arterial Periférica?,Femoro-poplítea ($43\%$).
