¿Cómo se define la sepsis neonatal según el tiempo de vida del recién nacido?,Síndrome clínico en un nacido de 28 días de vida o menos con signos sistémicos de infección.
Punto de corte en días de vida para diferenciar entre sepsis neonatal temprana y tardía según la GPC.,7 días de vida.
Principal agente causal de sepsis neonatal temprana en México.,$E. coli$.
Principal agente causal de sepsis neonatal temprana a nivel mundial.,$S. agalactiae$.
Menciona los dos principales agentes causales de la sepsis neonatal tardía.,$S. epidermidis$ y $S. aureus$.
¿Qué vía de transmisión caracteriza a la sepsis neonatal temprana?,Transmisión vertical.
¿Qué vía de transmisión caracteriza a la sepsis neonatal tardía?,Transmisión horizontal.
Lugar que ocupa la sepsis como causa de muerte neonatal.,Tercera causa de muerte.
¿Cuántos signos clínicos se requieren para justificar la toma de hemocultivos e inicio de antibiótico empírico?,La presencia de 3 o más signos clínicos.
Relación de neutrófilos inmaduros/totales (I/T) sugerente de sepsis neonatal.,$> 0.2$.
Valor de la Proteína C Reactiva (PCR) que se considera auxiliar en el diagnóstico de sepsis.,$> 10$ mg/L.
Valor de la procalcitonina que se considera indicador de sepsis en el neonato.,$> 3-5$ ng/mL.
¿Cuáles son las interleucinas involucradas como auxiliares diagnósticos en sepsis neonatal?,Interleucinas 6 y 8.
Estándar de oro para el diagnóstico de sepsis neonatal.,Hemocultivo.
Esquema antibiótico de primera línea para sepsis temprana.,Ampicilina + Gentamicina.
Esquema antibiótico de segunda línea para sepsis temprana.,Cefotaxima / Amikacina.
¿Por qué la ceftriaxona está contraindicada en neonatos?,Por riesgo de hiperbilirrubinemia o si reciben calcio.
Tratamiento de elección para sepsis neonatal por $Candida$.,Anfotericina B.
Esquema antibiótico para sepsis tardía con sospecha de infección por $S. aureus$.,Dicloxacilina + Gentamicina.
Antibiótico indicado en caso de resistencia a meticilina o sepsis asociada a dispositivos intravasculares.,Vancomicina.
Duración del tratamiento antibiótico en sepsis neonatal sin meningitis.,7 a 10 días.
Duración del tratamiento antibiótico en sepsis neonatal con meningitis.,14 a 21 días.
Criterio diagnóstico de choque séptico relacionado con el llenado capilar.,$> 3$ segundos.
Hallazgo laboratorial más común en el choque séptico neonatal.,Acidosis metabólica con disminución de $HCO_3$ y aumento de lactato.
Tipo de líquidos recomendados como primera línea en la terapia de fluidos del choque séptico.,Cristaloides isotónicos (Solución salina $0.9\%$ o Ringer Lactato).
Carga inicial de cristaloides recomendada en el algoritmo de choque neonatal.,$10$ ml/kg por periodos de 15-20 minutos.
Tratamiento farmacológico indicado en choque neonatal con datos de cardiopatía dependiente de conducto.,Prostaglandina E1.
