¿A qué género pertenece el virus del Dengue?,Pertenece al género Flavivirus.
¿Cuáles son los serotipos existentes del virus del Dengue (DENV)?,"Existen 4 serotipos, del DENV-1 al DENV-4."
¿Qué especie de mosquito es el vector más importante del Dengue en México?,El Aedes aegypti.
¿Cuáles son las tres proteínas estructurales del virus del Dengue?,"Son las proteínas P, M y E."
¿Cuál es el periodo de incubación promedio del Dengue?,El periodo de incubación es de 4 a 7 días (rango de 3 a 14 días).
¿Cuál es el principal factor de riesgo para desarrollar Dengue grave?,El antecedente de una infección previa por Dengue.
¿Qué característica dermatológica típica aparece en la fase febril del Dengue?,"Eritema con apariencia de ""islas blancas en un mar rojo""."
¿En qué fase del Dengue ocurre la fuga plasmática?,Ocurre en la fase de defervescencia o fase crítica.
Definición: Dengue sin datos de alarma,"Paciente en fase febril con al menos 2 síntomas (náusea, exantema, cefalea, dolor retroocular o artralgias)."
Definición: Dengue grave,"Presencia de choque, hemorragia grave o afectación orgánica severa (hepática, encefalitis)."
¿Qué dato clínico caracteriza al Dengue con datos de alarma respecto al abdomen?,Dolor abdominal intenso y vómitos persistentes.
¿Cuál es la prueba confirmatoria diagnóstica de Dengue durante los primeros 5 días de fiebre?,La detección del antígeno NS1 en suero.
¿A partir de qué día se debe solicitar la detección de anticuerpos IgM para Dengue?,A partir del sexto día de iniciada la fiebre.
¿Cuál es el Gold Standard para el diagnóstico de Dengue?,La prueba de PCR en tiempo real.
¿Qué hallazgo hace que la prueba de torniquete se considere positiva?,La presencia de 20 o más petequias en un área de $2.5 \text{ cm}^2$.
¿Cuál es el fármaco de elección para el control térmico en el Dengue?,El paracetamol.
¿Qué analgésicos están estrictamente contraindicados en el Dengue?,"ASA (aspirina), metamizol y AINEs."
¿Cuál es el vector principal del virus Zika en regiones tropicales?,El mosquito Aedes aegypti.
¿Cuál es el hospedero principal del virus Zika?,Los primates.
¿En qué ventana de tiempo es útil la RT-PCR en sangre para diagnosticar Zika?,Dentro de los primeros 8 días de iniciados los síntomas.
¿Hasta qué día es detectable el virus Zika mediante RT-PCR en orina?,Dentro de los primeros 14 días.
¿Qué complicación neurológica autoinmune se asocia a la infección por Zika?,El Síndrome de Guillain-Barré.
¿Qué hallazgo craneal es característico del Zika congénito?,La microcefalia.
¿A qué familia de virus pertenece el Chikungunya?,Pertenece a la familia Togaviridae (tipo Alfavirus).
¿Cómo se describe la artralgia en la fase aguda de Chikungunya?,Se describe como artralgias severas e incapacitantes.
¿Cuánto tiempo dura la fase crónica de la fiebre Chikungunya?,Dura desde los 3 meses hasta los 3 años.
¿Qué tipo de inmunidad desarrolla el humano tras infectarse por Chikungunya?,Desarrolla inmunidad permanente.
¿Qué estado de México es el único reportado como libre de Paludismo?,El estado de Tlaxcala.
¿Cuál es la especie de Plasmodium más frecuente en México?,Plasmodium vivax.
¿Cuál es la especie de Plasmodium asociada a mayor letalidad?,Plasmodium falciparum.
¿Cuál es el vector transmisor del Paludismo?,El mosquito del género Anopheles.
¿Cuál es el estudio parasitoscópico de elección para el diagnóstico de Paludismo?,El frotis de sangre periférica por gota gruesa.
¿Qué tinciones se utilizan para observar Plasmodium al microscopio?,Las tinciones de Giemsa o Wright.
¿Cuál es el esquema de tratamiento de elección para Paludismo?,La combinación de Cloroquina y Primaquina.
¿Qué efecto adverso puede causar la Primaquina en pacientes con déficit de glucosa 6 fosfato?,Puede producir anemia hemolítica.
¿Cuál es el agente etiológico de la Tripanosomiasis americana (Chagas)?,El protozoario flagelado Trypanosoma cruzi.
¿Cómo se le conoce comúnmente al vector de la enfermedad de Chagas en México?,Chinche besucona (Triatoma).
¿Qué nombre recibe el complejo oftalmo-ganglionar típico de la fase aguda de Chagas?,Signo de Romaña-Mazza.
¿Qué porcentaje de pacientes en fase crónica de Chagas desarrollan lesiones cardíacas?,Aproximadamente el $27\%$.
¿Cuál es la causa de cardiomiopatía infecciosa más frecuente en el mundo?,La enfermedad de Chagas.
¿Qué tipo de anticuerpos predominan en la fase crónica de la Tripanosomiasis?,Los niveles altos de IgG.
¿Cuál es el tratamiento de elección para la enfermedad de Chagas en fase aguda?,El Benznidazol durante 60 días.
¿Cuál es la segunda opción de tratamiento para Chagas si el Benznidazol no está disponible?,El Nifurtimox.
Concepto: Promastigote,Definición: Es la forma infectante y móvil del género Leishmania.
Concepto: Amastigote,Definición: Es la forma replicativa de Leishmania dentro del hospedero.
¿Cómo se conoce popularmente a la úlcera cutánea única por Leishmania en México?,Úlcera de los chicleros.
¿Qué especies de Leishmania causan principalmente la forma cutánea?,L. mexicana y L. braziliensis.
¿Qué órganos presentan megalias masivas en la Leishmaniasis visceral?,El hígado (hepatomegalia) y el bazo (esplenomegalia).
¿Qué nombre recibe la hiperpigmentación distal en fases avanzadas de Leishmaniasis visceral?,Fiebre negra (Kala-azar).
¿Cuál es el nombre de la prueba inmunológica de hipersensibilidad tardía para Leishmaniasis?,Antígeno de Montenegro o Leishmanina.
¿Cuál es el tratamiento de elección para la Leishmaniasis visceral?,Anfotericina B liposomal por vía intravenosa.
¿Qué fármaco se utiliza de forma intralesional para la Leishmaniasis cutánea localizada?,Antimoniato de meglumina.
¿En qué fase del Dengue se debe vigilar estrechamente la elevación de enzimas hepáticas y trombocitopenia?,En la fase de defervescencia (crítica).
La fase subaguda de Chikungunya se caracteriza por poliartritis distal y _____ hipertrófica.,Tenosinovitis
"En el Paludismo, el acceso palúdico clásico incluye fiebre irregular, escalofríos y _____ no dolorosa.",Esplenomegalia
¿Qué fármaco profiláctico se utiliza para el Paludismo?,La Cloroquina.
¿Cuál es el porcentaje de efectividad del tratamiento antiparasitario en la fase crónica de Chagas?,Tiene una efectividad del $10\%$ al $25\%$.
¿Cuál es el periodo de incubación de la Leishmaniasis cutánea?,Puede ser entre 2 y 6 semanas.
¿Qué fármaco adyuvante se puede dar en casos graves de Leishmaniasis cutánea?,La Pentoxifilina.
¿Qué síntoma prodrómico diferencia al Zika por su intensidad?,El exantema maculopapular muy pruriginoso.
¿Cuál es el signo dermatológico inicial de la Leishmaniasis cutánea tras la picadura?,Un granuloma dérmico.
¿Qué alteración hematológica completa define la pancitopenia en la Leishmaniasis visceral?,"Disminución de glóbulos rojos, blancos y plaquetas."
¿Cuál es el vector de la Leishmaniasis?,El mosquito del género Lutzomyia (flebótomo).
¿Cuál es la mortalidad de la fiebre Chikungunya?,Tiene una mortalidad baja.
¿Cuál es el primer paso en el manejo del Dengue sin datos de alarma?,Hidratación con Vida Suero Oral (VSO) y reposo.
