¿Cuál es el principal microorganismo causal de la infección de vías urinarias (IVU)?,Escherichia coli.
Los microorganismos del tracto urinario se adquieren principalmente por la vía _____.,Ascendente.
¿Por qué la recurrencia de IVU es más común en el sexo femenino?,Por la corta longitud de la uretra y la proximidad al ano y vagina.
¿Cuántos urocultivos consecutivos se requieren para diagnosticar bacteriuria asintomática en mujeres?,Dos urocultivos.
¿Cuántos urocultivos se requieren para diagnosticar bacteriuria asintomática en hombres?,Un solo urocultivo.
¿Cuál es el recuento bacteriano necesario para definir bacteriuria asintomática?,$\geq 10^5$ UFC/ml.
¿Cómo se define una infección del tracto urinario (ITU) recurrente?,Tres o más episodios al año o dos en los últimos seis meses.
¿A qué grupo poblacional se limita la definición de ITU no complicada?,Mujeres no embarazadas sin anomalías anatómicas o funcionales.
"¿Qué condición clasifica automáticamente a un hombre con ITU como una ""ITU complicada""?",El simple hecho de ser varón.
¿En qué período de tiempo se considera que una ITU está asociada a sonda vesical tras su retiro?,En las primeras 72 horas.
"En una tira reactiva, ¿cuál es el dato de mayor importancia por su especificidad para IVU?",Nitritos.
"En una tira reactiva, ¿cuál es el parámetro con mayor sensibilidad para detectar infección?",Esterasa leucocitaria.
¿Qué síntomas permiten descartar patologías ginecológicas durante el diagnóstico de una IVU?,"Ausencia de síntomas vaginales, flujo, ardor o prurito."
¿Cuál es el estándar de oro para el diagnóstico de una infección de vías urinarias?,Urocultivo.
¿Por qué se recomiendan los esquemas cortos de 3 a 5 días para el tratamiento de la IVU?,Presentan menos efectos adversos gastrointestinales.
¿En qué pacientes se pueden considerar los AINEs como tratamiento de primera línea para síntomas leves de IVU?,Pacientes menores de 65 años.
¿Qué fármaco se sugiere específicamente para el control del dolor y síntomas irritativos urinarios?,Fenazopiridina.
¿Cuál es la recomendación de consumo de líquidos para prevenir infecciones urinarias?,Mayor a 1.5 litros de agua al día.
¿Qué remedios o hábitos se recomienda evitar para no interferir con la salud urinaria?,"Jugo de arándano, alcalinizantes de orina y duchas vaginales."
¿Cuál es la infección hospitalaria más frecuente?,Infección del tracto urinario.
¿En qué caso se debe tratar la bacteriuria asintomática en un paciente con sonda vesical?,Si la bacteriuria persiste 3 días después del retiro de la sonda.
Definición: Pielonefritis aguda.,Inflamación del parénquima y sistema colector por un proceso infeccioso con urocultivo positivo.
¿Cuál es el recuento de unidades formadoras de colonias necesario para diagnosticar pielonefritis?,"Al menos 100.000 UFC/$mm^3$."
"Además de E. coli, ¿cuáles son los otros dos patógenos más frecuentes en la pielonefritis?",Proteus y Klebsiella.
¿Qué característica clínica permite diferenciar una pielonefritis de una ITU baja?,"Presencia de síntomas sistémicos como fiebre, escalofríos y dolor en flanco."
¿Cuándo se indica realizar un ultrasonido de tracto urinario en pacientes con pielonefritis?,Si los síntomas persisten después de 72 horas de tratamiento.
¿Cuál es el tratamiento antibiótico ambulatorio de elección para pielonefritis leve-moderada?,Ciprofloxacino 1g o Levofloxacino 750mg.
¿Cuál es la duración del tratamiento para pielonefritis en el sexo masculino?,14 días.
¿Qué manifestación clínica obliga a cambiar el manejo de la pielonefritis a vía intravenosa y hospitalaria?,Intolerancia a la vía oral como náuseas y vómitos.
¿Cuál es el agente causal asociado a la pielonefritis granulomatosa?,Proteus.
¿Qué microorganismo es el agente causal más frecuente del absceso perirrenal?,Staphylococcus aureus.
¿Cuál es el tratamiento recomendado para un absceso renal causado por E. coli?,Ceftriaxona más drenaje percutáneo.
¿Qué estudio de imagen es el de elección para diagnosticar abscesos renales o pielonefritis enfisematosa?,Tomografía Axial Computarizada (TAC).
¿Cuál es el tratamiento definitivo para la pielonefritis enfisematosa?,Nefrostomía y drenaje.
¿Cuál es el segundo sitio más común de infección extrapulmonar por tuberculosis?,Tuberculosis genitourinaria.
¿Qué vía de transmisión utiliza Mycobacterium tuberculosis para llegar al tracto urinario?,Vía hematógena.
¿Qué elementos componen la tríada de Colombino en la tuberculosis genitourinaria?,"Orina ácida, piuria y orina aséptica."
¿Cuál es el diagnóstico de elección (cultivo) para la tuberculosis genitourinaria?,Cultivo de Löwenstein.
¿Qué hallazgo en la urografía es característico de la tuberculosis genitourinaria?,Mordisqueo de cálices.
¿Cómo se define la retención urinaria aguda?,Incapacidad súbita de vaciamiento de la vejiga a pesar de tener una vejiga llena.
¿Cuál es la principal etiología de retención urinaria en los hombres?,Hiperplasia prostática.
¿Cuál es la causa más frecuente de retención urinaria en las mujeres?,Prolapso pélvico.
¿A partir de qué volumen urinario es posible detectar matidez a la percusión vesical?,150 ml.
¿Qué volumen de orina en la vejiga permite su detección mediante la palpación?,200 ml.
¿Cuál es el manejo inicial de elección para un paciente con retención aguda de orina?,Cateterización vesical con sonda Foley.
¿Cómo debe realizarse el vaciamiento vesical seguro tras la cateterización por retención aguda?,En bloques de 400 ml con descansos de 15 minutos entre cada uno.
¿En qué situación se indica la punción suprapúbica en un caso de retención urinaria?,En caso de fracaso con la sonda Foley.
Concepto: Varicocele.,Tortuosidad y dilatación anormal del plexo pampiniforme por reflujo venoso.
¿Cuál es la principal causa de infertilidad masculina en el mundo?,Varicocele.
¿Qué porcentaje de los casos de varicocele afectan al testículo izquierdo?,$78-93\%$.
¿Cuál es el signo clínico clásico del varicocele a la inspección/palpación?,"Bolsa testicular con ""aspecto de gusano""."
¿Cuál es el método diagnóstico de elección para confirmar un varicocele?,Ultrasonido Doppler.
¿Qué estudio es considerado el estándar de oro para el diagnóstico de varicocele?,Venografía.
¿Qué caracteriza al grado I de varicocele según la clasificación de Dubin y Amelar?,Palpable únicamente con maniobra de Valsalva.
¿Qué caracteriza al grado II de varicocele según la clasificación de Dubin y Amelar?,Palpable en reposo.
¿Qué caracteriza al grado III de varicocele según la clasificación de Dubin y Amelar?,Visible en reposo.
¿Cuál es el tratamiento quirúrgico de elección para el varicocele?,Cirugía abierta con ligadura de Marmar.
¿Cuáles son los criterios del qSOFA que sugieren sospecha de urosepsis?,qSOFA $>2$.
¿Qué complicación obstétrica se asocia con la pielonefritis en el 75% de las embarazadas?,Parto prematuro.
¿En qué período de tiempo se debe reevaluar a una paciente hospitalizada por IVU si no hay mejoría inmediata?,En 48 a 72 horas.
