¿Qué hormona libera el hipotálamo para regular el ciclo genital femenino?,Hormona liberadora de gonadotropinas (GnRH).
¿Qué efecto tienen los pulsos rápidos de GnRH en la hipófisis?,Estimulan la liberación de hormona luteinizante (LH).
¿Qué efecto tienen los pulsos lentos de GnRH en la hipófisis?,Estimulan la liberación de hormona foliculoestimulante (FSH).
¿A qué capa del folículo ovárico estimula la FSH?,A la capa de la granulosa.
¿Cuál es la función principal de la FSH en el ovario?,Inducir el crecimiento folicular.
¿A qué capa del folículo ovárico estimula la LH?,A la capa de la teca.
¿Qué evento fisiológico es inducido por el pico de LH?,La ovulación.
¿Qué tipo de hormonas produce la capa de la teca bajo estímulo de la LH?,Andrógenos.
¿Qué enzima convierte los andrógenos en estrógenos en la granulosa?,Aromatasa.
¿Qué estructura produce la progesterona tras la ovulación?,El cuerpo lúteo.
¿Qué efecto tiene la progesterona sobre la temperatura corporal basal?,Aumenta la temperatura aproximadamente 1°C.
¿Cuál es el rango de duración normal de un ciclo menstrual según el material?,Entre 24 y 38 días.
¿Cuál es el volumen normal de hemorragia en un ciclo menstrual?,Entre 5 y 80 ml.
¿Cuál es el estrógeno predominante en la mujer en etapa reproductiva?,Estradiol.
¿Cuál es el estrógeno predominante durante el embarazo?,Estriol.
¿Cuál es el estrógeno predominante en la postmenopausia y en el SOP?,Estrona.
¿Qué norma oficial mexicana regula los servicios de planificación familiar?,NOM 005.
¿Qué mide el índice de Pearl en anticoncepción?,El número de embarazos no planeados por cada 100 mujeres al año.
¿Qué define la 'categoría 4' en los criterios de elegibilidad de la OMS?,Riesgo inaceptable o contraindicación absoluta para el uso del método.
¿Cuál es el mecanismo de acción principal del DIU de cobre?,Produce un ambiente uterino hostil e inflamatorio que interfiere con la movilidad espermática.
¿En qué pacientes se indica preferentemente el DIU de cobre según el texto?,"Mujeres mayores de 20 años nulíparas o con antecedentes de TVP, DM u obesidad."
¿Cuál es el método anticonceptivo de emergencia de elección?,El DIU de cobre.
¿Cuál es el límite de tiempo para colocar el DIU de cobre como anticoncepción de emergencia?,Dentro de las primeras 120 horas postcoitales.
¿Cuál es el efecto secundario más común del DIU de cobre?,Incremento del sangrado menstrual y dismenorrea.
¿Qué patología metabólica es una contraindicación específica para el DIU de cobre?,Enfermedad de Wilson.
¿Cuál es la indicación principal del DIU de levonorgestrel además de la anticoncepción?,Tratamiento de sangrados uterinos anormales (SUA).
¿Qué efecto secundario es frecuente tras el uso prolongado del DIU de levonorgestrel?,Amenorrea.
¿Cuál es el tiempo máximo para retirar un DIU en caso de embarazo?,Hasta las 12 semanas de gestación (SDG).
¿Qué sustancia activa contiene el implante subdérmico?,Levonorgestrel o Etonogestrel.
¿Cuál es el mecanismo de acción del implante subdérmico?,Inhibición de la ovulación y cambios en la consistencia del moco cervical.
¿Cuál es el método anticonceptivo reversible más eficaz disponible?,El implante subdérmico.
¿Cuánto tiempo tarda en retornar la fertilidad tras retirar el implante subdérmico?,Aproximadamente 3 meses.
¿Cada cuánto tiempo se aplica la inyección de medroxiprogesterona de 150 mg?,Cada 3 meses (12 semanas).
¿Qué efecto sobre la densidad ósea tiene el uso prolongado del inyectable trimestral?,Produce una reducción de la densidad ósea que revierte al suspender el uso.
¿Cuál es el mecanismo de acción de los anticonceptivos orales combinados (ACOS)?,Inhiben la ovulación mediante la supresión de las gonadotropinas hipofisarias.
¿En qué periodo del ciclo menstrual se recomienda iniciar los ACOS?,Dentro de los primeros 5 días del ciclo.
¿Por qué no se deben usar ACOS en los primeros 6 meses del postparto?,Debido a que los estrógenos pueden disminuir la producción de leche materna.
¿Qué conducta se debe seguir si una paciente vomita dentro de las 2 horas tras tomar un ACO?,Debe tomar otra tableta lo más pronto posible.
¿Qué método anticonceptivo es la elección durante la lactancia y el puerperio inmediato?,Pastillas de progestágeno (minipíldora).
¿Cuál es la eficacia típica de los condones masculinos en el primer año de uso?,Entre 15 y 21 embarazos por cada 100 mujeres.
¿Cuántos condones por mes debe proveer la clínica según los puntos clave?,Entre 12 y 15 condones.
¿Cuál es la ventana de tiempo ideal para la pastilla de emergencia de levonorgestrel?,Primeras 72 horas (aunque se menciona eficacia decreciente hasta las 120 h).
¿Cómo afecta un IMC > 25 a la eficacia de la pastilla de emergencia de levonorgestrel?,Disminuye significativamente su eficacia.
¿Cuál es el método definitivo con mayor efectividad global?,La vasectomía.
¿Qué técnicas se utilizan para realizar una vasectomía?,Schmidt (convencional) y Li Shunqiang (sin bisturí).
