¿Cuál es la causa más común de pérdida visual reversible según el material?,Las ametropías (defectos de refracción).
Defecto de refracción caracterizado por la dificultad para ver claramente los objetos distantes:,Miopía.
Defecto de refracción caracterizado por la dificultad para ver claramente los objetos cercanos:,Hipermetropía.
¿Qué estructura ocular presenta una curvatura anormal en el astigmatismo?,La córnea.
¿Cuál es el factor de riesgo principal relacionado con el peso al nacer para el desarrollo de ametropías?,"Peso menor a 1.500 gramos."
"En la etapa preescolar, ¿cuál es la prevalencia del astigmatismo?",28%.
¿Cuál es el valor de agudeza visual que define la ceguera según la OMS?,$20/400$.
¿Cuál es la agudeza visual esperada en un recién nacido?,$3/200$.
¿Cuál es la agudeza visual esperada a los 3 meses de edad?,$20/200$.
¿A qué edad se espera que un niño alcance una agudeza visual de $20/100$?,Al año de edad.
¿Cuál es el rango de agudeza visual normal para un niño de 3 a 4 años?,$20/50$.
¿Cuál es la agudeza visual esperada entre los 5 y 6 años de edad?,$20/20$.
"En menores de un año, ¿cómo debe evaluarse la agudeza visual?",Mediante el reflejo de fijación y seguimiento con oclusión alternante.
¿Cómo es el tamaño del globo ocular en un paciente con miopía?,Más largo de lo normal.
¿Cómo es el tamaño del globo ocular en un paciente con hipermetropía?,Más corto de lo normal.
¿Cuál es el defecto de refracción más común?,La miopía.
¿Cuál es la indicación para el uso de lentes en el primer año de vida en un paciente miope?,Miopía mayor a $-5$ dioptrías.
¿Qué complicación retiniana tiene un riesgo elevado en pacientes con miopía moderada o grave?,Desprendimiento de retina.
Concepto: Astenopia,"Definición: Fatiga ocular, ardor y dolor causados por el esfuerzo acomodativo, común en la hipermetropía."
¿Qué tipo de estrabismo se asocia frecuentemente a la hipermetropía para compensar el defecto?,Estrabismo convergente (acomodativo).
¿Qué patología de los párpados puede coexistir con el astigmatismo debido a la compensación constante?,Blefaritis.
¿Cuál es el método de diagnóstico de primera elección para evaluar la agudeza visual?,Cartilla de Snellen.
¿A qué distancia (en pies y metros) se debe colocar la cartilla de Snellen?,A 20 pies (6 metros).
¿Qué instrumento se utiliza cuando el paciente no lee las letras pequeñas para determinar si la causa es refractiva?,Aparato (agujero) estenopeico.
¿Cuántas dioptrías definen una ametropía severa?,Más de 6 dioptrías.
¿Qué tipo de lentes se utilizan para corregir la miopía?,"Lentes cóncavos, negativos o divergentes."
¿Qué tipo de lentes se utilizan para corregir la hipermetropía?,"Lentes convexos, positivos o convergentes."
¿Qué tipo de lentes son específicos para el tratamiento del astigmatismo?,Lentes tóricos.
¿Hasta cuántas dioptrías puede corregir la cirugía LASIK en un paciente miope?,Hasta 7 dioptrías.
¿Cuál es la complicación más frecuente de la cirugía LASIK?,Ojo seco.
Definición de Blefaritis:,"Inflamación crónica del borde palpebral, de origen multifactorial."
¿Cuál es el factor de riesgo dermatológico más frecuente asociado a la blefaritis?,Acné rosácea.
¿Qué glándulas se afectan en la blefaritis anterior?,Glándulas de Zeiss y de Moll.
¿Qué glándulas se afectan en la blefaritis posterior?,Glándulas de Meibomio.
¿Cuál es el agente etiológico más común en la blefaritis anterior estafilocócica?,$Staphylococcus aureus$.
¿Qué hallazgo clínico es característico de la blefaritis anterior estafilocócica en las pestañas?,Cilindros de fibrina en la base de la pestaña.
¿Cuál es el pilar fundamental del tratamiento de la blefaritis y por cuánto tiempo mínimo?,Higiene palpebral por 6 semanas.
¿Cuál es el tratamiento antibiótico tópico de elección para la blefaritis?,Sulfacetamida tópica.
¿Qué antibióticos sistémicos se pueden emplear en la blefaritis posterior?,Tetraciclina o Doxiciclina.
Definición de Chalazión:,Granuloma inflamatorio crónico de una glándula de Meibomio por obstrucción.
¿Cuál es la característica principal que diferencia al chalazión del orzuelo en cuanto al dolor?,El chalazión suele ser una lesión no dolorosa (estéril).
Definición de Orzuelo:,"Inflamación aguda, usualmente infecciosa, de las glándulas de los párpados."
¿Qué agentes bacterianos causan el orzuelo con mayor frecuencia?,$S. aureus$ y $S. epidermidis$.
¿Cuál es el tratamiento farmacológico tópico para un orzuelo?,Cloranfenicol o Eritromicina tópica.
¿En qué patología se debe sospechar ante un chalazión recidivante?,Carcinoma de glándulas sebáceas.
¿Cuál es el tumor maligno de párpado más frecuente?,Carcinoma basocelular.
¿Qué cambios produce el humo del cigarro en la película lagrimal?,Cambios en la capa lipídica por peroxidación lipídica.
"En el síndrome de ojo seco moderado (Estadio II), ¿cuál es el tiempo de ruptura lagrimal esperado?",$\le 10$ segundos.
¿Cuál es el tratamiento para el Estadio IV (severo incapacitante) del síndrome de ojo seco?,"AINEs sistémicos, acetilcisteína, goggles o cirugía."
¿Qué hallazgo diferencia la celulitis orbitaria de la preseptal?,"La celulitis orbitaria presenta alteración de la motilidad ocular, proptosis y disminución de la agudeza visual."
¿Cuál es el estudio de imagen confirmatorio para la celulitis orbitaria?,Tomografía Axial Computarizada (TAC).
¿Cuál es el esquema antibiótico intravenoso para la celulitis orbitaria?,Vancomicina + Ceftriaxona.
¿Cuál es la causa de la dacriocistitis en el recién nacido?,Imperforación del conducto lacrimonasal.
¿Cuál es el tratamiento inicial para la dacriocistitis del recién nacido?,Masajes en el saco lagrimal (el 90% resuelve espontáneamente).
¿Cuál es el síntoma principal de la dacriocistitis crónica en el adulto?,Epífora (lagrimeo constante).
Definición de Dacrioadenitis:,Inflamación de la glándula lagrimal principal.
"En el trauma ocular por químicos, ¿cuál es la medida inmediata de primer auxilio?",Lavar con solución fisiológica durante 10 a 20 minutos.
¿Qué indica el hallazgo de una 'córnea blanca' tras un trauma ocular?,Quemadura por cáusticos.
Concepto: Hiposfagma,"Definición: Hemorragia subconjuntival súbita e indolora, de color rojo brillante y bordes mal definidos."
¿Cuánto tiempo tarda normalmente en remitir un hiposfagma sin tratamiento?,De 2 a 3 semanas (período máximo de 10-38 días).
¿Qué es la presbicia y a qué edad suele iniciar?,Disminución de la elasticidad del cristalino que impide enfocar de cerca; inicia a partir de los 40 años.
¿Qué vitamina está deficiente en un paciente con ceguera nocturna y manchas de Bitot (xeroftalmia)?,Vitamina A.
¿Cuál es la causa número uno de ceguera irreversible a cualquier edad?,Glaucoma.
¿Cuál es la causa número uno de ceguera en personas menores de 65 años?,Retinopatía diabética.
¿Cuál es el tratamiento de elección para lesiones por chalazión menores de 4 mm?,Triamcinolona tópica e higiene palpebral.
"En dacriocistitis aguda supurada del adulto, ¿qué antibiótico se recomienda?",Dicloxacilina.
¿Qué estudio de imagen es la elección para evaluar un trauma ocular y descartar cuerpos extraños o fracturas?,Tomografía Axial Computarizada (TAC).
