¿Cómo se define el asma desde el punto de vista fisiopatológico?,Enfermedad inflamatoria crónica de las vías respiratorias con hiperreactividad y obstrucción del flujo aéreo.
¿Qué característica tiene la obstrucción del flujo aéreo en el paciente asmático?,Es total o parcialmente reversible.
¿Cuál es la enfermedad crónica más frecuente en la infancia y la adolescencia?,Asma.
¿Cuál es la prevalencia reportada de asma en México?,$11.7 \%$.
Mencione las cuatro células principales involucradas en el proceso inflamatorio del asma.,"Mastocitos, eosinófilos, linfocitos T e interleucinas ($IL-2$, $IL-5$)."
¿Cuáles son los tres ejes principales para la clasificación del asma?,"Control de síntomas, nivel de gravedad y fenotipos."
Factores de riesgo para exacerbación: ¿En qué estaciones del año suele iniciar la temporada de crisis?,Otoño e invierno.
¿Qué cantidad de síntomas definen a un paciente pediátrico como 'bien controlado'?,Ningún síntoma.
¿Cuántos síntomas presenta un paciente pediátrico con asma 'no controlada'?,Tres o cuatro síntomas.
¿Cómo se clasifica el control de un paciente que presenta uno o dos síntomas de asma?,Parcialmente controlada.
¿Qué nivel de tratamiento y $VEF_1$ definen el asma leve?,"Control con paso 1, 2 o 3 y $VEF_1 > 70 \%$."
¿Qué valor de $VEF_1$ es característico del asma grave?,Menor del $60 \%$.
"En niños $> 5$ años, ¿cuántos síntomas diurnos a la semana sugieren falta de control?",$\ge 2$ veces por semana.
"En niños $< 5$ años, ¿cuántos despertares nocturnos al mes se consideran un criterio de falta de control?",$\ge 1$ vez al mes.
¿Qué fenotipo de asma se caracteriza por antecedentes alérgicos personales y familiares?,Asma alérgica o de inicio temprano.
¿Qué caracteriza al fenotipo de asma con limitación fija al flujo de aire?,Remodelación de la vía aérea o falta de reversibilidad tras años de padecer la enfermedad.
"¿Cuál es el síntoma más común del asma, usualmente seco y paroxístico?",Tos (con predominio nocturno).
¿Cuántos síntomas clave se requieren para realizar el diagnóstico clínico de asma?,Presencia de $2$ o más síntomas.
Mencione los tres criterios mayores para el diagnóstico de asma en niños $< 3$ años.,"Historia de padre(s) con asma, dermatitis atópica diagnosticada y sensibilización alérgica a $\ge 1$ aeroalérgeno."
¿Cuál es el punto de corte de eosinofilia periférica considerado como criterio menor en niños $< 3$ años?,$\ge 4 \%$.
¿Cuál es el estudio estándar para confirmar el diagnóstico de asma?,Espirometría con prueba de reversibilidad con broncodilatador.
¿Qué valor de la relación $VEF_1/FVC$ indica un patrón obstructivo?,$< 0.7$.
¿Qué incremento en el $VEF_1$ se considera una prueba de reversibilidad positiva?,Incremento de $\ge 12 \%$ o $\ge 200$ ml.
¿Qué alternativa diagnóstica se debe considerar si no se puede realizar una espirometría?,Medición del flujo espiratorio pico (FEP).
¿Qué tipo de inflamación refleja la Fracción Espiratoria de Óxido Nítrico (FENO)?,Inflamación eosinofílica tipo 2 en la vía aérea.
"En niños $\ge 6$ años, ¿qué valor de FENO se asocia a un diagnóstico de asma?",$\ge 35$ ppb.
¿Cuál es el rango de $SpO_2$ en una crisis asmática leve a moderada?,$90 \%$ a $95 \%$.
¿Cómo es el lenguaje de un paciente pediátrico durante una crisis asmática grave?,Habla entrecortada en palabras.
¿Qué frecuencia cardíaca indica una crisis asmática grave en pediatría?,$120$ a $140$ LPM.
¿Cuáles son los signos clínicos de un paro respiratorio inminente por asma?,"Confusión o letargo, silencio auscultatorio, bradicardia o arritmias."
¿Cuál es el tratamiento de primera elección para el rescate en crisis asmáticas?,SABA inhalado (Salbutamol).
¿Cuál es la dosis máxima de inhalaciones de Salbutamol recomendada cada $20$ min en una crisis?,$10$ inhalaciones.
¿En qué caso se debe añadir Bromuro de Ipratropio al tratamiento de crisis?,En crisis moderada sin respuesta o en crisis grave.
"En niños $\ge 4$ años sin mantenimiento previo, ¿con qué tratamiento se inicia según el esquema de prevención?",Mantenimiento (Paso $2$-$4$ según gravedad) y SABA a demanda.
¿En qué consiste el Paso 2 del tratamiento de control simple?,Corticoesteroide inhalado (CEI) a dosis baja.
¿Cuál es el tratamiento de primera línea en el Paso 3 para niños pediátricos?,CEI dosis baja + LABA.
¿A partir de qué paso del tratamiento de control se debe enviar al paciente con un especialista?,Paso 4.
¿Qué fármaco biológico (anti-IgE) se puede usar en el Paso 5 a partir de los 6 años?,Omalizumab.
