¿Qué tipo de reacción de hipersensibilidad caracteriza a la rinitis alérgica?,Hipersensibilidad tipo $I$ (mediada por $IgE$).
Porcentaje de pacientes con rinitis alérgica que desarrollan síntomas antes de los $20$ años.,$80\%$.
Factor de riesgo para rinitis alérgica relacionado con los niveles de $IgE$ antes de los $6$ años.,$IgE > 100\ UI/ml$.
Hallazgo clásico en la exploración física de los cornetes en un paciente con rinitis alérgica.,Inflamación azulada de los cornetes.
Concepto: Línea alérgica,Surco transversal en el puente nasal debido al frotamiento crónico de la nariz (saludo alérgico).
¿Qué son los pliegues de Dennie-Morgan?,"Líneas o pliegues cutáneos acentuados debajo del párpado inferior, asociados a rinitis alérgica."
Estudio de primera elección para el diagnóstico de rinitis alérgica.,Citología nasal.
Criterio para establecer el diagnóstico definitivo de rinitis alérgica.,Presencia de $IgE$ específica contra alérgenos.
¿Cuál es la tríada del tratamiento empírico inicial para la rinitis alérgica?,Evitar alérgeno + antihistamínico (oral o nasal) + esteroide nasal.
Tratamiento de elección para pacientes con rinitis alérgica de tipo persistente.,Esteroides nasales (como furoato de mometasona).
Indicación específica para el uso de antagonistas de receptores de leucotrienos (Montelukast) en rinitis alérgica.,Solo en casos que no responden a la primera línea de tratamiento.
Conducta ante un paciente con azelastina crónica y síntomas persistentes moderados.,Suspender el antihistamínico e iniciar esteroide nasal.
Definición temporal de la rinosinusitis aguda.,Proceso infeccioso e inflamatorio que persiste por más de $10$ días y menos de $3$ meses.
¿Cuáles son los agentes bacterianos más frecuentes en la rinosinusitis aguda?,"$S.\ pneumoniae$, $H.\ influenzae$ y $M.\ catarrhalis$."
Senos paranasales más frecuentemente afectados por rinosinusitis en la población pediátrica.,Maxilares y etmoidales.
Mencione los síntomas mayores diagnósticos de rinosinusitis.,"Rinorrea purulenta, obstrucción nasal, dolor facial, hiposmia/anosmia y fiebre."
Mencione los síntomas menores de la rinosinusitis aguda.,"Tos, halitosis y cefalea."
Considerado el signo cardinal de la rinosinusitis bacteriana.,Drenaje nasal o descarga purulenta.
Estándar de oro para el diagnóstico de rinosinusitis.,Cultivo de secreción de los senos paranasales.
¿Qué proyección radiográfica es de mayor utilidad ante duda diagnóstica en rinosinusitis?,Radiografía de Waters.
Tratamiento antibiótico de primera elección para rinosinusitis bacteriana.,Amoxicilina o Amoxicilina con Ácido Clavulánico.
Dosis de amoxicilina/clavulanato recomendada en rinosinusitis aguda severa.,$80$-$90\ mg/kg/día$.
Alternativa de tratamiento antibiótico en pacientes con rinosinusitis y alergia a la penicilina.,"Claritromicina, azitromicina o eritromicina."
Indicación para el tratamiento quirúrgico (aspiración transnasal) en rinosinusitis.,"Fracaso al tratamiento de segunda línea, inmunocompromiso o complicaciones."
Complicaciones graves de la rinosinusitis bacteriana aguda.,"Celulitis orbital, abscesos (subperióstico/orbital), infección intracraneal y trombosis del seno cavernoso."
¿Cuál es el sitio de origen del $90\%$ de los sangrados en la epistaxis anterior?,Plexo de Kiesselbach (Área de Little).
Arteria responsable del sangrado en la epistaxis posterior.,Arteria esfenopalatina.
Tratamiento de primera elección ante un cuadro de epistaxis aguda.,Presión nasal directa + vasoconstrictor local (ej. oximetazolina).
Opciones de segunda elección para el control de la epistaxis si la presión directa falla.,Cauterización eléctrica o química con nitrato de plata.
Método de taponamiento nasal utilizado en epistaxis graves cuando otros métodos fallan.,Sonda Foley.
Tratamiento quirúrgico ideal para la epistaxis posterior.,Ligadura de la arteria esfenopalatina.
Patología hematológica que debe descartarse siempre en primer lugar ante epistaxis recurrentes.,Púrpura Trombocitopénica Idiopática.
Definición de Parálisis de Bell.,Disfunción del $VII$ par craneal (facial) de etiología desconocida.
Factores de riesgo asociados al desarrollo de Parálisis de Bell.,"Diabetes mellitus, hipertensión, embarazo, obesidad y preeclampsia."
Fenómeno de Bell: Descripción.,Movimiento ascendente del ojo al intentar cerrar los párpados.
Componentes del Síndrome de Ramsay-Hunt.,Parálisis facial + hipoacusia + vértigo (causado por Herpes Zóster).
¿Qué escala se utiliza para estadificar la severidad de la parálisis facial?,Escala de House-Brackmann.
Tratamiento farmacológico de primera elección en la Parálisis de Bell.,Prednisona oral ($1\ mg/kg/día$ por $5$ días).
Ventana de tiempo ideal para iniciar el tratamiento con esteroides en la Parálisis de Bell.,Primeras $48$-$72$ horas del cuadro clínico.
Medidas generales esenciales para la protección ocular en la parálisis facial.,"Oclusión de ojo (parche), lágrimas artificiales y terapia física."
¿Cuál es la prueba diagnóstica de elección para el Síndrome de Apnea Obstructiva del Sueño (SAOS)?,Polisomnografía ($PSG$).
Predictor anatómico de riesgo para SAOS basado en la circunferencia del cuello.,$>38\ cm$ en mujeres y $>40\ cm$ en hombres.
Mencione tres síntomas diurnos del SAOS en adultos.,"Somnolencia excesiva, cefalea matutina y fatiga crónica."
Síntoma de SAOS en niños que involucra la pérdida de control de esfínteres durante la noche.,Enuresis secundaria.
Tratamiento de elección para SAOS en adultos sin alteraciones maxilofaciales.,$CPAP$ (Presión Positiva Continua en la Vía Aérea).
Alternativa de tratamiento en adultos que no toleran el $CPAP$.,Dispositivos de avance mandibular.
Tratamiento quirúrgico indicado en niños con SAOS e hipertrofia amigdalina.,Amigdalectomía (Tratamiento quirúrgico de la vía aérea).
Sitio anatómico de la laringe donde se origina el cáncer con mayor frecuencia ($59\%$).,Glotis.
Principal tipo histológico del cáncer de laringe.,Carcinoma epidermoide.
Principal factor de riesgo modificable para prevenir el cáncer de laringe.,Tabaquismo.
Síntoma temprano característico del cáncer de glotis.,Disfonía.
Estudio diagnóstico inmediato ante la presencia de una masa cervical o adenopatía sospechosa.,Biopsia por Aspiración con Aguja Fina ($BAAF$).
Utilidad de la exploración endoscópica en el protocolo de estudio de cáncer de laringe.,Identificar tumores primarios sincrónicos.
Etiología más frecuente de la papilomatosis laríngea.,Virus del Papiloma Humano ($VPH$) tipos $6$ y $11$.
Mencione la tríada clásica de la papilomatosis laríngea.,"Disfonía, estridor y dificultad respiratoria."
Grupo de edad más afectado por la papilomatosis laríngea juvenil.,Niños menores de $5$ años.
Estudio diagnóstico inicial ante sospecha de papilomatosis laríngea.,Nasofibrolaringoscopía flexible.
Tratamientos adyuvantes farmacológicos utilizados en papilomatosis laríngea.,Cidofovir y Bevacizumab.
Método quirúrgico de elección para la resección de papilomas laríngeos.,Láser $CO_{2}$ o microdebridación.
