¿En qué espacio intercostal y línea se localiza el foco aórtico?,"Segundo espacio intercostal derecho, línea paraesternal."
¿Dónde se sitúa exactamente el foco pulmonar para la auscultación?,"Segundo espacio intercostal izquierdo, línea paraesternal."
Localización del foco tricuspídeo:,"Cuarto espacio intercostal izquierdo, línea paraesternal."
¿En qué punto anatómico se ausculta mejor el foco mitral?,"Quinto espacio intercostal izquierdo, línea medio-clavicular."
¿Cuál es la ubicación del foco de Erb (área general del corazón)?,Tercer espacio intercostal izquierdo.
¿Qué evento mecánico produce el primer ruido cardíaco ($R_1$)?,El cierre de las válvulas auriculoventriculares (mitral y tricuspídea).
¿En qué foco auscultatorio se escucha con mayor intensidad el ruido $R_1$?,Foco mitral.
¿Qué fase del ciclo cardíaco ocurre entre los ruidos $R_1$ y $R_2$?,La sístole.
¿Qué fenómeno fisiológico genera el segundo ruido cardíaco ($R_2$)?,El cierre de las válvulas semilunares (aórtica y pulmonar).
¿Qué fase del ciclo cardíaco sucede entre los ruidos $R_2$ y $R_1$?,La diástole.
¿A qué fenómeno fisiopatológico se asocia la presencia de un tercer ruido ($R_3$)?,"Llenado ventricular rápido, común en insuficiencia cardíaca o dilatación ventricular."
¿Qué indica la presencia de un cuarto ruido cardíaco ($R_4$)?,Contracción auricular forzada contra un ventrículo rígido (hipertrofia o isquemia).
¿En qué momento de la respiración ocurre el desdoblamiento fisiológico del segundo ruido?,Durante la inspiración.
El desdoblamiento amplio del segundo ruido cardíaco se asocia patológicamente con el _____.,Bloqueo de rama derecha
¿Qué trastorno eléctrico se sospecha ante un desdoblamiento paradójico (en espiración) del segundo ruido?,Bloqueo de rama izquierda.
Propiedad cardíaca: Automatismo,Definición: Capacidad del nodo SA para generar impulsos eléctricos automáticamente.
Propiedad cardíaca: Inotropismo,Definición: Capacidad de contracción del músculo cardíaco.
Propiedad cardíaca: Cronotropismo,Definición: Capacidad de regulación de la frecuencia cardíaca.
Propiedad cardíaca: Dromotropismo,Definición: Propiedad para la propagación del impulso eléctrico.
Propiedad cardíaca: Batmotropismo,Definición: Capacidad del corazón de responder a estímulos eléctricos (excitabilidad).
¿Qué neurotransmisor y receptor median el cronotropismo positivo (simpático)?,Noradrenalina actuando en receptores $\beta-1$.
¿Qué neurotransmisor y receptor median el cronotropismo negativo (parasimpático)?,Acetilcolina actuando en receptores muscarínicos $M_2$.
¿Qué estructura anatómica regula el dromotropismo retrasando el impulso para permitir el llenado ventricular?,El nodo auriculoventricular (AV).
Potencial de acción: Fase 0,Evento: Despolarización rápida por ingreso masivo de $Na^+$ a través de canales rápidos.
¿Cuál es el cambio de voltaje aproximado durante la Fase 0 del potencial de acción?,De $-90$ mV a $+20$ mV.
Potencial de acción: Fase 1,Evento: Repolarización inicial por salida breve de $K^+$ a través de canales transitorios.
Potencial de acción: Fase 2 (Meseta),Evento: Entrada lenta de $Ca^{2+}$ (canales tipo L) y salida simultánea de $K^+$.
Potencial de acción: Fase 3,Evento: Repolarización rápida por cierre de canales de $Ca^{2+}$ y salida masiva de $K^+$.
¿Cuál es la función principal de la bomba $Na^+/K^+$ durante la Fase 4?,Restablecer los electrolitos sacando $3 Na^+$ y metiendo $2 K^+$ para mantener el potencial de reposo.
Clasificación de Vaughan Williams: Clase I,"Mecanismo: Bloquean canales de $Na^+$ y actúan en la Fase 0 (ej. Lidocaína, Propafenona)."
Clasificación de Vaughan Williams: Clase II,Mecanismo: Betabloqueadores que disminuyen el automatismo actuando en la Fase 4.
Clasificación de Vaughan Williams: Clase III,"Mecanismo: Bloquean canales de $K^+$, prolongan la repolarización y el QT (ej. Amiodarona)."
Clasificación de Vaughan Williams: Clase IV,"Mecanismo: Bloquean canales de $Ca^{2+}$ y actúan en la Fase 2 (ej. Verapamilo, Diltiazem)."
¿Qué evento eléctrico representa la onda P en el EKG?,La despolarización auricular (contracción de las aurículas).
¿Cuál es la duración normal del intervalo PR?,$0.12$ a $0.20$ segundos.
¿Qué representa el complejo QRS y cuál es su duración normal?,Representa la despolarización ventricular y dura menos de $0.12$ segundos.
¿Qué evento eléctrico se manifiesta como la onda T en el EKG?,La repolarización ventricular.
¿Cómo se define la bradicardia sinusal según la frecuencia cardíaca?,Frecuencia cardíaca menor a $60$ latidos por minuto (LPM).
¿Qué hallazgo en el intervalo PR es característico del Síndrome de Wolff-Parkinson-White?,Acortamiento del PR (menor a $0.12$ s) debido a una vía accesoria.
"En el EKG, un intervalo PR mayor a $0.20$ segundos es diagnóstico de _____.",Bloqueo auriculoventricular (AV)
¿Qué indica un complejo QRS ancho (mayor a $0.12$ s) en un paciente con taquicardia?,Que el impulso se genera en los ventrículos (ej. taquicardia ventricular) o hay un bloqueo de rama.
¿Qué patología coronaria se asocia con una elevación del segmento ST?,Infarto transmural por oclusión total de una arteria coronaria.
¿Qué sugiere una depresión del segmento ST en el EKG?,Isquemia subendocárdica o angina de esfuerzo.
¿Cuál es la alteración electrolítica clásica que produce ondas T picudas?,Hiperpotasemia (hiperkalemia).
¿Qué hallazgo en la onda T sugiere isquemia miocárdica subepicárdica?,Onda T invertida.
Hallazgo EKG: Ausencia de ondas P y ritmo irregular.,Fibrilación auricular.
¿Qué arritmia se caracteriza por ondas en 'dientes de sierra'?,Flutter auricular.
¿Qué evento eléctrico fatal presenta una actividad desorganizada sin complejos QRS identificables?,Fibrilación ventricular.
¿Qué caracteriza a la taquicardia supraventricular en términos de frecuencia y QRS?,Frecuencia de $150-250$ LPM y complejo QRS estrecho.
¿Qué componente del EKG marca el inicio de la sístole ventricular?,El complejo QRS.
¿En qué fase del potencial de acción actúan los fármacos de Clase III como la Amiodarona?,Fase 3 (repolarización rápida).
¿Cuál es la causa fisiológica del retraso del impulso en el nodo AV?,Permitir que las aurículas se contraigan y vacíen su sangre en los ventrículos antes de la sístole ventricular.
¿Qué representa la onda delta en el EKG?,"Preexcitación ventricular, característica del síndrome de Wolff-Parkinson-White."
¿Qué alteración del potasio puede alterar el potencial de reposo y afectar la excitabilidad (batmotropismo)?,Tanto la hiperkalemia como la hipokalemia.
¿Qué fármacos se utilizan típicamente en la Fase 4 del potencial de acción (Clase II)?,Betabloqueadores como el Metoprolol o Propanolol.
