¿Cuál es el objetivo de cobertura de vacunación para la población general en México para el año 2025?,Mantener vacunada al $95\%$ de la población.
¿Qué porcentaje de vacunación con esquema completo se busca alcanzar en menores de un año para 2025?,Alcanzar el $90\%$ de vacunación.
¿En qué año se consolidó el Programa de Vacunación Universal en México?,En 1991.
Las vacunas donde los agentes pierden su patogenicidad pero se pueden seguir replicando se denominan vacunas _____.,Vivas atenuadas
¿Qué componente de las vacunas inactivas o muertas es el encargado de generar inmunidad?,El epítopo.
¿Cuál es el tiempo máximo de uso de un frasco multidosis de vacuna viva atenuada una vez abierto?,Hasta 6 horas.
¿Cuánto tiempo puede durar abierto un frasco de la cepa Tokio para la vacuna BCG?,Máximo 4 horas.
Los frascos multidosis de vacunas inactivadas pueden usarse hasta _____ días después de abiertos si se conservan adecuadamente.,28 días
¿Cuál es el rango de temperatura estándar para la refrigeración de vacunas?,$+2^{\circ}C$ a $+8^{\circ}C$.
¿A qué temperatura se deben encontrar las vacunas congeladas (como la de Varicela)?,$-18^{\circ}C$ a $-25^{\circ}C$.
¿Cuál es el rango de temperatura para la ultracongelación de vacunas?,$-60^{\circ}C$ a $-90^{\circ}C$.
¿Qué distancia debe existir entre dos sitios de vacunación cuando las aplicaciones son simultáneas en la misma zona?,De $2.5$ cm a $5$ cm.
"¿Cuánto tiempo debe estar abierto, como máximo, un frasco de vacuna liofilizada?",6 horas.
¿Qué intervalo de tiempo se debe esperar entre la administración de dos vacunas vivas atenuadas?,4 semanas.
¿Qué tipo de agente biológico contiene la vacuna BCG?,Bacterias vivas atenuadas (Mycobacterium bovis).
¿Contra qué formas graves de tuberculosis protege principalmente la vacuna BCG?,Miliar y meníngea.
¿Cuál es la dosis y vía de administración de la vacuna BCG?,$0.1$ ml por vía intradérmica.
¿En qué sitio anatómico se aplica específicamente la vacuna BCG?,Región deltoidea del brazo derecho.
¿Cuál es la contraindicación de peso para la aplicación de BCG en un recién nacido?,Peso menor a $2$ kg.
¿Bajo qué condición de CD4 se puede aplicar la BCG en pacientes con VIH?,Con un conteo de CD4 mayor a $25\%$.
El crecimiento de un ganglio ipsilateral tras la aplicación de BCG se conoce como _____.,BCGitis
¿Cuál es el tratamiento para casos graves de BCGosis diseminada?,"Esquema RIPE (Rifampicina, Isoniazida, Pirazinamida, Etambutol)."
¿Cuál es el orden cronológico de la evolución de la cicatriz de BCG?,"Pápula, mácula, nódulo, úlcera, costra y cicatriz."
¿Qué antígeno compone la vacuna contra la Hepatitis B?,Antígeno de superficie (AgSHB) recombinante.
¿Cuál es el tiempo ideal para aplicar la dosis de nacimiento de Hepatitis B?,En las primeras 24 horas de vida.
