¿Cómo se define la insuficiencia cardíaca aguda (ICA) según el inicio de los síntomas?,Como el inicio súbito de signos y síntomas relacionados con el aumento de la presión telediastólica del ventrículo izquierdo.
¿Cuál es la principal consecuencia fisiopatológica de la ICA sobre los órganos principales?,La disminución de la perfusión tisular.
"En México, ¿cuál es el porcentaje aproximado de defunciones relacionadas con problemas cardíacos?",El $90\%$ de las defunciones.
¿Qué estados de México se mencionan como los más afectados por problemas cardíacos?,"Veracruz, Morelos y San Luis Potosí."
Menciona tres etiologías comunes de la insuficiencia cardíaca aguda.,"Síndromes coronarios agudos, valvulopatías y emergencias hipertensivas."
¿Cuál es la fórmula para calcular la fracción de eyección ($FEVI$)?,$FEVI = (Volumen \: sistólico / Volumen \: telediastólico) \times 100$.
¿Cuál es el rango considerado normal para la fracción de eyección?,Entre el $50\%$ y el $75\%$.
¿Qué síntomas se asocian directamente con la disminución del gasto cardíaco en la insuficiencia cardíaca?,Fatiga y debilidad.
¿Qué valor de $FEVI$ define a la insuficiencia cardíaca con fracción de eyección reducida (ICFER)?,$FEVI \le 40\%$.
¿Qué rango de $FEVI$ caracteriza a la insuficiencia cardíaca con fracción de eyección media?,Entre $41\%$ y $49\%$.
¿A partir de qué porcentaje se considera insuficiencia cardíaca con fracción de eyección preservada?,$FEVI \ge 50\%$.
Menciona dos causas frecuentes de insuficiencia cardíaca con fracción de eyección reducida.,Miocardiopatía isquémica y miocardiopatía dilatada.
¿Qué tipo de miocardiopatías suelen presentar una $FEVI \ge 50\%$?,"Miocardiopatía restrictiva, hipertrófica y no compactada."
¿Cuáles son las causas principales de la disfunción del ventrículo derecho?,"Hipertensión pulmonar, infarto del ventrículo derecho o miocardiopatía arritmogénica."
¿Qué nivel de péptido natriurético tipo B ($BNP$) descarta el diagnóstico de ICA?,Niveles menores de $100 \: pg/mL$.
¿Qué nivel de $NT-proBNP$ permite descartar la insuficiencia cardíaca aguda?,Niveles menores de $300 \: pg/mL$.
¿Qué valor de $MR-pro-ANP$ se utiliza para descartar el diagnóstico de ICA?,Valores menores a $120 \: pmol/L$.
"En el contexto de ICA, ¿cuándo se recomienda realizar un ecocardiograma?",En cuanto el recurso esté disponible tras la sospecha clínica.
¿En qué condición específica de la ICA se puede considerar la ventilación mecánica no invasiva?,En el edema pulmonar cardiogénico.
¿Qué representa el perfil hemodinámico 'Caliente y Seco' (A)?,Representa la insuficiencia cardíaca compensada.
¿Cuál es el patrón hemodinámico más común en pacientes con ICA?,Caliente y Húmedo (B).
¿Cuál es el tratamiento de primera línea para el perfil hemodinámico 'Caliente y Húmedo'?,"Diuréticos de asa intravenosos, como la furosemida."
¿Qué fármaco se puede agregar si persiste la congestión a pesar del uso de diuréticos de asa?,Acetazolamida.
¿Cuál es la indicación para la ultrafiltración en un paciente con ICA?,Cuando existe fracaso al tratamiento farmacológico.
