¿Cuál es el principal agente etiológico de la bronquiolitis?,Virus Sincitial Respiratorio (VSR).
¿Cuál es el rango de edad más afectado por la bronquiolitis?,Lactantes de $3$ a $6$ meses de edad.
La bronquiolitis se presenta casi exclusivamente en niños menores de _____ años.,$2$
¿En qué meses del año hay una mayor prevalencia de bronquiolitis?,De noviembre a marzo.
¿Qué síntomas caracterizan los días $1$ a $3$ de la evolución de la bronquiolitis?,"Febrícula, rinorrea y tos."
¿Qué signos clínicos aparecen típicamente entre los días $4$ y $6$ en la bronquiolitis?,"Taquipnea, hipoxia, sibilancias espiratorias y cianosis."
¿Cuál es el hallazgo característico en la exploración física de un lactante con bronquiolitis?,Prolongación de la fase espiratoria.
¿Cuál es la duración promedio del cuadro clínico de la bronquiolitis?,$12$ días.
"Fisiopatológicamente, ¿qué causa la obstrucción de la luz bronquiolar en la bronquiolitis?","Edema, moco, broncoespasmo y necrosis de las células epiteliales."
¿Cómo se realiza el diagnóstico inicial de la bronquiolitis?,Es meramente clínico.
¿Bajo qué circunstancia se debe solicitar una radiografía de tórax en bronquiolitis?,Solo en caso de duda diagnóstica.
¿Cuáles son los hallazgos radiográficos de atrapamiento de aire en bronquiolitis?,"Hiperinsuflación, radiolucidez y atelectasias."
¿Cuál es el pilar del tratamiento para la bronquiolitis?,Tratamiento sintomático y de soporte.
¿Qué tipo de nebulización se recomienda en el manejo de la bronquiolitis?,Nebulización con $NaCl$ al $3\%$ (solución hipertónica).
¿A partir de qué nivel de saturación de oxígeno se indica oxigenoterapia en bronquiolitis?,Cuando la saturación es menor al $90\%$.
¿En qué caso se recomienda administrar una dosis de salbutamol en un paciente con bronquiolitis?,"Cuando hay antecedente de atopia, asma o alergia."
¿Cuáles son los factores de riesgo principales para desarrollar bronquiolitis?,"Prematurez, tabaquismo pasivo, contaminación y cardiopatías congénitas."
¿Qué escala se utiliza para clasificar la gravedad de la bronquiolitis?,Escala de Wood-Downes.
¿Qué fármaco se utiliza para la prevención de bronquiolitis en pacientes de alto riesgo?,Palivizumab.
¿Cuál es el agente etiológico de la tos ferina?,Bordetella pertussis.
¿Qué tipo de bacteria es Bordetella pertussis según la tinción de Gram?,Bacteria Gram negativa.
¿Qué grupo de edad es el más afectado por la tos ferina?,Niños de $6$ meses a $3$ años de edad.
¿Cuál es la duración característica de la fase catarral en la tos ferina?,$2$ semanas.
¿En qué fase de la tos ferina el paciente presenta el mayor grado de contagiosidad?,Fase catarral.
¿Qué síntomas definen la fase paroxística de la tos ferina?,"Accesos de tos cianosante, estridor inspiratorio y tos quintosa."
¿Qué se entiende por 'tos quintosa' en el contexto de la tos ferina?,Presencia de más de $5$ accesos de tos seguidos.
¿Cuál es la manifestación clínica típica de la tos ferina en niños muy pequeños?,Apneas.
¿Qué hallazgo en la biometría hemática sugiere el diagnóstico de tos ferina?,Linfocitosis.
¿Cuál es el 'gold estándar' para el diagnóstico de tos ferina?,Cultivo nasofaríngeo.
¿Cuál es el tratamiento antibiótico de elección en la fase catarral de la tos ferina?,Eritromicina por $14$ días.
¿Qué alternativa antibiótica se indica en tos ferina en caso de alergia a macrólidos?,Trimetoprima con sulfametoxazol ($TMP$-$SMX$).
¿Qué profilaxis se debe administrar a los contactos estrechos de un paciente con tos ferina?,Eritromicina por $14$ días.
¿A qué edad y en qué población se aplica la vacuna $Tdpa$ según el material?,Niños mayores de $7$ años y embarazadas entre las $27$ y $36$ $SDG$.
"En la tos ferina, ¿qué toxina bacteriana es responsable de la parálisis de los cilios respiratorios?",Toxina dermonecrótica.
¿Qué efecto produce la toxina pertussis en el paciente?,"Sensibilidad a la histamina, lo que desencadena la tos."
¿Cuál es la definición de tos ferina según la OMS?,Más de $21$ días con tos asociada a criterios epidemiológicos o confirmación de laboratorio.
¿Cuál es el agente etiológico más común de la laringotraqueítis (crup)?,Virus Parainfluenza tipo $1$.
¿En qué rango de edad es más frecuente la laringotraqueítis?,De $6$ meses a $3$ años de edad.
¿Cuál es la tríada clínica característica del crup?,"Tos traqueal (perruna), estridor laríngeo inspiratorio y disfonía."
¿Cómo se describe el signo radiológico clásico en una proyección AP de cuello en el crup?,Signo de la punta de lápiz (o de la torre/aguja).
¿Cuál es la piedra angular del tratamiento farmacológico de la laringotraqueítis?,Corticosteroides (Dexametasona).
¿Cuál es la dosis recomendada de dexametasona vía oral para el crup?,$0.6$ mg/kg en dosis única.
¿Qué fármaco se añade al tratamiento en casos de laringotraqueítis grave?,Epinefrina racémica o L-epinefrina nebulizada.
¿Cuál es la meta de saturación de oxígeno en un paciente con laringotraqueítis?,Mantener una saturación mayor al $92\%$.
¿Qué procedimiento de enfermería está contraindicado en la laringotraqueítis?,Aspiración nasofaríngea.
¿Cuál es el principal agente etiológico de la epiglotitis según el ENARM?,Haemophilus influenzae.
¿Qué posición adopta típicamente un niño con epiglotitis para facilitar la respiración?,"Posición en trípode (sentado, cuello en hiperextensión y boca abierta)."
¿Cuáles son las '4 D's' clínicas de la epiglotitis?,"Disnea, Disfagia, Disfonía y Drooling (sialorrea)."
¿Cuál es el estudio de imagen inicial que se debe solicitar en epiglotitis tras estabilizar al paciente?,Radiografía lateral de cuello.
¿Cuál es el signo radiológico patognomónico de la epiglotitis en la placa lateral?,Signo del pulgar.
¿Cuál es el estándar de oro (diagnóstico definitivo) para la epiglotitis?,Nasofibroscopia o laringoscopia directa.
¿Cuál es la prioridad absoluta en el tratamiento de la epiglotitis?,Asegurar la permeabilidad de la vía aérea (intubación si es necesario).
¿Cuáles son los antibióticos de elección para el tratamiento de la epiglotitis?,Cefotaxima o Ceftriaxona.
¿Qué fármacos NO se deben utilizar en el manejo de la epiglotitis?,Epinefrina y corticoesteroides.
¿Qué medicamento se utiliza como profilaxis para los contactos de un paciente con epiglotitis?,Rifampicina.
¿Qué patología se caracteriza por ronquera progresiva y pérdida de voz en un preescolar con cuadro de resfriado?,Laringitis catarral.
¿Cuál es la causa probable de sibilancias y cianosis en un lactante de $1$ a $3$ meses con antecedente de aspiración de leche?,Neumonitis por aspiración.
¿Qué complicación bacteriana presenta fiebre y estridor mixto con pobre respuesta a epinefrina tras un cuadro de crup vírico?,Traqueítis bacteriana.
"En el diagnóstico diferencial, ¿cuál es la principal diferencia clínica entre el inicio de la bronquiolitis y la epiglotitis?",La bronquiolitis tiene un inicio insidioso (días previos de resfriado) y la epiglotitis es de inicio brusco y fulminante.
¿Qué hallazgo clínico diferencia primordialmente a la laringotraqueítis de la epiglotitis?,La presencia de tos traqueal (perruna) en el crup vs. sialorrea y ausencia de tos en la epiglotitis.
¿Qué define a un caso de crup leve según el algoritmo?,Ausencia de estridor en reposo y dificultad respiratoria leve.
¿Qué define a un caso de crup grave según el algoritmo?,Estridor y dificultad respiratoria grave con agitación o letargia.
¿Cuál es la mortalidad asociada a la neumonitis por aspiración según el texto?,$25\%$.
¿En qué fase de la tos ferina se presentan las complicaciones como encefalopatía o convulsiones?,Fase de convalecencia.
Concepto: Tos quintosa,Definición: Accesos paroxísticos de tos (más de $5$ en una sola espiración) seguidos de un estridor inspiratorio.
¿Qué componente de Bordetella pertussis se utiliza para el diseño de vacunas?,Hemaglutinina.
¿Cuál es la conducta a seguir ante un crup moderado que no mejora tras $4$ horas de administración de dexametasona?,Hospitalizar y administrar epinefrina nebulizada.
