"Tipo de pelvis considerada ideal para el trabajo de parto, con una frecuencia del 50%.",Pelvis ginecoide.
Tipo de pelvis que presenta el peor pronóstico para el parto y es la segunda más frecuente.,Pelvis androide.
Pelvis menos común (5%) asociada históricamente a mujeres que caminaron antes de los 14 meses.,Pelvis platipeloide.
"Límite anatómico del primer plano de Lee, correspondiente a una presentación móvil.",Desde el promontorio hasta el borde superior de la sínfisis púbica (-4 cm).
"Límite anatómico del segundo plano de Lee, donde la presentación se considera fija.",Desde el borde inferior de la sínfisis púbica a la segunda vértebra sacra (-2 cm).
Nivel anatómico que define el tercer plano de Lee (presentación encajada o 0 cm).,Nivel de las espinas iliácas.
"Límite anatómico del cuarto plano de Lee, correspondiente a una presentación profundamente encajada.",Desde el vértice del sacro a la punta del cóccix (+4 cm).
Concepto: Situación fetal.,Relación entre el eje mayor del feto y el eje vertical uterino.
Indicación absoluta de cesárea en una situación transversa respecto a la posición del dorso.,Dorso inferior.
Concepto: Presentación fetal.,Parte del cuerpo fetal que se encuentra más cercana al canal de parto.
Variante de la presentación pélvica que conlleva un mayor riesgo de prolapso de cordón.,Presentación pélvica incompleta.
"Diámetro cefálico fetal más importante para el parto, con una medida máxima de 9.5 cm.",Suboccipitobregmático (biparietal).
Concepto: Posición fetal.,Orientación de la presentación respecto a la pelvis materna.
Variedad de posición más común en el trabajo de parto.,Occipito anterior izquierda.
Causa frecuente de parto prolongado relacionada con la rotación de la presentación.,Posición posterior que rota a anterior.
Concepto: Actitud fetal.,Grado de flexión o extensión de la cabeza fetal.
Posibles causas de una actitud fetal en extensión durante el parto.,Hipotonía fetal o daño neurológico.
Hito que marca el inicio del primer periodo del trabajo de parto (dilatación).,Inicio de contracciones dolorosas y presencia de cambios cervicales.
Criterios de dilatación y borramiento para definir la fase latente.,Dilatación menor a 5 cm y borramiento menor al 50%.
Duración normal de la fase latente en una paciente nulípara.,12 a 18 horas.
Duración normal de la fase latente en una paciente multípara.,6 a 12 horas.
Tiempo requerido para diagnosticar una fase latente prolongada en nulíparas.,Más de 20 horas.
Tiempo requerido para diagnosticar una fase latente prolongada en multíparas.,Más de 14 horas.
Criterios de dilatación y borramiento que definen el inicio de la fase activa.,Más de 5 cm de dilatación y borramiento mayor al 50%.
Duración promedio de la fase activa en pacientes nulíparas.,8 a 18 horas.
Duración promedio de la fase activa en pacientes multíparas.,5 a 12 horas.
Signo clínico que podría indicar un trabajo de parto detenido durante la fase activa.,Más de 2 horas sin cambios cervicales.
¿Por qué la OMS (2018) no recomienda el criterio de 1 cm/h para diagnosticar falta de progresión?,Debido a la gran variabilidad reportada en la tasa de dilatación.
Hitos que delimitan el segundo periodo del trabajo de parto (expulsión).,Desde la dilatación completa hasta la expulsión del feto.
Duración estándar del periodo expulsivo.,60 minutos a 2 horas.
Maniobra que consiste en ejercer presión sobre el mentón fetal y controlar la salida de la cabeza.,Maniobra de Ritgen.
Última maniobra mecánica que realiza el feto antes de su expulsión total.,Rotación externa.
Maniobra proscrita en el periodo expulsivo por riesgo de ruptura uterina.,Maniobra de Kristeller.
Hitos que delimitan el tercer periodo del trabajo de parto (alumbramiento).,Desde el pinzamiento del cordón hasta la expulsión de la placenta.
Tiempo recomendado para el pinzamiento tardío de cordón en recién nacidos sanos.,30 a 60 segundos.
Fármaco de elección para el manejo activo del tercer periodo y prevención de hemorragia posparto.,Oxitocina.
Condiciones maternas o fetales que obligan al pinzamiento inmediato del cordón umbilical.,"DPPNI, ruptura uterina, paro cardíaco materno o asfixia neonatal."
Maniobra de expulsión placentaria que consiste en girar la placenta sobre su propio eje.,Maniobra de Dublín.
Maniobra de expulsión placentaria que combina presión suprapúbica con tracción del cordón.,Maniobra de Brand-Andrews.
Frecuencia recomendada para vigilar las contracciones uterinas durante la primera fase.,Cada 30 minutos.
Frecuencia recomendada para realizar el tacto vaginal durante la fase activa.,Cada 4 horas (o más si es necesario).
Técnica de episiotomía considerada de primera elección.,Técnica mediolateral.
Antibióticos recomendados para el tratamiento de una episiotomía infectada.,"Cefalosporinas de 2da/3ra generación, eritromicina o clindamicina."
Material de sutura preferido para la reparación de la episiotomía.,Vicryl.
Complicaciones tardías asociadas a la realización de una episiotomía.,"Dispareunia, adherencias y endometriosis."
Acciones durante el segundo periodo que disminuyen el riesgo de desgarros y uso de episiotomía.,Uso de compresas calientes y masaje perineal.
Definición: Violencia obstétrica.,Apropiación del cuerpo femenino y procesos reproductivos mediante trato deshumanizado y medicación abusiva.
Tiempo recomendado para iniciar la lactancia materna tras el nacimiento.,Durante la primera hora de vida.
Intervención de rutina en el ingreso a labor que NO se recomienda según la evidencia actual.,Realización de enemas evacuantes.
Recomendación sobre la tricotomia en el trabajo de parto amigable.,No realizar tricotomia de forma rutinaria.
Norma Oficial Mexicana (NOM) que regula la atención del trabajo de parto.,NOM-007.
Posición materna recomendada para realizar el monitoreo fetal.,"Decúbito lateral izquierdo, sentada o media posición vertical."
Sustancia de abuso cuyo consumo se asocia específicamente a bajo peso al nacimiento.,Cocaína.
Secuencia de los movimientos cardinales del parto (pasos 1 al 4).,"Encajamiento, descenso, flexión y rotación interna."
Secuencia de los movimientos cardinales del parto (pasos 5 al 7).,"Extensión, rotación externa y expulsión."
Punto toconómico en una presentación cefálica de vértice.,Occipucio.
Punto toconómico en una presentación pélvica.,Sacro.
Porcentaje de casos en los que la presentación fetal es cefálica.,97%.
La amniorrexis _____ no se recomienda para acelerar el parto de forma rutinaria.,Inducida (artificial).
¿Bajo qué condiciones se recomienda el registro cardiotocográfico de rutina?,No se recomienda de rutina en embarazos de bajo riesgo con trabajo de parto espontáneo.
Frecuencia de vigilancia de la FCF con Doppler o Pinard durante las contracciones.,Cada 15 a 30 minutos.
Procedimiento prohibido durante el alumbramiento para evitar complicaciones.,Revisión manual de la cavidad uterina.
Acción recomendada al ingreso a sala de labor para evitar el uso de sondas.,Favorecer la micción espontánea.
Objetivo principal del manejo activo del tercer periodo del parto.,Disminuir el riesgo de hemorragia posparto.
"En una incompatibilidad de grupo Rh, ¿qué extremo del cordón se debe pinzar inmediatamente?",Solo el extremo fetal.
