¿Qué porcentaje de las muertes infantiles ocurren durante los primeros $28$ días de vida?,El $50\%$ de las muertes infantiles.
¿Cuál es la causa número uno de muerte neonatal en México según el material proporcionado?,Asfixia e infecciones ($51.3\%$).
"En América Latina, ¿cuáles son las tres causas principales de muerte neonatal en orden de frecuencia?","$1.$ Infecciones, $2.$ asfixia y $3.$ prematurez."
¿Cómo se clasifica a un recién nacido prematuro tardío según las semanas de gestación (SDG)?,Entre $34$ y $36$ SDG.
¿Qué rango de semanas de gestación define a un prematuro moderado?,Entre $28$ y $34$ SDG.
Un recién nacido con menos de $28$ semanas de gestación se clasifica como prematuro _____.,Extremo
¿Cuándo se deben realizar las citas de control tras el nacimiento?,A los $7$ días y a los $28$ días.
¿Cuánto tiempo se debe esperar para realizar un pinzamiento tardío del cordón umbilical?,De $30$ segundos a $1$ minuto.
"Durante el pinzamiento tardío, ¿a qué distancia se debe dejar el cordón umbilical?",A $15$ cm.
¿Cuál es el beneficio del pinzamiento tardío en recién nacidos a término?,Mejor neurodesarrollo y menor posibilidad de anemia.
¿Qué riesgos se asocian al pinzamiento tardío del cordón umbilical?,Ictericia y policitemia.
¿Cómo se define a un recién nacido con peso extremadamente bajo?,Peso inferior a $1000$ gramos.
Un recién nacido con peso inferior a $1500$ gramos se clasifica como peso _____.,Muy bajo
¿Cuál es el rango de peso considerado adecuado para un recién nacido ($P10-90$)?,Entre $2500$ y $3999$ gramos.
¿Cuál es el mejor indicador antropométrico para evaluar la edad gestacional?,El perímetro cefálico.
¿Cuál es el promedio del perímetro cefálico al nacer?,$35$ cm $\pm 2$ cm.
¿Qué porcentaje de peso se considera normal perder durante la primera semana de vida (periodo hebdomadario)?,El $10\%$ del peso (fisiológico).
¿A qué edad el lactante suele duplicar su peso del nacimiento?,A los $5$ meses.
¿A qué edad el niño suele triplicar su peso del nacimiento?,A los $12$ meses ($1$ año).
¿En qué momento se espera que un niño duplique su talla al nacer?,A los $4$ años.
¿Cómo se interpreta un puntaje de APGAR de $7$ a $10$ puntos?,Normal.
¿Qué estado clínico indica un puntaje de APGAR de $4$ a $6$ puntos?,Depresión moderada.
Un puntaje de APGAR menor a $3$ puntos se interpreta como depresión _____.,Severa
¿En qué minutos se debe evaluar la escala de APGAR de forma rutinaria?,Al minuto $1$ y al minuto $5$.
¿La escala de APGAR es útil para predecir daño neurológico a largo plazo?,"No, no predice daño neurológico."
¿Qué evalúa la escala de Silverman-Anderson?,La dificultad respiratoria del recién nacido.
¿Cómo se interpreta un puntaje de $0$ en la escala de Silverman-Anderson?,Sin dificultad respiratoria.
¿Cuál es la conducta a seguir ante un Silverman-Anderson mayor a $7$ puntos?,Intubación inmediata (dificultad respiratoria severa).
¿Para qué tipo de recién nacidos se utiliza la escala de Capurro para estimar la edad gestacional?,En mayores de $34$ SDG.
¿En qué grupo de edad gestacional se prefiere el uso del test de Ballard modificado?,En menores de $34$ SDG.
¿Cuál es el rango de temperatura considerado normotermia en el recién nacido?,$36$ a $37.5$ °C.
¿En qué periodo de tiempo debe ocurrir la primera uresis (micción)?,Dentro de las primeras $24$ horas.
¿En qué periodo de tiempo debe ocurrir la primera evacuación intestinal?,Dentro de las primeras $48$ horas.
¿Qué patógenos busca prevenir la profilaxis oftálmica neonatal?,Chlamydia y Gonococo.
¿Cuál es el tiempo máximo que se puede retrasar la administración de la profilaxis oftálmica?,$4$ horas.
¿Cuál es la causa más frecuente de oftalmia neonatal?,Chlamydia (serotipos D-K).
¿En qué periodo de tiempo suele aparecer la conjuntivitis gonocócica?,Durante los primeros $4$ días de vida.
¿Cuál es la dosis de Vitamina K (fitomenadiona) para la profilaxis de hemorragia en un RN mayor de $34$ SDG?,$1$ mg IM dosis única.
¿Cuál es la dosis de Vitamina K para un recién nacido menor de $34$ SDG?,$0.5$ mg IM.
¿En qué momento se presenta típicamente la enfermedad hemorrágica clásica del recién nacido?,Entre las $48$ y $72$ horas de vida.
¿Cuál es la vía y el sitio de administración de la vacuna BCG?,$0.1$ ml intradérmica (ID) en la región deltoidea derecha.
¿Cuál es la contraindicación de peso para la aplicación de la vacuna BCG?,Peso inferior a $2000$ gramos.
¿En qué periodo se debe aplicar la primera dosis de la vacuna contra Hepatitis B?,Dentro de las primeras $12$ horas de vida.
¿Cuál es el requerimiento hídrico de un recién nacido en su primer día de vida?,$70$ ml/kg/día.
Fórmula para calcular la capacidad gástrica del recién nacido: _____.,$(\text{Peso} \times 10) - 3$
¿Qué medida ha demostrado reducir la mortalidad neonatal y aumentar la lactancia a largo plazo?,Contacto piel con piel en la primera hora de vida.
¿Cuándo se debe realizar la primera exploración física del recién nacido?,Al nacimiento.
¿Cuál es la prueba inicial del tamiz auditivo?,Emisiones otoacústicas (EOA).
¿Qué prueba se realiza si las emisiones otoacústicas son anormales por segunda vez?,Potenciales evocados auditivos de tronco cerebral (PEATC).
¿En qué ventana de tiempo se debe realizar el tamiz cardiológico?,Entre las $6$ y $48$ horas del nacimiento (idealmente a las $24$ horas).
"¿Qué resultado en el tamiz cardiológico se considera un ""positivo inmediato""?",$SatO_2 < 90\%$ en mano derecha o pie.
¿Qué prueba diagnóstica se realiza en el tamiz oftalmológico antes de las $24$ horas?,Prueba del reflejo rojo.
¿Qué hallazgo en el reflejo rojo es el dato más importante para sospechar retinoblastoma?,Leucocoria (ausencia de reflejo rojo).
¿Cuál es la alteración cutánea más frecuente que aparece al $2^{\circ}$ o $3^{\circ}$ día y presenta eosinófilos en el frotis?,Eritema tóxico del recién nacido.
¿Qué células se observan en el frotis de una lesión de melanosis pustulosa?,Neutrófilos.
"Las pápulas blanquecinas en mejillas, nariz y mentón se conocen como _____.",Quistes de Milium
¿Dónde se localizan las perlas de Epstein?,En el rafe palatino medio.
¿Dónde se localizan las perlas de Bonn?,En las crestas alveolares.
¿Qué raíces nerviosas se afectan en la parálisis de Erb-Duchenne?,$C5$-$C7$.
¿Cuál es la posición característica del brazo en la parálisis de Erb-Duchenne?,Propina de camarero.
¿Qué raíces nerviosas se afectan en la parálisis de Dejerine-Klumpke?,$C8$-$T1$.
¿Qué síndrome puede complicar la parálisis de Dejerine-Klumpke si se afecta $T1$?,"Síndrome de Horner (ptosis, miosis, enoftalmos)."
¿Cómo se diferencia el caput succedaneum del cefalohematoma respecto a las suturas craneales?,El caput succedaneum atraviesa suturas y el cefalohematoma las respeta.
¿Cuál es el tratamiento indicado para el cefalohematoma?,Conservador (no se indica incisión ni drenaje).
¿Por qué mecanismos se produce la pérdida de calor después del nacimiento?,"Conducción, convección, evaporación y radiación."
¿A partir de qué nivel de glucosa se considera hipoglucemia en el recién nacido?,Menor de $47$ mg/dL.
¿Cuál es la principal causa de reingreso hospitalario en recién nacidos?,Ictericia ($51\%$).
¿Qué patología se debe sospechar ante una fontanela pequeña?,"Microcefalia, síndrome de Apert o enfermedad de Crouzon."
¿Qué condiciones se asocian con una fontanela grande?,"Hipotiroidismo, Trisomías ($13, 18, 21$), acondroplasia u osteogénesis imperfecta."
