¿A qué se refiere el término de Infarto Agudo de Miocardio (IAM)?,A la evidencia de daño miocárdico con elevación de troponinas cardíacas mayor al percentil 99 del límite superior de referencia.
¿Cuál es la fisiopatología más común del Infarto Agudo de Miocardio?,Obstrucción por aterotrombosis secundaria a la rotura o erosión de una placa de aterosclerosis.
¿Cómo se define el IAM con elevación del segmento ST (IAM CEST)?,Paciente con elevación de troponinas y elevación del segmento ST en al menos dos derivaciones contiguas.
¿Qué caracteriza a la angina inestable en comparación con el IAM?,Presenta clínica de infarto pero sin elevación de troponinas mayor al percentil 99 ni alteraciones en el electrocardiograma.
¿Cuál es la duración típica de la clínica en una angina inestable?,Mayor a 20 minutos.
¿Qué factores alivian el dolor en una angina estable?,El reposo o la administración de nitroglicerina.
¿Cuál es la duración del dolor en una angina estable?,De 3 a 5 minutos.
"Según la cuarta definición universal, ¿qué criterio electrocardiográfico (además de las troponinas) permite diagnosticar un IAM?",Cambios isquémicos nuevos o el desarrollo de nuevas ondas $Q$ patológicas.
Clasificación Universal: ¿Qué mecanismo define al IAM tipo 1?,Ruptura o erosión de placa aterosclerótica.
Clasificación Universal: ¿A qué se debe un IAM tipo 2?,A un desequilibrio entre la demanda y el aporte de oxígeno.
Clasificación Universal: ¿Qué define al IAM tipo 3?,Muerte cardíaca súbita que ocurre antes de poder determinar el IAM mediante biomarcadores.
Clasificación Universal: ¿Qué evento causa un IAM tipo 4b?,Trombosis del stent.
Clasificación Universal: ¿En qué contexto ocurre un IAM tipo 5?,Secundario a una cirugía de revascularización coronaria.
¿Cuál es el principal factor de riesgo para enfermedad coronaria?,Hipertensión arterial sistémica (presente en el $60\%$ de los casos).
¿Qué sustancia es una causa principal de infarto en personas jóvenes sin factores de riesgo tradicionales?,Cocaína.
¿Cuál es la principal causa de muerte intrahospitalaria en pacientes con infarto?,Choque cardiogénico.
¿Cuál es la principal causa de muerte extrahospitalaria en pacientes con infarto?,Fibrilación ventricular.
¿En qué grupos de pacientes son más frecuentes los síntomas atípicos de isquemia?,"Mujeres, pacientes diabéticos y pacientes geriátricos."
¿Cuáles son los sitios de irradiación o localización del dolor considerados síntomas atípicos?,"Cuello, tórax posterior y epigastrio."
¿Cuál es el tiempo meta para realizar un EKG de 12 derivaciones tras la llegada del paciente?,Primeros 10 minutos.
¿En qué momento se debe repetir el ecocardiograma tras un IAM para valorar la necesidad de un DAI?,A las 6 a 12 semanas después del evento agudo.
¿Cuál es el biomarcador cardíaco que se eleva primero tras un infarto?,Mioglobina (1 a 2 horas).
¿Cuál es el biomarcador cardíaco con mayor especificidad diagnóstica?,Troponina I.
¿Qué biomarcador cardíaco permanece elevado por más tiempo?,Troponina T.
¿Cuál es la cinética de elevación y persistencia de la CPK-MB?,Se eleva de 3 a 6 horas y persiste hasta por 3 días.
¿Qué derivaciones adicionales deben solicitarse ante la sospecha de un infarto posterior?,"$V_{7}, V_{8}$ y $V_{9}$."
¿Qué derivaciones se utilizan para diagnosticar un infarto del ventrículo derecho?,$V_{3}R$ y $V_{4}R$.
¿Qué derivaciones del EKG corresponden a la cara septal del corazón?,$V_{1}$ y $V_{2}$.
¿Qué derivaciones del EKG evalúan la cara anterior del corazón?,$V_{3}$ y $V_{4}$.
¿Qué derivaciones del EKG corresponden a la cara lateral alta y baja?,"$DI, aVL, V_{5}$ y $V_{6}$."
¿Qué derivaciones del EKG evalúan la cara inferior del corazón?,"$DII, DIII$ y $aVF$."
¿Qué arteria coronaria suele estar afectada en un infarto de la cara anterior ($V_{1}$ a $V_{6}$)?,Arteria descendente anterior.
¿Qué arteria coronaria se asocia típicamente a un infarto de la cara lateral?,Arteria circunfleja.
¿Cuál es la arteria afectada en el $85\%$ de los infartos de cara inferior?,Arteria coronaria derecha.
"En el contexto de isquemia, ¿qué hallazgo en la onda T indica afección subendocárdica?",Onda T picuda.
"En el contexto de isquemia, ¿qué hallazgo en la onda T indica afección subepicárdica?",Onda T negativa.
"En el contexto de lesión, ¿qué cambio en el segmento ST indica afección subendocárdica?",Infradesnivel del segmento ST.
