¿Cuál es el trastorno hemorrágico hereditario más frecuente?,Enfermedad de Von Willebrand.
¿Qué glicoproteína se encarga de unir el colágeno subendotelial con el receptor plaquetario $GPIb$?,Factor Von Willebrand ($FVW$).
"Además de la adhesión plaquetaria, ¿qué factor de la coagulación estabiliza el $FVW$ prolongando su vida media?",Factor $VIII$.
¿Qué tipo de herencia predomina en la Enfermedad de Von Willebrand?,Autosómica dominante.
La deficiencia cuantitativa parcial del $FVW$ define a la Enfermedad de Von Willebrand tipo _____.,1
¿Qué porcentaje de los casos de Enfermedad de Von Willebrand corresponden al tipo 1?,$75-85\%$.
¿En qué consiste la alteración de la Enfermedad de Von Willebrand tipo 2?,Deficiencia cualitativa del $FVW$.
¿Qué tipo de deficiencia y herencia presenta la Enfermedad de Von Willebrand tipo 3?,Deficiencia cuantitativa total con herencia autosómica recesiva.
¿Cuál es la localización más frecuente del sangrado en la Enfermedad de Von Willebrand?,Mucosas.
¿Qué prueba de laboratorio se considera el estándar de confirmación para la Enfermedad de Von Willebrand?,Cofactor de Ristocetina.
¿A partir de qué nivel de actividad del $FVW$ se genera riesgo de hemorragia?,Menor a $30\ UI/dL$.
¿Cuál es el tratamiento de elección para favorecer la liberación de $FVW$ desde las células endoteliales?,Desmopresina ($DDAVP$).
¿Qué opciones terapéuticas se recomiendan para el manejo de la menorragia en mujeres con Enfermedad de Von Willebrand?,Anticonceptivos orales o DIU hormonal.
"En una embarazada con $EvW$ tipo 1, el parto puede manejarse sin tratamiento si el nivel de cofactor de ristocetina es superior a _____.",$50\ UI/dL$.
¿En qué condición obstétrica se debe evitar específicamente el uso de desmopresina ($DDAVP$)?,Preeclampsia.
¿Qué factor de la coagulación es deficiente en la Hemofilia A?,Factor $VIII$.
¿Qué tipo de herencia presentan tanto la Hemofilia A como la Hemofilia B?,Ligada al cromosoma $X$.
¿Cuál es la principal causa de muerte en pacientes con Hemofilia?,Hemorragia por traumatismo craneoencefálico ($TCE$).
¿Qué manifestación clínica se considera patognomónica de la Hemofilia?,Hemartrosis (hemorragia articular).
¿Cuál es la articulación más frecuentemente afectada por hemartrosis en adultos con hemofilia?,Rodilla.
¿Qué articulación es el sitio más frecuente de hemartrosis en pacientes pediátricos y adolescentes con hemofilia?,Tobillo.
¿Qué hallazgo se observa en los tiempos de coagulación de un paciente con Hemofilia A?,$TTP$ alargado con $TP$ normal.
La Hemofilia B también es conocida como enfermedad de _____.,Christmas
¿Qué factor de la coagulación está ausente en la Hemofilia B?,Factor $IX$.
¿Cuál es la manifestación clínica típica de la Hemofilia B durante la infancia temprana?,Gingivorragia durante la erupción dentaria.
¿Cómo se clasifica la severidad de la hemofilia si la actividad del factor es menor al $1\%$?,Hemofilia grave.
¿Qué rango de actividad del factor define a la hemofilia moderada?,$1-5\%$.
¿A partir de qué porcentaje de actividad se clasifica la hemofilia como leve?,Mayor al $5\%$ (pero menor al normal).
¿Qué vía de la coagulación evalúa el Tiempo Parcial de Tromboplastina ($TTP$)?,Vía intrínseca.
¿Qué vía de la coagulación evalúa el Tiempo de Protrombina ($TP$)?,Vía extrínseca y vía común.
¿Cuál es la utilidad del $INR$ en la práctica clínica?,Estandarizar los resultados del $TP$ en pacientes que toman antagonistas de la vitamina $K$.
¿Qué caracteriza biológicamente a los Síndromes Mielodisplásicos?,Citopenias progresivas y dishematopoyesis.
¿Qué porcentaje de los Síndromes Mielodisplásicos se asocian a causas secundarias como quimioterapia o radiación?,$20\%$.
Mencione dos fármacos antineoplásicos comúnmente asociados al desarrollo de Síndrome Mielodisplásico secundario.,Alquilantes y antraciclinas.
¿Qué hallazgo en el frotis de sangre periférica sugiere un Síndrome Mielodisplásico?,Neutrófilos ($PMN$) hipogranulares.
¿Cuál es el límite máximo de porcentaje de blastos en médula ósea para el diagnóstico de Síndrome Mielodisplásico?,Menos del $20\%$.
¿Qué nivel de hemoglobina se busca mantener mediante apoyo transfusional en pacientes con SMD?,$8-10\ g/dL$.
¿Cuándo se indica el uso de quelantes de hierro como la desferroxamina en pacientes con SMD?,Más de $20$ transfusiones o ferritina mayor a $1000\ ng/mL$.
Mencione dos fármacos específicos utilizados en el tratamiento de los Síndromes Mielodisplásicos.,Lenalidomida y Azacitidina.
¿Qué tríada clínica caracteriza el estado de hiperviscosidad en la Policitemia Vera?,"Hipertensión, visión borrosa y dolor abdominal."
¿Qué síntoma cutáneo es característico de la Policitemia Vera tras la exposición al agua caliente?,Prurito.
¿Cuál es el criterio de hemoglobina para el diagnóstico de Policitemia Vera en hombres?,Mayor a $18.5\ g/dL$.
¿Cuál es el criterio de hemoglobina para el diagnóstico de Policitemia Vera en mujeres?,Mayor a $16.5\ g/dL$.
¿Cómo se encuentran los niveles de eritropoyetina en la Policitemia Vera?,Disminuidos.
¿Qué mutación genética está presente en la mayoría de los pacientes con Policitemia Vera?,$JAK2$.
¿Cuál es el pilar del tratamiento inicial para reducir el hematocrito en Policitemia Vera?,Flebotomía.
¿Qué cifra de plaquetas define a la Trombocitemia Esencial?,"Mayor a $450,000/\mu L$."
¿Qué hallazgo es característico en la biopsia de médula ósea de un paciente con Trombocitemia Esencial?,Megacariocitos con núcleos hiperlobulados.
¿Qué fármaco se utiliza en Trombocitemia Esencial para reducir el conteo plaquetario si hay riesgo elevado?,Hidroxiurea.
¿Qué proceso fisiopatológico define a la Mielofibrosis Primaria?,Mieloproliferación clonal con fibrosis medular reactiva.
¿Cuál es el hallazgo físico más prominente en la Mielofibrosis Primaria debido a la hematopoyesis extramedular?,Hepatoesplenomegalia masiva.
¿Cuál es el único tratamiento curativo para la Mielofibrosis Primaria?,Trasplante de células progenitoras hematopoyéticas ($TCHP$) alogénico.
