¿Cómo se define fisiopatológicamente la enfermedad hemorroidal?,Como el prolapso de las estructuras vasculares del canal anal por rotura de sus mecanismos de sujeción.
¿Cuáles son las tres localizaciones principales de los cojinetes hemorroidales?,"Lateral izquierdo, anterolateral derecho y posterolateral derecho."
¿Cuál es el pico de incidencia por edad y sexo de la enfermedad hemorroidal?,Hombres de $45$ a $65$ años.
¿Cuál es la causa más frecuente de rectorragia en atención primaria?,La enfermedad hemorroidal.
Mencione tres factores de riesgo principales para el desarrollo de hemorroides.,"Aumento de presión intraabdominal, embarazo y estreñimiento."
¿Dónde se localizan las hemorroides externas respecto a la línea dentada?,Por debajo de la línea dentada (tercio inferior del canal anal).
¿De qué tipo de epitelio están cubiertas las hemorroides internas?,Epitelio columnar o de transición.
¿Cuál es la manifestación clínica más común de las hemorroides internas?,Sangrado rectal (rectorragia).
¿Qué complicación suele indicar la presencia de dolor en las hemorroides externas?,Trombosis hemorroidal.
¿Cuál es la tríada clínica de las hemorroides externas?,"Dolor, prurito anal y tumoración."
¿En qué posiciones se recomienda colocar al paciente para la exploración física proctológica?,Posición genupectoral lateral izquierda o posición de Sims.
¿Qué estudio diagnóstico se indica en caso de duda tras la historia clínica y el examen físico de hemorroides?,Anuscopía.
¿En qué situaciones se debe realizar una colonoscopia en un paciente con sospecha de hemorroides?,Ante la sospecha de cáncer de colon o enfermedad de Crohn.
Definición de hemorroides internas Grado I.,No existe prolapso de los paquetes hemorroidales.
Definición de hemorroides internas Grado II.,Prolapso con maniobra de Valsalva que presenta reducción espontánea.
Definición de hemorroides internas Grado III.,Prolapso con maniobra de Valsalva que requiere reducción manual.
Definición de hemorroides internas Grado IV.,Prolapso crónico que no puede reducirse manualmente.
¿Cuál es el pilar del tratamiento conservador inicial para hemorroides grado I y II?,"Dieta rica en fibra, líquidos, baños de asiento y evitar el sedentarismo."
¿Cuál es el tiempo máximo recomendado para el uso de anestésicos tópicos en hemorroides?,$< 7$ días.
¿Qué fármacos venotónicos están contraindicados en el embarazo para el manejo de hemorroides?,Flavonoides.
¿Cuál es el tratamiento de elección para hemorroides grado II que fracasan al manejo conservador?,Ligadura con banda elástica.
¿Cuál es el tratamiento quirúrgico definitivo para hemorroides grado III y IV?,Hemorroidectomía.
¿Qué técnica quirúrgica tiene menor sintomatología postoperatoria pero mayor índice de recidiva en hemorroides?,Hemorroidopexia.
¿Cuál es el tratamiento para una trombosis hemorroidal externa si el paciente no tolera el dolor?,Hemorroidectomía.
¿Cómo se define un absceso anal?,Colección de pus en los espacios perianales por obstrucción de una glándula anal con estasis bacteriana.
¿Cuál es el pico de edad de incidencia para los abscesos anales?,Entre $20$ y $60$ años (media de $40$ años).
¿Cuál es el microorganismo más frecuentemente aislado en un absceso anorectal?,$E. coli$.
¿Cuál es la complicación más frecuente de un absceso anal?,Fístula perianal.
¿Cuál es la causa más común de abscesos anales?,Infección criptoglandular.
¿Cuál es la localización más frecuente de los abscesos anales ($60$%)?,Perianal.
¿Qué nombre recibe la colección en herradura que se extiende por la fosa isquioanal?,Absceso isquiorrectal.
¿Qué tipo de absceso anal se caracteriza por dolor intenso al tacto rectal?,Absceso intraesfintérico.
¿Cuál es la tríada clínica típica del absceso anorectal?,"Dolor intenso a la defecación, tumefacción eritematosa y signos de infección (fiebre)."
¿Qué estudio de imagen es útil para encontrar la cripta de origen del absceso?,Ultrasonido endoanal.
¿Cuál es el 'Gold Standard' diagnóstico para abscesos supraelevadores o asociados a enfermedad de Crohn?,Resonancia Magnética (RM).
¿Cuándo se reserva la Tomografía Axial Computarizada (TAC) en el diagnóstico de abscesos?,Ante sospecha de abscesos supraesfinterianos o pélvicos.
¿Cuál es el tratamiento primario de un absceso anal?,Incisión y drenaje amplio.
Mencione dos grupos de pacientes que requieren antibióticos tras el drenaje de un absceso.,"Inmunodeprimidos, diabéticos, cardiópatas con prótesis o pacientes en sepsis."
¿Cuál es el esquema antibiótico de elección para abscesos anorectales?,Metronidazol más Ciprofloxacino.
¿Cuál es el manejo de un absceso anal en niños menores de dos años?,Tratamiento conservador con Amoxicilina/Clavulanato.
¿Qué porcentaje de abscesos anales desarrollan una fístula perianal?,$50$%.
¿Cómo se define una fístula perianal?,Trayecto inflamatorio crónico que comunica la mucosa del recto con la piel perianal.
¿Qué diferencia al orificio interno del orificio externo en una fístula?,El interno está en la mucosa rectal y el externo en la piel perianal.
¿Cuál es el tipo de fístula más común según la clasificación de Parks?,Fístula interesfinteriana.
¿Qué criterio define a una fístula como compleja respecto al esfínter externo?,Cuando el trayecto compromete más del $30$ - $50$% del esfínter externo.
¿Cuál es el síntoma cardinal de la fístula perianal?,Supuración crónica de material purulento que mancha la ropa interior.
¿Cuál es el estudio de primera línea ante la sospecha de una fístula compleja?,Ultrasonido endoanal.
¿Qué utilidad tiene la fistulografía?,Es útil específicamente en las fístulas extraesfinterianas.
¿Cuál es el tratamiento de elección para una fístula simple?,Fistulotomía más marsupialización.
¿Cuál es el manejo quirúrgico de una fístula compleja sin incontinencia?,Colocación de Setón más fistulotomía en intervalos.
¿Cuál es la complicación más grave de la cirugía de fístula anal?,Incontinencia fecal.
¿Qué escala se utiliza para evaluar la incontinencia fecal postoperatoria?,Escala de Wexner.
¿Qué fármaco biológico se indica en fístulas perineales complejas asociadas a Crohn?,Infliximab.
¿Cómo se define una fisura anal aguda?,Desgarro superficial del anodermo con una evolución menor a $6$ semanas.
¿Cuál es la localización más frecuente de la fisura anal ($90$%)?,Línea media posterior.
¿A qué se asocia frecuentemente una fisura anal de localización anterior?,Trauma obstétrico.
¿Cuáles son los dos principales factores de riesgo para la fisura anal?,Enfermedad hemorroidal y estreñimiento.
¿Cuál es el síntoma cardinal de la fisura anal?,"Dolor anal intenso, ardoroso y quemante trans y posdefecatorio."
