¿Cuál es el segundo cáncer de hueso más común en la población pediátrica?,Sarcoma de Ewing.
¿En qué grupo étnico y rango de edad es más frecuente el Sarcoma de Ewing?,Caucásicos entre los $10$ y $15$ años.
¿Cuál es la localización anatómica más frecuente del Sarcoma de Ewing?,Diáfisis del fémur.
¿Qué traslocación cromosómica es característica del Sarcoma de Ewing?,Traslocación $(11;22)$.
"En el Sarcoma de Ewing, el dolor loco-regional suele exacerbarse con el _____.",Ejercicio.
¿Cómo se describe el hallazgo radiográfico clásico en el Sarcoma de Ewing?,Imagen en capas de cebolla.
¿Qué estudio es de elección para la evaluación local de la extensión de un tumor de Ewing?,Resonancia Magnética (RM).
¿Cuál es el esquema de quimioterapia para el Sarcoma de Ewing de bajo riesgo?,"Vincristina, ifosfamida, doxorrubicina y etopósido."
¿Cuál es la neoplasia ósea más frecuente en pediatría?,Osteosarcoma.
¿En qué rango de edad se presenta típicamente el osteosarcoma?,$10$ a $25$ años.
¿Cuál es la localización más común del osteosarcoma?,Tercio distal del fémur y tibia proximal.
¿En qué parte anatómica del hueso se origina siempre el osteosarcoma?,Metáfisis ósea.
¿Qué hallazgo radiográfico es patognomónico del osteosarcoma?,Imagen en sol naciente.
¿Cuál es el método diagnóstico definitivo para el osteosarcoma?,Biopsia a cielo abierto.
"A diferencia del Sarcoma de Ewing, el dolor en el osteosarcoma se presenta durante el _____.",Descanso y la noche.
¿Cuál es el pilar del tratamiento para el osteosarcoma dado que no es sensible a radioterapia?,Quimioterapia neoadyuvante más cirugía más quimioterapia adyuvante.
¿Cuál es el agente causal más importante en la artritis séptica (75% de los casos)?,Staphylococcus aureus.
¿Cuál es la articulación más frecuentemente afectada por la artritis séptica?,Rodillas ($40\%$ de los casos).
¿Cuál es el factor de riesgo más importante para artritis séptica en pacientes pediátricos?,Compromiso inmune.
"En neonatos y lactantes con sospecha de artritis séptica, se debe buscar intencionadamente la _____.",Posición antiálgica.
¿Cuál es el Gold Standard para el diagnóstico de artritis séptica?,Cultivo de aspiración articular.
¿Qué hallazgos se observan en la radiografía inicial de una artritis séptica?,Aumento del espacio articular y de los tejidos blandos.
¿Cuál es la dosis de dicloxacilina para el tratamiento de artritis séptica en niños $< 40\text{ kg}$?,$200\text{ mg/kg/día}$ en $14$ dosis.
¿Cuál es la definición de Displasia de Cadera (DDC)?,"Anormalidades anatómicas que afectan la articulación coxofemoral, incluyendo el borde acetabular y la posición de la cabeza femoral."
¿Qué características definen a un paciente de alto riesgo para Displasia de Cadera?,"Sexo femenino, presentación pélvica e historia familiar."
¿Cuál es la localización más común de la Displasia de Cadera?,Lado izquierdo.
¿Qué signo de exploración física busca luxar la cadera en menores de $3$ meses?,Signo de Barlow.
¿Qué signo de exploración física busca reducir una cadera luxada en menores de $3$ meses?,Signo de Ortolani.
¿Qué signo clínico es característico de la DDC en pacientes mayores de $3$ meses?,Signo de Galeazzi.
¿Qué hallazgo en la marcha se asocia con la displasia de cadera en la etapa de deambulación?,Signo de Trendelenburg.
¿En qué momento se recomienda realizar el tamizaje para Displasia de Cadera?,En la primera semana de vida.
¿En qué periodo de vida es ideal realizar un ultrasonido de cadera como diagnóstico temprano?,Entre la $4^{\text{a}}$ y $6^{\text{a}}$ semana.
¿A partir de qué edad se recomiendan las proyecciones radiográficas para el diagnóstico de DDC?,Después de los $4$ meses.
¿Cuál es el tratamiento de primera elección para DDC en menores de $6$ meses?,Arnés de Pavlik.
¿Qué intervención se indica para DDC en niños de $6$ a $24$ meses?,Reducción cerrada.
¿Qué define al pie plano flexible?,"Arco plantar ausente con apoyo, pero presente al estar sin apoyo sobre el medio pie."
¿Qué prueba se utiliza para evaluar la flexibilidad del arco en el pie plano?,Prueba de Jack.
¿Cuál es el tratamiento para el pie plano flexible asintomático?,No se requiere tratamiento.
¿Cuál es la causa del pie plano rígido en menos del $1\%$ de los casos?,Coalición tarsiana o astrágalo vertical.
