¿Cuál es la función del nodo sinoatrial (SA) en el sistema de conducción cardíaco?,Actuar como el marcapasos principal generando impulsos eléctricos automáticamente.
¿En qué espacio intercostal se localiza el foco aórtico?,"Segundo espacio intercostal derecho, línea paraesternal."
¿Dónde se sitúa el foco pulmonar para la auscultación cardíaca?,"Segundo espacio intercostal izquierdo, línea paraesternal."
¿En qué localización se ausculta el foco tricuspídeo?,"Cuarto espacio intercostal izquierdo, línea paraesternal."
¿Cuál es la ubicación exacta del foco mitral?,"Quinto espacio intercostal izquierdo, línea medio-clavicular."
¿Qué área del corazón representa el foco de Erb?,"El tercer espacio intercostal izquierdo, funcionando como área general del corazón."
¿Qué evento mecánico produce el primer ruido cardíaco ($R_{1}$)?,El cierre de las válvulas auriculoventriculares (mitral y tricúspide).
¿En qué foco se escucha con mayor intensidad el primer ruido cardíaco ($R_{1}$)?,En el foco mitral.
¿Qué fase del ciclo cardíaco ocurre entre los ruidos $R_{1}$ y $R_{2}$?,La sístole.
¿Qué fenómeno valvular genera el segundo ruido cardíaco ($R_{2}$)?,El cierre de las válvulas semilunares (aórtica y pulmonar).
¿En qué focos se ausculta mejor el segundo ruido cardíaco ($R_{2}$)?,En los focos aórtico y pulmonar.
¿Qué fase del ciclo cardíaco sucede entre los ruidos $R_{2}$ y el siguiente $R_{1}$?,La diástole.
¿A qué proceso fisiológico corresponde el tercer ruido cardíaco ($R_{3}$)?,Al llenado ventricular rápido.
Mencione una patología asociada a la presencia de un tercer ruido cardíaco ($R_{3}$).,Insuficiencia cardíaca o dilatación ventricular.
¿Qué mecanismo produce el cuarto ruido cardíaco ($R_{4}$)?,La contracción auricular forzada contra un ventrículo rígido.
¿Con qué condición estructural se asocia comúnmente el cuarto ruido cardíaco ($R_{4}$)?,Hipertrofia ventricular o cardiopatía isquémica.
¿En qué momento del ciclo respiratorio ocurre el desdoblamiento fisiológico del segundo ruido?,Durante la inspiración.
¿Por qué ocurre el desdoblamiento fisiológico del segundo ruido durante la inspiración?,Debido a un retraso en el cierre de la válvula pulmonar.
¿Qué alteración eléctrica se asocia con un desdoblamiento amplio del segundo ruido?,Bloqueo de rama derecha.
¿Cuándo se considera que un desdoblamiento del segundo ruido es paradójico?,Cuando los ruidos se separan durante la espiración.
¿Qué patología eléctrica causa un desdoblamiento paradójico del segundo ruido?,Bloqueo de rama izquierda.
Definición: Automatismo cardíaco.,"Capacidad de generar impulsos eléctricos automáticamente, principalmente por el nodo SA."
¿Qué efecto tiene el aumento del automatismo en la frecuencia cardíaca?,Produce una taquicardia sinusal.
Definición: Inotropismo.,Capacidad de contracción del músculo cardíaco en respuesta a un estímulo.
¿Qué trastorno clínico resulta de una disminución severa del inotropismo por daño miocárdico?,Insuficiencia cardíaca o shock cardiogénico.
Definición: Cronotropismo.,Capacidad del corazón para regular la frecuencia cardíaca.
¿Qué neurotransmisor media el cronotropismo positivo a través de receptores $\beta_{1}$?,Noradrenalina (y adrenalina en estrés).
¿Qué sistema nervioso y neurotransmisor regulan el cronotropismo negativo?,Sistema parasimpático (vagal) mediante la acetilcolina.
¿En qué receptores actúa la acetilcolina para disminuir la frecuencia cardíaca?,Receptores muscarínicos $M_{2}$.
Definición: Dromotropismo.,Propiedad del corazón para la propagación del impulso eléctrico.
¿Qué estructura es responsable de retrasar el impulso para permitir la contracción auricular previa a la ventricular?,El nodo auriculoventricular (AV).
