     1→¿Cuál es la principal fuente de irrigación de la vesícula biliar?,La arteria cística.
     2→¿De qué estructura arterial se origina generalmente la arteria cística?,De la arteria hepática derecha.
     3→¿En qué sistema venoso desembocan las venas císticas?,En el sistema porta.
     4→¿Qué nervio proporciona la inervación parasimpática para la motilidad vesicular?,El nervio vago.
     5→¿De dónde provienen las fibras simpáticas que se distribuyen hacia la vesícula biliar?,Del plexo celíaco y los ganglios prevertebrales.
     6→Componente que representa el 80% de la composición de los litos biliares:,Colesterol.
     7→¿Qué factor suele asociarse a la formación de litos pigmentarios marrones?,Infecciones en la vesícula biliar.
     8→¿Qué patologías se asocian a la formación de litos pigmentarios negros?,Hepatopatías y hemólisis.
     9→¿Cuáles son los 4 factores de riesgo clásicos (las 4 F) para colelitiasis?,"Female (mujer), Forty (cuarenta años), Fertility (fértil), Fat (obesidad)."
    10→¿A partir de qué dosis de estrógenos diarios aumenta el riesgo de colelitiasis?,Mayor a 50 mcg/día.
    11→¿Cuál es el estudio de imagen de primera elección para el diagnóstico de colelitiasis?,Ultrasonido (USG) de hígado y vías biliares.
    12→¿Qué estudio de segunda elección muestra el 'signo de Rim' (aumento de radiactividad)?,Gammagrafía biliar con Tc-HIDA.
    13→Tratamiento farmacológico de la colelitiasis indicado por 1 a 2 años:,Ácido ursodesoxicólico.
    14→¿Qué características debe tener un lito para ser candidato a litotricia extracorpórea?,"Lito único, no calcificado y no mayor a 20 mm."
    15→¿Cuál es el momento ideal para realizar una colecistectomía en una paciente embarazada?,Durante el segundo trimestre.
    16→¿Cuál es la manifestación clínica principal de la colelitiasis sintomática?,El cólico biliar.
    17→¿En qué momento del día aparece con mayor frecuencia el cólico biliar tras la ingesta de alimentos?,"De 1 a 5 horas después, sobre todo en las noches."
    18→¿Cuál es el manejo inicial para un paciente con colelitiasis asintomática?,No requieren tratamiento.
    19→¿Qué fármaco y dosis se indica para el manejo del cólico biliar?,Diclofenaco 75 mg IM.
    20→¿A partir de qué tamaño un lito es indicación de cirugía aunque sea asintomático?,Litos mayores a 2.5-3 cm.
    21→¿Qué hallazgo en la pared vesicular es indicación de colecistectomía profiláctica por riesgo de cáncer?,Vesícula en porcelana.
    22→¿Cuál es la complicación más frecuente tras una cirugía de vesícula?,Infección de la herida quirúrgica.
    23→¿Cuál es la complicación más grave de una colecistectomía?,Lesión a la vía biliar.
    24→¿Cómo se define la colecistitis aguda?,Inflamación de la pared vesicular secundaria a litos o barro biliar.
    25→Porcentaje de casos de colecistitis que se presentan sin la presencia de litos (alitiásica):,10%.
    26→¿Qué complicación es más frecuente en la colecistitis alitiásica en comparación con la litiásica?,Mayor riesgo de perforación.
    27→¿En qué consiste el signo de Murphy positivo?,Cese de la inspiración a la palpación profunda del hipocondrio derecho.
    28→¿Qué nombre recibe la masa palpable en CSD en el contexto de una colecistitis complicada?,Signo de Courvoisier.
    29→¿Hacia qué región se irradia típicamente el dolor de la colecistitis aguda?,Hacia la región infraescapular (en hemicinturón).
    30→Hallazgo en el ultrasonido de la pared vesicular sugestivo de colecistitis aguda:,Engrosamiento de la pared mayor a 5 mm.
    31→¿Qué dimensiones vesiculares en el USG (axial y diametral) sugieren colecistitis?,8 cm de largo (axial) y 4 cm de ancho (diametral).
    32→Hallazgo ultrasonográfico que consiste en la visualización de capas en la pared vesicular:,Imagen en doble riel.
    33→¿Cuál es la técnica diagnóstica más específica para colecistitis aguda?,Gammagrafía biliar.
    34→Criterio laboratorial de inflamación sistémica según las Guías de Tokio para colecistitis:,"Leucocitosis >10,000/μL o PCR elevada."
    35→¿Qué define a la Colecistitis Aguda Grado I (Leve)?,Paciente sin datos de disfunción orgánica y solo cambios inflamatorios leves.
    36→¿Qué hallazgos clínicos/laboratoriales definen la Colecistitis Grado II (Moderada)?,"Leucocitos >18,000, masa palpable en CSD o cuadro de >72 horas."
    37→¿Qué caracteriza a la Colecistitis Aguda Grado III (Grave)?,"Presencia de datos de disfunción orgánica (cardiovascular, neurológica, renal, etc.)."
    38→Antibiótico de elección para Colecistitis Grado I:,Fluoroquinolonas (Levofloxacino o Ciprofloxacino) o Cefalosporinas orales.
    39→Esquema antibiótico recomendado para Colecistitis Grado II:,Piperacilina/Tazobactam o Cefalosporinas de segunda generación.
    40→Tratamiento quirúrgico estándar para Colecistitis Grado I y II:,Colecistectomía temprana por laparoscopía (1 a 7 días tras el ataque).
    41→¿Cuál es el manejo inicial y quirúrgico para la Colecistitis Grado III?,Manejo de falla orgánica en UCI y colecistectomía tardía (2 a 3 meses después).
