¿Cuál es la definición general de hemorragia puerperal según la pérdida de volumen sanguíneo?,Pérdida de sangre mayor o igual a 1000 ml dentro de las 24 horas posteriores al parto.
"En un parto vaginal, ¿a partir de qué volumen de pérdida hemática se considera hemorragia puerperal?",Mayor a 500 ml.
"En una cesárea, ¿a partir de qué volumen de pérdida hemática se considera hemorragia puerperal?",Mayor a 1000 ml.
¿Qué caracteriza a la hemorragia puerperal persistente?,Pérdida de al menos 1000 ml dentro de las primeras 24 horas que es refractaria al tratamiento de primera línea.
¿Cuál es la causa más frecuente de hemorragia puerperal?,Atonía uterina.
¿Qué grupo de edad presenta la mayor afectación por hemorragia puerperal en términos de mortalidad?,Mujeres de 45 a 49 años.
¿Qué porcentaje de la razón de mortalidad materna en México representa la hemorragia puerperal?,20.4%.
¿Cuál es la periodicidad recomendada para valorar los signos vitales en las primeras 2 horas del puerperio?,"Cada 15 minutos inicialmente, y posteriormente cada 30 minutos."
¿En qué consiste el manejo activo del tercer periodo del trabajo de parto para prevenir la hemorragia?,"Aplicación de oxitocina, tracción controlada del cordón umbilical y masaje uterino."
¿Cuál es la vida media de la oxitocina?,5 minutos.
Uterotónico de primera elección para el tratamiento de la hemorragia posparto si no se recibió profilaxis:,Oxitocina.
¿Cuál es la dosis máxima de oxitocina mencionada para el manejo activo del tercer periodo?,40 UI.
¿Por qué la ergonovina está contraindicada en pacientes con trastornos hipertensivos del embarazo?,Debido a que puede provocar vasoespasmo grave.
¿Cuál es la dosis y vía de administración de la carbetocina recomendada en cesáreas?,100 microgramos vía intravenosa lenta.
El uso de misoprostol para la hemorragia posparto debe reservarse únicamente para casos donde _____.,No se cuente con ningún otro medicamento uterotónico.
¿Cuál es la dosis estándar de ácido tranexámico recomendada en la hemorragia posparto?,1 gramo vía intravenosa.
¿Cuál es la ventana de tiempo ideal para administrar el ácido tranexámico tras el inicio de la hemorragia?,Dentro de las primeras 3 horas.
Mencione una medida de manejo hemostático mecánico inicial antes de recurrir a la vía quirúrgica:,Compresión uterina bimanual.
¿Para qué sirve el pantalón antichoque no neumático en el contexto de la hemorragia obstétrica?,Como medida temporal de estabilización en caso de traslado de la paciente.
¿Cuáles son las dos suturas uterinas hemostáticas más comunes en el manejo quirúrgico conservador?,B-Lynch y Hayman.
¿Cuál es el tratamiento quirúrgico definitivo para una hemorragia puerperal que no responde a otras medidas?,Histerectomía.
"En la mnemotecnia de las 4T's de la hemorragia, ¿qué representa la 'T' de Tono?",Atonía uterina.
"En la mnemotecnia de las 4T's de la hemorragia, ¿qué representa la 'T' de Trauma?","Lesiones del canal de parto, como desgarros o ruptura uterina."
"En la mnemotecnia de las 4T's de la hemorragia, ¿qué representa la 'T' de Tejido?",Retención de restos placentarios o coágulos.
"En la mnemotecnia de las 4T's de la hemorragia, ¿qué representa la 'T' de Trombina?",Alteraciones de la coagulación (coagulopatías).
¿Qué porcentaje de las hemorragias posparto se deben a problemas de tono (atonía)?,50 a 70%.
¿Qué factores de riesgo causan sobredistensión uterina y predisponen a la atonía?,"Productos macrosómicos, gestación múltiple y polihidramnios."
"Según la clasificación de desgarros de Sultan, ¿qué estructuras se dañan en el Grado 2?","La piel y los músculos perineales, sin afectar el esfínter anal."
¿Qué define a un desgarro perineal de Grado 3?,La afectación o daño del esfínter anal.
¿Cuál es la diferencia entre un desgarro Grado 3a y uno 3b?,"El 3a afecta menos del 50% del esfínter, mientras que el 3b afecta más del 50%."
¿Qué estructura se ve afectada específicamente en un desgarro Grado 4?,La mucosa rectal.
¿A partir de qué grado de desgarro perineal se debe administrar profilaxis antibiótica?,Grado 3 y Grado 4.
¿Qué es la placenta succenturiata?,Una placenta que posee un lóbulo accesorio fuera del cuerpo placentario principal.
¿Cuál es el manejo inicial ante la sospecha de retención de tejido placentario?,Revisión manual de la cavidad bajo anestesia y legrado si es necesario.
¿Qué causa suele provocar una inversión uterina aguda?,Una tracción incorrecta o excesiva del cordón umbilical antes del desprendimiento placentario.
¿Qué fármacos se utilizan para relajar el útero y facilitar la reposición en una inversión uterina?,Tocolíticos.
¿Cómo se define el choque hemorrágico en la paciente obstétrica según el volumen total perdido?,Pérdida mayor o igual al 15% del volumen total de sangre.
¿Cuál es el volumen sanguíneo estimado por kilogramo de peso en una mujer embarazada?,100 ml/kg.
