¿Cómo se define una fractura cerrada según la lesión tisular?,Es aquella en la que no existe comunicación entre el foco de la fractura y el exterior.
¿Qué caracteriza a una fractura abierta?,La piel ha sufrido daño y el tejido óseo queda expuesto al exterior.
"En la clasificación por extensión, ¿qué estructuras se ven afectadas en una fractura completa?",El trazo afecta tanto al hueso como al periostio.
¿Qué define a una fractura incompleta?,Es aquella en la que el trazo no afecta a todo el espesor del hueso.
Fracturas de _____ energía: Requieren una cinemática alta para transmitir la fuerza al hueso y lesionarlo.,alta
¿Qué tipos de fracturas se consideran de baja energía?,"Fracturas por estrés, fatiga, patológicas o por insuficiencia."
¿Cuál es la diferencia entre un mecanismo de lesión directo e indirecto?,El directo ocurre en el lugar del impacto y el indirecto se produce a distancia del mismo.
¿En qué tres regiones anatómicas se localizan las fracturas según el texto?,"Epífisis (zona articular), metáfisis y diáfisis."
"Según la estabilidad, ¿qué tipo de trazo suelen tener las fracturas estables?",Suelen ser transversas u oblicuas menores de $45^{\circ}$.
¿Por qué las fracturas oblicuas mayores de $45^{\circ}$ o espiroideas se consideran inestables?,Porque tienden a desplazarse incluso después de haber sido reducidas.
Mencione los 4 pilares necesarios para una restauración ósea adecuada.,"Células osteogénicas, osteoconductor, factores de crecimiento y estabilidad mecánica."
¿Qué condición quirúrgica permite una consolidación directa o primaria?,Reducción anatómica de fragmentos con ausencia completa de movimiento (ej. placa de osteosíntesis).
¿Cuál es una característica histológica ausente en la consolidación directa?,No presenta tejido cartilaginoso ni formación de callo de fractura.
¿Bajo qué condiciones de estabilidad ocurre la consolidación indirecta?,Ocurre en fracturas no estabilizadas rígidamente donde hay movilidad interfragmentaria.
¿Qué dispositivos quirúrgicos favorecen típicamente la consolidación indirecta?,Clavos intramedulares o fijadores externos.
"En la fase inicial de consolidación, ¿cuál es la función del hematoma?",Actúa como fuente de moléculas de señalización para iniciar la cascada de reparación.
Mencione dos citocinas (interleucinas) que participan en la formación del hematoma de fractura.,$IL-1$ e $IL-6$.
"Además de las interleucinas, ¿qué otros factores de crecimiento participan en la fase de impacto?",$TGF-\beta$ y $PDGF$.
¿Qué proceso osteoclástico ocurre durante la fase de tejido de granulación?,Reabsorción osteoclástica de los márgenes de la fractura.
¿Qué tipo de proliferación celular inicia en la fase de tejido de granulación?,Proliferación fibroblástica y condroblástica.
¿Qué factor físico determina la diferenciación tisular durante la formación del callo primario?,La tensión de oxígeno.
¿En qué parte de la fractura se forma el callo duro?,En la periferia y el periostio (zona con mayor tensión de oxígeno).
¿Qué tipo de colágeno predomina en el callo óseo duro?,Colágeno tipo $1$ ($T1$).
¿Por qué se forma el callo blando en la zona central de la fractura?,Debido a la existencia de hipoxia (baja tensión de oxígeno).
¿Qué componentes celulares y de matriz caracterizan al callo blando?,Condroblastos y colágeno tipo $2$ ($T2$).
¿Qué célula domina la fase de osificación del callo aproximadamente a las 2 semanas?,El condrocito hipertrófico.
¿Cómo contribuyen los condrocitos hipertróficos a la calcificación del callo?,Liberan vesículas de matriz con proteasas que aportan iones fosfato para el calcio.
"¿Cómo se denomina al hueso inicial, trabecular e irregular, antes de la remodelación?",Hueso inmaduro o fibrilar.
¿Cuánto tiempo puede durar la fase de remodelación ósea?,De meses a años.
¿Qué es el síndrome compartimental?,Aumento de la presión tisular dentro de un compartimiento osteofascial que ocluye la circulación muscular.
¿Con qué fracturas se asocia más frecuentemente el síndrome compartimental?,"Fracturas de tibia, antebrazo, codo y supracondíleas."
¿Cuál es el síntoma clínico más desproporcionado y característico del síndrome compartimental?,Dolor intenso que aumenta con el estiramiento pasivo.
¿Cuál es el rango de presión intracompartimental diagnóstica según el texto?,$30-40$ $mmHg$.
¿Cuál es el tratamiento definitivo del síndrome compartimental?,Fasciotomía.
Mencione dos causas extrínsecas que pueden generar síndrome compartimental.,Yesos o vendajes muy apretados.
¿Qué complicación se define como la interrupción de la vascularización de fragmentos óseos?,Necrosis isquémica o avascular.
Mencione los cuatro huesos donde es más común la necrosis avascular postraumática.,"Escafoides, astrágalo, cabeza femoral y cabeza humeral."
¿Cuáles son los hallazgos radiográficos típicos de la necrosis avascular?,Aumento de la densidad ósea y fragmentación.
¿Cuál es el tratamiento de elección para la necrosis avascular en fémur o húmero?,Colocación de una prótesis.
¿Qué opciones terapéuticas existen para la necrosis del astrágalo?,Órtesis o artrodesis.
¿Qué es el Síndrome de Dolor Regional Complejo (SDRC)?,"Hiperactividad del sistema simpático tras una lesión tisular, con dolor y alteraciones sensitivas."
¿Cuál es la diferencia entre el SDRC tipo I y el tipo II?,"El tipo I no tiene lesión nerviosa identificable, mientras que el tipo II sí presenta lesión de un nervio."
¿Cómo se describe el dolor en el SDRC?,Dolor quemante que no corresponde a un dermatoma.
¿Qué fractura distal del radio se asocia frecuentemente con SDRC?,Fractura de Colles.
¿Cuál es la causa más frecuente del síndrome de embolia grasa?,Fractura de la diáfisis femoral.
"Además del fémur, ¿qué otras fracturas inestables se asocian a embolia grasa?",Fracturas inestables de pelvis.
¿Cuál es la tríada clínica del síndrome de embolia grasa?,"Rash petequial, deterioro mental e insuficiencia respiratoria progresiva."
¿Qué nivel de hipoxemia se espera en la embolia grasa?,$PO_{2}$ menor a $60$ $mmHg$.
¿Qué escala se utiliza para diagnosticar el síndrome de embolia grasa?,Criterios de Gurd.
¿Cuántos criterios de Gurd se requieren para el diagnóstico de embolia grasa?,$1$ criterio mayor y $4$ criterios menores.
¿Cuál es el manejo terapéutico del síndrome de embolia grasa?,"Oxigenoterapia, corticoides en dosis altas, estabilización de fracturas y manejo en UCI."
¿Qué define a una fractura en tallo verde?,Una inflexión rompe la cortical de un lado y la contralateral solo se abomba (incompleta).
¿En qué población es más frecuente la fractura en tallo verde?,En niños.
¿Cuál es la localización más común de la fractura en tallo verde?,Antebrazo (diáfisis de cúbito y radio).
¿Cuál es el estudio inicial y de elección para diagnosticar una fractura en tallo verde?,Radiografía simple (Rx).
¿En qué consiste el tratamiento de la fractura en tallo verde?,Reducción y vigilancia estrecha para detectar redesplazamientos.
¿Qué proteína estructural predomina en la fase de callo duro?,Colágeno tipo $1$.
¿En qué fase de la consolidación actúan principalmente los fibroblastos y condroblastos?,Fase de tejido de granulación.
¿Qué complicación ortopédica requiere desensibilización de la piel y bloqueos simpáticos?,Síndrome de Dolor Regional Complejo (SDRC).
"En el contexto de embolia grasa, el rash _____ es un signo clínico patognomónico.",petequial
