¿De qué proceso es producto la bilirrubina?,Del catabolismo del grupo hemo.
¿Qué porcentaje de la bilirrubina proviene de la degradación de la hemoglobina de los eritrocitos?,Aproximadamente del $80-90\%$.
¿Qué porcentaje de la bilirrubina se produce por la descomposición de proteínas distintas a la hemoglobina?,Entre el $10-20\%$.
"Durante la absorción hepática, la bilirrubina se transporta al hígado unida a la _____.",Albúmina
¿Cuál es la principal ventaja de la bilirrubina conjugada en comparación con la no conjugada?,Es más soluble y puede ser excretada por la bilis.
¿A través de qué transportadores ocurre la excreción biliar de la bilirrubina?,Transportadores canaliculares.
Definición: Ictericia neonatal,Coloración amarilla de la piel y escleróticas por el aumento de la bilirrubina circulante.
¿A qué se debe la reducción de la vida media de los eritrocitos en el período neonatal?,A la inmadurez del complejo glucuroniltransferasa.
¿Qué cifra de bilirrubina total ($BT$) define la ictericia en un recién nacido?,$> 5\text{ mg/dL}$.
¿Qué porcentaje de recién nacidos a término desarrollan ictericia?,El $60\%$.
¿Qué porcentaje de recién nacidos prematuros desarrollan ictericia?,El $80\%$.
¿Cuál es la patología más común causante de readmisión hospitalaria en neonatos?,La ictericia neonatal.
¿Cuál es la edad gestacional considerada como factor de riesgo para ictericia neonatal?,Menos de $38$ semanas de gestación ($SDG$).
¿Qué causas de ictericia deben sospecharse si aparece en las primeras $24$ horas de vida?,Hemólisis o infecciones.
¿Qué etiologías son comunes para la ictericia que aparece entre el $2^{\circ}$ y $3^{\circ}$ día de vida?,"Fisiológica, anemias hemolíticas o sepsis."
¿Qué causas de ictericia se asocian con el periodo entre el $4^{\circ}$ y $7^{\circ}$ día de vida?,"Sepsis, TORCH o lactancia materna."
¿Qué patologías se sospechan en una ictericia que persiste más de $1$ mes?,Galactosemia o hipotiroidismo.
¿Cuál es la duración típica de la ictericia fisiológica?,Menos de $10$ días.
¿En qué momento suele aparecer la ictericia asociada a la leche materna?,Entre el $5^{\circ}$ y $7^{\circ}$ día de vida.
¿Qué tipo de bilirrubina predomina en la ictericia fisiológica?,Bilirrubina indirecta.
¿Qué tipo de bilirrubina puede estar elevada en la ictericia no fisiológica?,Bilirrubina directa o indirecta.
¿Cuál es el estándar de oro para determinar el grado de hiperbilirrubinemia?,Determinación de bilirrubinas séricas.
¿En qué plazo se deben medir las bilirrubinas si se detecta ictericia visible después de las $24$ horas?,Dentro de las siguientes $6$ horas.
¿A partir de qué percentil se considera formalmente hiperbilirrubinemia?,Percentil mayor a $95\%$.
¿Qué rango de bilirrubina total se considera hiperbilirrubinemia severa?,Entre $20-24\text{ mg/dL}$.
¿Cuál es la utilidad principal de la Escala de Kramer?,Determinar la presencia o ausencia de ictericia visualmente.
"Según la Escala de Kramer, ¿qué nivel de bilirrubina total se asocia a la Zona 1 (cabeza y cuello)?",$5.8\text{ mg/dL}$.
"Según la Escala de Kramer, ¿qué zona anatómica corresponde a un nivel de $14.7\text{ mg/dL}$?",Zona 4 (brazos y piernas).
"En la Escala de Kramer, la Zona 5 (palmas y plantas) indica niveles de bilirrubina superiores a _____.",$14.7\text{ mg/dL}$
¿Cuál es el espectro de luz utilizado en la fototerapia?,Entre $460$ a $490\text{ nm}$ (luz azul).
¿Qué disminución horaria de bilirrubina se espera en las primeras $4-8$ horas de fototerapia?,$0.5\text{ mg/dL}$ por hora.
¿En qué momento se alcanza la respuesta máxima a la fototerapia?,Entre las $2$ y $6$ horas de inicio.
¿Qué medida de protección es obligatoria para el neonato durante la fototerapia?,Cubrir los ojos.
¿A qué niveles de bilirrubina total se recomienda suspender la fototerapia?,Al alcanzar $13-14\text{ mg/dL}$.
Mencione tres efectos secundarios de la fototerapia en neonatos.,"Diarrea, rash y deshidratación."
¿Cada cuánto tiempo se deben medir las bilirrubinas después de iniciar la fototerapia?,Cada $4-6$ horas.
¿Cuál es la siguiente opción terapéutica si fallan dos ciclos de fototerapia?,Exanguinotransfusión.
¿En qué nivel de bilirrubinas no conjugadas se indica realizar exanguinotransfusión?,Cuando superen los $300\text{ \mu mol/L}$.
¿Qué electrolito se debe medir al finalizar una exanguinotransfusión?,Calcio.
Mencione una complicación grave de la exanguinotransfusión relacionada con el sistema gastrointestinal.,Enterocolitis necrotizante.
¿Cuál es la fórmula de volumen para exanguinotransfusión en un recién nacido a término?,$80\text{ mL/kg} \times 2$.
¿A qué se debe la ictericia fisiológica del recién nacido?,Inmadurez del complejo glucuroniltransferasa y menor vida media de eritrocitos.
¿Por qué la ictericia por lactancia materna se asocia con un aumento de la circulación enterohepática?,Debido a un tránsito intestinal lento.
¿Constituye la ictericia por lactancia materna una contraindicación para amamantar?,"No, no contraindica la lactancia materna."
Prueba diagnóstica: Ictericia por lactancia materna,Interrupción de la lactancia por $48$ horas para demostrar la disminución de la ictericia.
¿Cuál es la causa más frecuente de las ictericias metabólicas constitucionales?,Síndrome de Gilbert.
¿Qué mutación genética caracteriza al Síndrome de Gilbert?,Mutación del gen $UGT1A1$.
¿Cuál es la prueba diagnóstica de elección para el Síndrome de Gilbert?,Prueba de ayuno ($2$ días con dieta de $200\text{ kcal}$).
¿Qué caracteriza al Síndrome de Crigler-Najjar Tipo I?,Ausencia completa de la actividad de la glucuroniltransferasa.
¿Cuál es el riesgo principal de muerte en el primer año de vida para pacientes con Crigler-Najjar Tipo I?,Kernicterus.
¿Cuál es el tratamiento definitivo para el Síndrome de Crigler-Najjar Tipo I?,Trasplante hepático.
¿Qué diferencia al Síndrome de Crigler-Najjar Tipo II del Tipo I?,"El Tipo II presenta una deficiencia parcial de la actividad enzimática, no total."
¿Cuál es el rango típico de bilirrubina indirecta en el Síndrome de Crigler-Najjar Tipo II?,Entre $6-20\text{ mg/dL}$.
¿Cuál es el tipo de incompatibilidad sanguínea más frecuente en neonatos?,Incompatibilidad de grupo ABO.
¿Qué combinación de grupos sanguíneos madre-hijo es típica en la incompatibilidad ABO?,"Madre O y recién nacido A, B o AB."
¿Es necesaria la sensibilización previa para que ocurra la incompatibilidad ABO?,"No, no se requiere sensibilización previa."
¿Cuál es la isoinmunización más frecuente dentro de la incompatibilidad Rh?,Isoinmunización anti-D.
¿Qué cantidad mínima de eritrocitos Rh positivos es suficiente para generar anticuerpos en la madre?,$0.1\text{ mL}$.
¿Qué prueba se solicita para descartar inmunización en la incompatibilidad Rh?,Coombs indirecto.
Definición: Atresia de vías biliares,Colangiopatía fibro-esclerosante inflamatoria progresiva que causa la obliteración del tracto biliar.
¿Cuál es el tipo más frecuente de atresia de vías biliares ($80\%$)?,Tipo III: Afecta a toda la vía biliar extrahepática.
¿Qué hallazgos clínicos destacan en las etapas tardías de la atresia de vías biliares?,"Cirrosis, ascitis y hepatosplenomegalia."
¿Cuál es el estudio de elección inicial para el diagnóstico de atresia de vías biliares?,Ultrasonido (USG).
¿Qué signo ecográfico es característico de la atresia de vías biliares?,Signo de la cuerda triangular.
¿Cuál es el estándar de oro para el diagnóstico de atresia de vías biliares?,Biopsia.
¿En qué consiste la cirugía paliativa de Kasai para atresia biliar?,Hepato-entero-estomía (hepatoportoenterostomía).
"Si una ictericia presenta bilirrubina indirecta aumentada y la prueba de Coombs directo es positiva, se sospecha de _____.",Incompatibilidad de grupo ABO o Rh
"¿Qué patología se debe sospechar ante un patrón colestásico, acolia y coluria después de los $15$ días de vida?",Atresia de vías biliares.
¿Cuánta bilirrubina produce el catabolismo de $1\text{ g}$ de hemoglobina?,$35\text{ mg}$.
¿Qué fármaco se menciona como tratamiento para las convulsiones en el contexto de ictericia neonatal?,Fenobarbital.
¿Cuál es la causa de ictericia no inmune por defectos de la membrana del eritrocito?,Esferocitosis hereditaria.
