¿Qué porcentaje de los recién nacidos requiere algún tipo de intervención para la transición a la vida extrauterina?,El $10\%$.
¿Cuál es el porcentaje de recién nacidos que requiere maniobras avanzadas de reanimación?,El $1\%$.
¿En qué momento ocurre el $85\%$ de los casos de hipoxia neonatal?,Durante el periodo intraparto.
¿Cuál es la primera causa de muerte en el periodo neonatal según las estadísticas presentadas?,La asfixia.
¿Cuántas personas expertas deben estar presentes en un parto si existen factores de riesgo identificados?,Mínimo 2 personas expertas.
¿En qué rango de tiempo inician respiraciones espontáneas el $85\%$ de los niños tras el nacimiento?,Dentro de los primeros $10$ a $30$ segundos.
Menciona tres factores de riesgo detectables antes del parto (prenatales).,"$< 36$ o $> 41$ SDG, preeclampsia/eclampsia y embarazo múltiple."
¿Por qué el uso de magnesio en la madre se considera un factor de riesgo durante el parto?,Porque puede deprimir el esfuerzo respiratorio del neonato.
¿Cuál es el modo de acción del CPAP en la reanimación neonatal?,Presión positiva constante.
¿Qué requerimiento respiratorio debe cumplir el neonato para ser candidato a CPAP?,Debe tener respiración espontánea.
¿Cuál es la indicación principal para iniciar Ventilación con Presión Positiva (VPP)?,Apnea o bradicardia.
¿Qué intervención se prioriza para la estabilización en casos de dificultad respiratoria leve-moderada?,El CPAP.
¿Cuáles son las 3 preguntas de evaluación inicial inmediata al nacer?,"¿Nació a término?, ¿tiene buen tono muscular? y ¿respira o llora?"
"¿Cuál es el objetivo de los pasos iniciales (calentar, secar, estimular) en la reanimación?",Identificar si el recién nacido necesita intervención inmediata.
"En un neonato no vigoroso, ¿en cuánto tiempo se debe evaluar la respuesta a los pasos iniciales?",En no más de $30$ segundos.
¿Cuál es la acción más importante y efectiva durante la reanimación neonatal?,La ventilación de los pulmones.
¿Qué intervención se debe iniciar si el neonato presenta apnea o boqueo tras los pasos iniciales?,Ventilación con Presión Positiva (VPP).
"Si el neonato respira pero la frecuencia cardíaca es menor a $100$ lpm, ¿qué acción procede?",Iniciar Ventilación con Presión Positiva (VPP).
¿Por qué no se debe usar la cianosis como guía para el tratamiento con oxígeno?,Porque no es un indicador fiable de la saturación de oxígeno; se debe usar oximetría preductal.
"En el contexto de líquido teñido por meconio, ¿cuándo se recomienda aspirar boca y nariz con perilla?",Cuando el recién nacido está deprimido.
¿Cuál es la frecuencia respiratoria recomendada durante la VPP?,De $40$ a $60$ ventilaciones por minuto.
¿Qué concentración de oxígeno se utiliza para iniciar VPP en recién nacidos $\ge 35$ semanas de gestación?,Oxígeno al $21\%$.
¿Qué concentración de oxígeno se utiliza para iniciar VPP en recién nacidos $< 35$ semanas de gestación?,Oxígeno al $21\% - 30\%$.
¿Qué mnemotecnia se utiliza para los pasos correctivos de la ventilación si la frecuencia cardíaca no aumenta?,MR. SOPA.
"En MR. SOPA, ¿qué significan las siglas 'M' y 'R'?",Ajustar Máscara y Reposicionar vía aérea.
"En MR. SOPA, ¿qué significan las siglas 'S' y 'O'?",Succionar boca y nariz y Open mouth (Abrir la boca).
"En MR. SOPA, ¿qué significan las siglas 'P' y 'A'?",Aumentar Presión y Vía Aérea alternativa.
¿Bajo qué condición única se deben iniciar las compresiones torácicas?,Cuando la frecuencia cardíaca es $< 60$ lpm después de al menos $30$ segundos de VPP efectiva.
¿Cuál es la relación de compresión:ventilación en la reanimación neonatal?,Relación $3:1$.
¿Cuántos eventos totales (compresiones y ventilaciones) se deben realizar en un minuto?,$120$ eventos ($90$ compresiones y $30$ ventilaciones).
¿Cuál es la profundidad recomendada para las compresiones torácicas en el neonato?,Un tercio ($1/3$) del diámetro anteroposterior del tórax.
¿Cuál es el objetivo de saturación preductal de $SpO_2$ al primer minuto de vida?,$60\% - 65\%$.
¿Cuál es el objetivo de saturación preductal de $SpO_2$ a los $10$ minutos de vida?,$85\% - 95\%$.
¿Cuál es la dosis recomendada de adrenalina por vía intravenosa o intraósea?,$0.01 - 0.03$ mg/kg ($0.1 - 0.3$ mL/kg).
¿Con qué frecuencia se puede repetir la dosis de adrenalina si la frecuencia cardíaca persiste $< 60$ lpm?,Cada $3$ a $5$ minutos.
¿Cuál es la dosis de adrenalina si se administra por vía endotraqueal?,$0.05 - 0.1$ mg/kg ($0.5 - 1$ mL/kg).
¿Qué volumen de expansor (solución salina) se debe administrar en caso de choque o hemorragia?,$10$ mL/kg cada $5$ a $10$ minutos.
¿Qué medida se debe tomar para mantener la temperatura en recién nacidos $< 32$ semanas?,Envolver en bolsa o envoltura de plástico de polietileno y usar colchón térmico.
¿Cuál es el rango de temperatura corporal que se debe mantener en el recién nacido?,$36.5^{\circ}C$ a $37.5^{\circ}C$.
"Ante un neonato con hernia diafragmática o atresia de coanas, ¿qué acción se exceptúa de la secuencia estándar?",Se debe intubar de forma inmediata.
¿Cómo se mejora la vía aérea en un recién nacido con secuencia de Pierre Robin?,Colocando al bebé en decúbito prono.
¿En qué posición se debe colocar a un neonato con gastrosquisis u onfalocele para optimizar la perfusión?,Sobre el lado derecho.
¿Cuál es el tamaño de tubo endotraqueal recomendado para un neonato de $> 2$ kg o $> 34$ SDG?,$3.5$ mm.
¿Cuál es el tamaño de tubo endotraqueal recomendado para un neonato de $< 1$ kg o $< 28$ SDG?,$2.5$ mm.
¿Cuál es el indicador principal de que la reanimación está siendo exitosa?,El aumento de la frecuencia cardíaca.
¿Qué enzima sirve para establecer un pronóstico en la lesión neurológica por hipoxia?,La enolasa.
¿Qué temperatura ambiental debe tener la habitación donde se reanima a un prematuro?,Entre $23^{\circ}C$ y $25^{\circ}C$.
¿Cuál es el orden correcto para aspirar secreciones?,Primero la boca y después la nariz.
¿Cuándo se considera razonable evaluar la interrupción de los esfuerzos de reanimación si no hay frecuencia cardíaca?,Alrededor de los $20$ minutos después del nacimiento.
Menciona las 4 preguntas que el equipo debe realizarse antes de todos los partos.,"Edad gestacional, líquido amniótico limpio, plan de manejo del cordón y factores de riesgo adicionales."
¿Qué signo clínico sugiere un neumotórax durante la reanimación?,Disminución de ruidos respiratorios y aumento de transiluminación del lado afectado.
¿Cuál es el manejo inicial de un neonato vigoroso con líquido teñido de meconio?,"No requiere aspiración, solo limpiar boca y nariz con un paño."
¿Qué intervención es 'la piedra angular' de la reanimación neonatal?,La ventilación.
¿Qué técnica de compresión torácica se prefiere en neonatología?,"La técnica de los dos pulgares en el esternón, debajo de la línea intermamilar."
¿Cuál es el acceso vascular de elección en la reanimación neonatal de emergencia?,La vena umbilical.
