¿Con qué otro nombre se conoce clínicamente a la isquemia mesentérica crónica?,Angina intestinal
Etiología más frecuente de la isquemia mesentérica crónica,Arteroesclerosis de las arterias mesentéricas
¿Qué vasos sanguíneos se ven afectados con mayor frecuencia en la isquemia mesentérica crónica?,Tronco celíaco y arteria mesentérica superior
¿En qué sexo es más prevalente la isquemia mesentérica crónica?,Mujeres
Características del dolor abdominal en la isquemia mesentérica crónica,"Sordo, de tipo cólico, localizado en el periumbilical o hipogastrio"
¿Cuánto tiempo después de las comidas suele aparecer el dolor en la angina intestinal?,$15$ a $30$ minutos
¿Cuál es la causa de la pérdida de peso en pacientes con isquemia mesentérica crónica?,Miedo a comer (sitofobia)
Hallazgo exploratorio presente en la mitad de los pacientes con isquemia crónica,Soplo abdominal sistólico
Estándar de oro para el diagnóstico de isquemia mesentérica crónica,Arteriografía
Tratamiento definitivo de elección para la isquemia mesentérica crónica,Revascularización quirúrgica (bypass o endarterectomía)
Mortalidad estimada de la isquemia mesentérica crónica,Menor al $10\%$
Definición de isquemia mesentérica aguda,Disminución del flujo sanguíneo que compromete los requerimientos metabólicos intestinales
¿Cuál es la arteria más afectada en la isquemia mesentérica aguda?,Arteria mesentérica superior
Causa más frecuente de isquemia mesentérica aguda,Embólica
Antecedente cardíaco más importante relacionado con la etiología embólica,Fibrilación auricular
Característica principal del dolor en la fase inicial de la embolia mesentérica,Dolor intenso ($10/10$) que no guarda proporción con los hallazgos en la exploración física
Antecedente clínico característico en pacientes con isquemia mesentérica aguda de origen trombótico,Enfermedad vascular previa o angina intestinal
¿Qué porcentaje de pacientes con angina intestinal evoluciona a una isquemia aguda por oclusión total?,$50\%$
Factores desencadenantes de la isquemia mesentérica no oclusiva,Estados de bajo gasto cardíaco o uso de vasoconstrictores
Sustancias que pueden provocar vasoconstricción mesentérica no oclusiva,Cocaína o descongestivos nasales
Factores de riesgo para desarrollar trombosis venosa mesentérica,"Hipertensión portal, sepsis o estados de hipercoagulabilidad"
Tipo de dolor abdominal asociado a la trombosis venosa mesentérica,Dolor abdominal sordo y menos intenso que el arterial
Signo clínico que puede presentarse en las evacuaciones durante una isquemia aguda,Evacuaciones en jalea de grosella
¿Qué parámetro bioquímico suele elevarse antes de que la isquemia intestinal sea irreversible?,Fosfato sérico
Nivel de dímero D sugerente de isquemia mesentérica aguda,Mayor a $500\text{ mcg}$
Significado clínico de la acidosis láctica en el contexto de isquemia intestinal,Presencia de necrosis transmural
Estudio de imagen inicial para descartar perforación intestinal,Radiografía de abdomen
Estudio de imagen de elección para el diagnóstico de isquemia mesentérica aguda,Tomografía de abdomen contrastada
Estándar de oro para el diagnóstico definitivo de isquemia mesentérica aguda,Arteriografía (angiografía)
Hallazgos tomográficos de isquemia mesentérica avanzada,"Neumatosis intestinal, gas en vena porta o engrosamiento de pared"
Meta terapéutica de TPT para la anticoagulación en isquemia mesentérica,$2.5$
Manejo de la isquemia embólica sin peritonitis y sin contraindicación para trombólisis,Aspiración más trombólisis
Manejo quirúrgico de la isquemia embólica con contraindicación para trombólisis,Embolectomía abierta
Tratamiento de elección para la isquemia mesentérica aguda trombótica sin peritonitis,Colocación de stent
Indicación terapéutica para la isquemia mesentérica aguda con datos de peritonitis,Laparotomía exploratoria
Tratamiento farmacológico de elección para la isquemia mesentérica no oclusiva,Inyección de vasodilatadores (Papaverina)
Estrategia de manejo para la trombosis venosa mesentérica no complicada,Anticoagulación precoz y mantenida de por vida
Contraindicaciones neurológicas absolutas para la trombólisis en isquemia mesentérica,"EVC hemorrágico, aneurisma intracraneal o EVC isquémico menor a $3$ meses"
Definición de colitis isquémica,Insuficiencia circulatoria de la microvascularización del colon
¿Cuál es la forma más común de isquemia intestinal?,Colitis isquémica
Región anatómica del colon afectada con mayor frecuencia en la colitis isquémica,Ángulo esplénico (Punto de Griffith)
Factores de riesgo demográficos para la colitis isquémica,"Varones ancianos con enfermedades cardiovasculares, diabetes o insuficiencia renal"
Síntomas clínicos característicos de la colitis isquémica inicial,Dolor tipo cólico de inicio súbito y rectorragia
Estudio diagnóstico definitivo para la colitis isquémica,Colonoscopía
Signo radiológico clásico observado en el enema opaco por colitis isquémica,Imagen de impresiones digitales
Tratamiento inicial para la colitis isquémica transitoria,"Reposo alimentario, fluidos y antibióticos profilácticos"
Indicación quirúrgica en colitis isquémica gangrenosa,Resección segmentaria con o sin anastomosis
Territorios arteriales que irrigan el área esplácnica,"Mesentérica superior, mesentérica inferior y tronco celíaco"
Mortalidad de la isquemia mesentérica aguda si se diagnostica de forma temprana,Menor al $50\%$
¿Qué hallazgo bioquímico sugiere isquemia no oclusiva sensible a tratamiento médico?,Mejoría del dolor tras el uso de vasodilatadores
Significado de la neumatosis intestinal en la tomografía,"Presencia de gas dentro de la pared intestinal, indicativo de isquemia grave"
¿En qué fase de la isquemia mesentérica aguda el dolor no corresponde con la clínica exploratoria?,Fase aguda
Hallazgo hematológico común en la isquemia mesentérica aguda,Leucocitosis con desviación a la izquierda
Enzimas que suelen elevarse en el perfil bioquímico de un infarto intestinal,"DHL, fosfatasa alcalina y amilasa"
Manejo quirúrgico para un émbolo mesentérico con necrosis establecida,Embolectomía abierta más cirugía de control de daños
Efecto de la analgesia común sobre el dolor de la isquemia mesentérica aguda,El dolor no se modifica con analgésicos convencionales
La colitis isquémica suele afectar preferentemente al colon izquierdo.,Izquierdo
Duración habitual del dolor en la angina intestinal posprandial,Varias horas
Factor etiológico no oclusivo relacionado con medicamentos de venta libre,Descongestivos nasales
Relación entre la isquemia mesentérica aguda y la cirugía de control de daños,Se utiliza tras realizar revascularización y resección de tejido necrótico con peritonitis
Principal diferencia diagnóstica entre isquemia aguda y crónica respecto a la urgencia,"La crónica permite diagnóstico precoz para prevenir el infarto, la aguda es una emergencia con alta mortalidad"
Hallazgo en el enema opaco que desaconseja su uso rutinario en colitis aguda,El riesgo de perforación y la baja especificidad frente a la colonoscopía
Manejo de la isquemia no oclusiva con datos de necrosis,Cirugía
¿Qué condición médica previa hace más probable una isquemia trombótica frente a una embólica?,Antecedente de angina intestinal o claudicación abdominal
Proporción de mortalidad general de la isquemia mesentérica aguda sin diagnóstico temprano,$60\%$ a $90\%$
