¿Cuál es el agente etiológico de la sífilis?,Treponema pallidum.
"En la patogenia de la sífilis, ¿cuáles son las lesiones infectantes por contacto sexual?","Chancro, mucosa, erupción cutánea y condiloma plano."
¿Qué tipo de pruebas se utilizan para el cribado de sífilis debido a su alta sensibilidad?,Pruebas no treponémicas.
¿En qué anticuerpos se basan las pruebas VDRL y RPR para el diagnóstico de sífilis?,Anticuerpos anti-cardiolipina-lecitina-colesterol.
¿Cuál es la función principal de las pruebas treponémicas como el FTA-ABS y TP-PA?,Confirmar el diagnóstico por su alta especificidad.
"En la microscopía de campo oscuro para sífilis, ¿cuál es la morfología característica del microorganismo?",En sacacorchos.
¿Cómo se describe la lesión típica de la sífilis primaria?,"Úlcera (chancro) indoloro, único, limpio y con bordes elevados."
¿Qué tipo de lesiones aparecen típicamente en la sífilis secundaria?,"Lesiones blancas elevadas y grandes, generalmente cercanas al chancro."
Mencione tres síntomas sistémicos que pueden acompañar a la sífilis secundaria.,"Fiebre, cefalea y malestar general."
¿Cuáles son las manifestaciones características de la sífilis terciaria?,"Neurosífilis, sífilis meningovascular, parenquimatosa y gomas en piel y huesos."
La _____ se define como una prueba de VDRL positiva sin datos clínicos presentes.,sífilis latente
¿Cuál es el tratamiento de elección para la sífilis?,Penicilina G benzatínica $2.4 \text{ M UI}$ IM en dosis única.
¿Cuál es la alternativa de tratamiento para la sífilis en pacientes alérgicos a la penicilina?,Doxiciclina $100 \text{ mg}$ VO cada $12 \text{ horas}$ por $14 \text{ días}$.
¿Cuántas dosis de penicilina se requieren para tratar la sífilis latente?,$3 \text{ dosis}$.
"¿Qué agente causa el linfogranuloma venéreo, también conocido como enfermedad de Durand-Nicolas?",Chlamydia trachomatis.
¿Cómo se presenta la lesión inicial típica en el linfogranuloma venéreo?,Úlcera única o pápula no dolorosa.
¿Cuál es la característica de la linfadenopatía en el linfogranuloma venéreo?,Unilateral inguinal y purulenta debido a que fistuliza.
¿Cuál es el esquema de tratamiento de elección para el linfogranuloma venéreo?,Doxiciclina $100 \text{ mg}$ cada $12 \text{ horas}$ por $21 \text{ días}$.
¿Qué alternativa de tratamiento existe para el linfogranuloma venéreo si no se puede usar doxiciclina?,Eritromicina $500 \text{ mg}$ cada $6 \text{ horas}$ por $21 \text{ días}$.
¿Cuál es el agente etiológico del chancroide?,Haemophilus ducreyi.
¿Qué características definen a la úlcera genital en el chancroide?,"Dolorosa, única, sucia, necrótica, purulenta y de bordes mal delimitados."
¿Qué sucede típicamente al contacto con la lesión del chancroide?,Sangra fácilmente.
¿Cuál es el tratamiento de elección para el chancroide en dosis única?,Azitromicina $1 \text{ g}$ VO.
¿Qué alternativas intramusculares existen para el tratamiento del chancroide?,Ceftriaxona $250 \text{ mg}$ IM en dosis única.
¿Cuál es la etiología del granuloma inguinal?,Klebsiella granulomatis.
¿Qué hallazgo microscópico confirma el diagnóstico de granuloma inguinal mediante tinción de Wright-Giemsa?,Cuerpos de Donovan.
¿Cómo se describen los pseudo-bubones en el cuadro clínico del granuloma inguinal?,"Adenopatías inguinales que se ulceran, son indoloras y con fondo eritematoso sangrante."
¿Cuál es el esquema de tratamiento de elección para el granuloma inguinal?,Azitromicina $1 \text{ g}$ VO semanal por $3 \text{ semanas}$.
