¿Qué agente etiológico es un bacilo anaerobio productor de la exotoxina causante del tétanos?,$Clostridium$ $tetani$.
¿Cuáles son las dos toxinas principales producidas por el bacilo del tétanos?,Tetanolisina y tetanospasmina.
¿Cuál es el período de incubación típico del tétanos según el material?,De 5 a 7 días.
¿Qué condición es necesaria en el tejido para que las esporas de $C.$ $tetani$ germinen y produzcan toxinas?,Presencia de necrosis.
¿En qué sitio específico de la médula espinal actúa la toxina tetánica bloqueando la inhibición?,En el asta anterior.
"¿Qué neurotransmisor inhibidor es bloqueado por la toxina tetánica, resultando en hipertonía?",GABA (ácido gamma-aminobutírico).
"¿Cómo se define la ""risa sardónica"" en el contexto del tétanos?",Es una contractura involuntaria de los músculos faciales que asemeja una sonrisa fija.
¿Cuál es el signo clínico del tétanos caracterizado por espasmo de los músculos masticatorios?,Trismo (trismus).
¿Qué término médico describe la postura de hiperextensión del cuerpo debido a espasmos musculares intensos en el tétanos?,Opistótonos.
¿Cuál es el estándar de oro para el diagnóstico del tétanos?,El diagnóstico es puramente clínico.
¿Qué tipo de entorno de hospitalización requiere un paciente con tétanos para evitar estímulos?,Unidad de Cuidados Intensivos (UCI) sin estímulos visuales ni auditivos.
¿Cuáles son los dos antibióticos de elección indicados para el tratamiento farmacológico del tétanos?,Penicilina G y metronidazol.
¿Qué grupo farmacológico se utiliza para el manejo de la hipertonía muscular en el tétanos?,Benzodiacepinas.
"En adultos, ¿cuál es la dosis estándar de inmunoglobulina antitetánica?",500 UI.
¿Cuál es la dosis de inmunoglobulina antitetánica indicada para pacientes pediátricos?,250 UI.
¿En qué sitio debe aplicarse la inmunoglobulina antitetánica con respecto al lugar de la vacuna?,En un sitio anatómico distinto al lugar de la vacunación.
¿Cuál es el esquema de refuerzo de la vacuna Td en adultos con esquema previo completo?,Una dosis cada 10 años.
¿Cuál es el intervalo de aplicación para la segunda dosis de Td en un paciente de 15 años nunca vacunado?,4 semanas después de la primera dosis.
"En un paciente no vacunado, ¿cuándo se aplica la tercera dosis del esquema Td?",12 meses después de la primera dosis.
¿A partir de qué semana de gestación se debe aplicar la vacuna Tdpa en embarazadas con esquema previo completo?,A partir de la semana 20 de gestación.
¿Qué manejo profiláctico requiere una herida limpia en un paciente con esquema de vacunación desconocido?,Vacunación únicamente.
¿Qué manejo profiláctico requiere una herida sucia en un paciente con menos de 3 dosis de vacuna antitetánica?,Vacunación e inmunoglobulina antitetánica.
"Ante una herida limpia, ¿después de cuántos años de la última dosis de vacuna se considera necesario volver a vacunar?",Más de 10 años.
"Ante una herida sucia, ¿después de cuántos años de la última dosis de vacuna se considera necesario volver a vacunar?",Más de 5 años.
¿Qué microorganismo causa el botulismo?,$Clostridium$ $botulinum$.
¿Cuál es la característica microbiológica de $Clostridium$ $botulinum$ respecto al oxígeno?,Es un bacilo anaerobio (Gram+).
¿A qué nivel del sistema nervioso actúa la toxina botulínica?,A nivel presináptico.
¿Qué neurotransmisor cuya liberación es inhibida por la toxina botulínica provoca parálisis?,Acetilcolina.
¿Cuál es la principal vía de exposición al botulismo en adultos mencionada en el texto?,"Ingesta (miel, conservas, embutidos) o por herida."
¿Cuál de los 8 tipos de toxina botulínica se considera la más grave?,Toxina tipo A.
¿Cuál es el rango de tiempo habitual para el inicio de síntomas de botulismo tras la ingestión?,De 18 a 36 horas.
¿Cuál es la principal causa de muerte en pacientes con botulismo?,Falla respiratoria.
¿Qué signos oculares son característicos en el cuadro clínico del botulismo?,Diplopía y midriasis.
¿Cómo se confirma el diagnóstico de botulismo laboratorialmente?,Aislamiento de esporas y toxinas en heces mediante cultivos anaeróbicos.
¿Cuál es el tratamiento específico para el botulismo en adultos?,Antitoxina botulínica de origen equino.
¿Qué tratamiento específico se utiliza para el botulismo en niños?,Inmunoglobulina humana IV.
¿Qué medida se debe tomar para reducir la absorción de la toxina en botulismo alimentario?,Acelerar el tránsito intestinal.
¿Qué familia de virus causa la rabia?,$Rhabdoviridae$.
¿A qué género pertenece el virus de la rabia?,$Lyssavirus$.
¿Cuál es el principal reservorio animal que transmite la rabia al hombre por saliva?,El perro.
¿Cuál es el rango del período de incubación de la rabia humana?,De 1 a 3 meses.
¿Cuál es la velocidad de migración del virus de la rabia por los axones hacia el SNC?,De 5 a 100 mm por día.
¿Cómo se llama el tipo de transporte neuronal que utiliza el virus de la rabia para llegar a la raíz dorsal?,Transporte retrógrado.
¿Cuáles son los síntomas de la fase prodrómica de la rabia?,Dolor en el sitio de la lesión y cefalea.
¿Qué síntomas caracterizan la fase de encefalitis aguda en la rabia?,"Desorientación, delirio y convulsiones."
¿Qué tríada de síntomas indica afectación del tronco del encéfalo en la rabia?,"Paresias, hidrofobia y fotofobia."
¿Cuánto tiempo de vida le queda aproximadamente a un paciente una vez que inicia la encefalitis rábica?,7 días.
¿Cuál es el hallazgo histopatológico considerado el Gold Standard para el diagnóstico de rabia?,Cuerpos de Negri.
¿Qué prueba diagnóstica permite la confirmación del virus de la rabia mediante inmunofluorescencia directa?,PCR.
"¿Cuál es el primer paso en el manejo de cualquier exposición al virus de la rabia (categoría ""Sin Riesgo"")?",Lavar con agua y jabón por 10 minutos y desinfectar con agua oxigenada.
¿Qué animales se consideran los tres principales transmisores de rabia en orden de frecuencia?,"1. Perro, 2. Gato, 3. Murciélago."
¿Por qué no se recomienda suturar las heridas por mordedura de animales sospechosos de rabia?,Para evitar la inoculación profunda del virus (solo suturar si es estrictamente necesario).
"En la clasificación de riesgo de rabia, ¿qué situación define un ""Riesgo Leve""?",Lamedura en piel erosionada o mordedura superficial en tronco o miembros inferiores.
¿Qué esquema de vacunación antirrábica se utiliza en pacientes con Riesgo Leve?,"Esquema Essen (días 0, 3, 7 y 14)."
"¿Qué define un ""Riesgo Grave"" en cuanto a la localización de la mordedura?","Mordeduras en cabeza, cuello, miembros superiores o genitales."
"En caso de Riesgo Grave por rabia, ¿cuál es la dosis de inmunoglobulina antirrábica indicada?",20 UI por kg.
"Si un paciente con Riesgo Grave ya tiene antecedente de vacunación previa contra la rabia, ¿qué componente del tratamiento se omite?",La inmunoglobulina antirrábica (solo se aplica refuerzo de vacuna).
¿Cuál es el esquema de vacunación post-exposición (PEP) para un paciente ya vacunado previamente contra la rabia?,Dos dosis los días 0 y 3.
¿Por cuánto tiempo se debe observar a un perro o gato agresor si tiene vacunación vigente y no muestra signos de rabia?,10 días.
"Ante una agresión por un animal silvestre o un animal rábico confirmado, ¿qué categoría de riesgo se asigna?",Riesgo Grave.
"¿Qué manejo se indica para lameduras en mucosas (ojo, nariz, boca)?",Tratamiento para Riesgo Grave (vacunación + inmunoglobulina).
¿Cuál es el manejo si el animal agresor no es localizado y hubo contacto de saliva con piel lesionada?,Iniciar profilaxis para Riesgo Grave.
¿Qué mamíferos se mencionan específicamente como no infectantes para la rabia?,Los roedores.
