¿Qué término describe el estrechamiento valvular que impide el paso normal de la sangre?,Estenosis
¿Cómo se define la insuficiencia valvular en términos de flujo sanguíneo?,Regurgitación de sangre debido a un cierre valvular defectuoso.
¿Cuál es la valvulopatía más frecuente en países desarrollados y en pacientes geriátricos?,Estenosis Aórtica
¿Cuál es la causa principal de estenosis aórtica en pacientes mayores de $70$ años?,Degeneración y calcificación senil.
"En pacientes de entre $30$ y $70$ años, ¿cuál es la etiología congénita más común de la estenosis aórtica?",Válvula Bicúspide
¿Qué defecto valvular es la causa más probable de estenosis aórtica en un paciente de $0$ a $30$ años?,Válvula Unicúspide
Mencione los tres componentes de la tríada clásica de la estenosis aórtica.,"Angina, síncope e insuficiencia cardíaca."
"Tras la aparición de síncope en un paciente con estenosis aórtica, ¿cuál es la sobrevida estimada?",$2$ a $3$ años.
¿Cuál es el hallazgo característico en el electrocardiograma de un paciente con estenosis aórtica?,Hipertrofia ventricular izquierda.
¿Cómo se describe el soplo característico de la estenosis aórtica?,Soplo sistólico romboidal en foco aórtico.
¿Hacia qué estructura anatómica se irradia típicamente el soplo de la estenosis aórtica?,Arterias carótidas
¿Qué nombre recibe el fenómeno donde el soplo de la estenosis aórtica se percibe en el foco accesorio?,Fenómeno de Gallavardin
¿Cómo se describe el pulso arterial en un paciente con estenosis aórtica?,Parvus et tardus
¿Cuál es el estándar de oro para el diagnóstico de las valvulopatías?,Ecocardiograma
¿Cuál es el área valvular que define una estenosis aórtica como severa?,Menor a $1\text{ cm}^2$
¿Qué valor de Fracción de Eyección del Ventrículo Izquierdo (FEVI) es indicación de reemplazo valvular en estenosis aórtica?,Menor al $50\%$
Mencione tres causas comunes de insuficiencia aórtica aguda o crónica.,"Endocarditis, disección aórtica y fiebre reumática."
¿Cuáles son los síntomas iniciales más frecuentes en la insuficiencia aórtica?,Disnea de esfuerzo progresiva y dolor torácico.
¿En qué foco y fase del ciclo cardíaco se ausculta el soplo de la insuficiencia aórtica?,Soplo diastólico en el foco aórtico ($2$do espacio intercostal derecho).
¿Qué nombres recibe el pulso amplio y saltón característico de la insuficiencia aórtica crónica?,"Pulso Magnus, de Corrigan o Celere et Altus."
¿Qué nombre recibe el soplo de regurgitación mitral funcional causado por el chorro de insuficiencia aórtica?,Soplo de Austin-Flint
¿Cuál es el tratamiento farmacológico de elección para la insuficiencia aórtica aguda?,Dobutamina y Nitroprusiato.
¿A partir de qué valor de FEVI se indica cirugía en un paciente con insuficiencia aórtica severa?,Menor al $55\%$
¿Cuál es la etiología responsable del $90\%$ de los casos de estenosis mitral?,Fiebre Reumática
¿Cuál es el síntoma más frecuente en la estenosis mitral?,Disnea
¿Qué complicación arrítmica es común en pacientes con estenosis mitral de larga evolución?,Fibrilación Auricular
"Según el área valvular, ¿cómo se clasifica la estenosis mitral moderada?",Mayor a $1.5\text{ cm}$
¿Cuál es el área valvular característica de una estenosis mitral severa?,Menor a $1.5\text{ cm}$
¿En qué foco y fase cardíaca se percibe el soplo de la estenosis mitral?,Soplo diastólico en foco mitral ($5$to espacio intercostal).
¿Qué hallazgos componen el soplo de Duroziez en la estenosis mitral?,Primer ruido intenso y segundo ruido desdoblado.
¿Qué signo radiológico sugiere congestión pulmonar en la estenosis mitral?,Líneas B de Kerley
¿Qué microorganismo debe tratarse si un paciente con estenosis mitral presenta faringitis?,Streptococcus pyogenes
¿En qué grado de la clasificación NYHA se indica tratamiento quirúrgico para estenosis mitral?,Clase III-IV
¿Cuál es la segunda cardiopatía valvular más frecuente en la actualidad?,Insuficiencia Mitral
¿Qué evento isquémico agudo puede causar insuficiencia mitral por ruptura de cuerdas tendinosas?,Infarto Agudo al Miocardio (IAM) de cara inferior.
Cite dos causas crónicas de insuficiencia mitral.,Fiebre reumática y endocarditis.
¿Cuál es el cuadro clínico de la insuficiencia mitral aguda?,"Edema agudo pulmonar, disnea de esfuerzo y paroxística nocturna."
¿Hacia dónde se irradia el soplo sistólico de la insuficiencia mitral?,Hacia la axila
¿Qué indica la presencia de un tercer ruido cardíaco en la insuficiencia mitral?,Insuficiencia cardíaca
"En insuficiencia mitral con fibrilación auricular, ¿qué fármacos se añaden al tratamiento crónico?",Antiarrítmicos y anticoagulantes.
¿Cuál es la causa más frecuente de estenosis tricuspídea?,Etiología Reumática
Mencione tres signos de insuficiencia cardíaca derecha presentes en la estenosis tricuspídea.,"Edema, distensión yugular y reflujo hepatojugular."
¿Qué nombre recibe el soplo diastólico tricuspídeo que aumenta con la inspiración?,Soplo de Rivero-Carvallo
¿Cuál es la maniobra que hace aumentar la intensidad del soplo de Rivero-Carvallo?,Inspiración profunda
¿Cuál es la causa funcional más común de la insuficiencia tricuspídea?,Hipertensión Pulmonar
¿Cuáles son las dos causas orgánicas principales de la insuficiencia tricuspídea?,Endocarditis o fiebre reumática.
¿Cuál es el tratamiento quirúrgico opcional para la insuficiencia tricuspídea?,Valvuloplastía
Concepto: Fenómeno de Gallavardin,"Disociación del soplo de estenosis aórtica, donde el componente rudo se oye en el foco aórtico y el musical en el ápex."
¿Qué valvulopatía se asocia con el síntoma de 'cianosis acra'?,Estenosis Mitral
¿En qué casos de estenosis aórtica se prefiere el tratamiento con balón percutáneo?,Pacientes geriátricos
El soplo sistólico en foco tricuspídeo es característico de la _____.,Insuficiencia Tricuspídea
"La tríada de angina, síncope y disnea es patognomónica de la _____.",Estenosis Aórtica
El pulso parvus et tardus es a la estenosis aórtica lo que el pulso de Corrigan es a la _____.,Insuficiencia Aórtica
¿Qué fármacos se utilizan para el control crónico de la insuficiencia mitral?,Diuréticos y betabloqueadores.
"En la estenosis mitral, el área valvular mayor de $2\text{ cm}$ se considera _____.",Leve
¿Cuál es el manejo inicial para un paciente con estenosis aórtica asintomática?,Observación
"En la insuficiencia tricuspídea, el paciente suele presentar disnea, fatiga y datos de _____.",Insuficiencia cardíaca derecha
¿Qué tratamiento médico es común para reducir la precarga en casi todas las insuficiencias valvulares sintomáticas?,Diuréticos
¿Qué valvulopatía presenta un soplo sistólico que se irradia a la axila?,Insuficiencia Mitral
La estenosis mitral se asocia frecuentemente a la aparición de _____ sistémicos por fibrilación auricular.,Embolismos
