¿Dónde se localiza generalmente la lesión intraepitelial precursora del cáncer de cuello uterino?,En la zona de metaplasia escamosa (unión de los epitelios escamoso y cilíndrico).
¿Cómo se denomina a la célula epitelial que presenta cambios morfológicos indicativos de infección por VPH?,Coilocito.
¿Qué tipo de epitelio recubre el ectocérvix?,Epitelio escamoso (plano estratificado no queratinizado).
¿Cuál es la infección de transmisión sexual (ITS) más frecuente según el material?,Infección por el Virus del Papiloma Humano (VPH).
¿En qué porcentaje de los casos de cáncer cervicouterino se ha identificado la presencia de VPH?,99.7%.
¿Cuáles son los genotipos de VPH de bajo riesgo responsables de la mayoría de las verrugas anogenitales?,6 y 11.
¿Qué oncogenes del VPH son responsables de la pérdida del control de la proliferación celular al afectar a p53?,E6 y E7.
¿Qué serotipos de VPH cubre la vacuna bivalente Cervarix?,16 y 18.
¿Qué serotipos de VPH cubre la vacuna tetravalente Gardasil?,"6, 11, 16 y 18."
"Según los lineamientos de 2025, ¿cuál es la vacuna disponible en la campaña de vacunación en México?",La vacuna nonavalente.
"En la campaña de 2025, ¿cuál es el esquema de vacunación para niñas de 5to grado de primaria o de 11 años no escolarizadas?",Dosis única.
¿Cuál es el esquema de vacunación contra el VPH para personas de 11 a 49 años que viven con VIH?,"Tres dosis (0, 2 y 6 meses)."
¿Qué vía de administración y sitio anatómico se utiliza para la vacuna contra el VPH?,Vía intramuscular (IM) en la región deltoidea del brazo no dominante.
¿A qué edad debe iniciar el tamizaje con citología cervical convencional o base líquida?,A los 25 años.
¿Cuál es la prueba de elección para el tamizaje de cáncer cervicouterino en mujeres de 30 a 64 años?,Detección molecular de VPH de alto riesgo (VPH-AR).
¿Cada cuántos años debe realizarse la prueba de VPH-AR si el resultado es negativo?,Cada 5 años.
¿Bajo qué condición se puede suspender el tamizaje de cáncer cervicouterino a los 64 años?,Si existen resultados negativos consistentes en los últimos 10 años.
Manejo ante un resultado de citología con ASC-US:,Realizar prueba de VPH.
"Manejo ante un resultado de citología con LEIAG, ACG o ASC-H:",Referencia directa a colposcopía y toma de biopsia.
¿Qué conducta se sigue si una prueba de VPH-AR resulta positiva para los genotipos 16 o 18?,Referir directamente a colposcopía.
¿Qué significa la sigla ACG en un reporte de citología?,Células glandulares atípicas.
¿Qué significa la sigla ASC-H en un reporte de citología?,Células escamosas atípicas donde no se pueden excluir lesiones de alto grado.
¿Cuál es el estándar de oro para el diagnóstico definitivo de lesiones precursoras?,Biopsia dirigida por colposcopía.
¿Cuándo se considera el cono cervical como un tratamiento definitivo?,En casos de cáncer microinvasor que cumplan con criterios específicos.
¿Cuál es el tratamiento preferido para lesiones NIC 2+ o LEIAG?,Escisión electroquirúrgica con asa (LEEP).
Term: Crioterapia (en CACU),Definition: Alternativa de tratamiento ablativo para lesiones pequeñas que no cubren más del 75% del ectocérvix ni se extienden al canal.
¿En qué casos se debe suspender definitivamente el tamizaje de cáncer cervicouterino?,En mujeres con histerectomía total no relacionada a cáncer.
¿A qué edad inicia el tamizaje de VPH en pacientes con VIH?,A los 25 años.
¿Cuál es el intervalo de detección en pacientes con VIH y niveles de CD4 < 200 células/mm³?,Cada 6 a 12 meses.
¿Cuál es el factor de riesgo número uno para el desarrollo de cáncer cervicouterino?,Persistencia de la infección por VPH 16 y 18.
¿Cuál es la variedad histológica más frecuente del cáncer cervicouterino?,Carcinoma escamoso o epidermoide (90%).
¿Cuál es el síntoma más precoz y característico del cáncer cervicouterino?,Metrorragia.
"En etapas avanzadas, ¿qué característica tiene la leucorrea?","Fétida y con apariencia de ""agua de lavar carne""."
¿Cuál es el principal sitio de metástasis a distancia en el cáncer cervicouterino?,Ganglios paraaórticos.
FIGO Estadio I: Definición general,Carcinoma estrictamente confinado al cuello uterino.
FIGO Estadio IA1: Definición de invasión,Invasión al estroma menor a 3 mm de profundidad.
FIGO Estadio IA2: Definición de invasión,Invasión al estroma mayor a 3 mm y menor a 5 mm de profundidad.
FIGO Estadio IB2: Definición,Lesión clínica (macroscópica) mayor a 4 cm limitada al cuello uterino.
FIGO Estadio IIB: Característica diagnóstica,Invasión evidente de los parametrios (sin llegar a la pared pélvica).
FIGO Estadio IIIA: Extensión de la lesión,Extensión al tercio inferior de la vagina sin afectar la pared pélvica.
FIGO Estadio IIIB: Hallazgos clínicos,Extensión a la pared pélvica y/o presencia de hidronefrosis o riñón excluido.
FIGO Estadio IVA: Definición,Invasión de la mucosa de la vejiga o del recto y/o extensión más allá de la pelvis verdadera.
¿A partir de qué estadio clínico se considera que la lesión es irresecable y requiere quimiorradioterapia?,Estadio IB2 (lesión > 4 cm).
¿Cuál es el tratamiento estándar para estadios localmente avanzados (IIB a IVA)?,Quimiorradioterapia (basada en Cisplatino + Paclitaxel).
Tratamiento del Estadio IA1 en pacientes con deseo de preservar el embarazo:,Cono terapéutico.
Manejo del CACU en el segundo trimestre de embarazo con deseo de preservación:,Quimioterapia neoadyuvante después de las 12 semanas y finalizar el embarazo al lograr madurez pulmonar.
¿Cuál es el cáncer más común diagnosticado durante el embarazo?,Cáncer cervicouterino (CACU).
¿Con qué frecuencia se debe realizar el seguimiento los primeros 2 años tras el alta por tratamiento de CACU?,Cada 3 a 6 meses.
¿A cuántos años de seguimiento sin evidencia de enfermedad se puede dar el alta definitiva en ginecología?,A los 5 años.
¿Qué genes del VPH son responsables de infectar la membrana basal y provocar condilomas?,Genes tardíos L1 y L2.
¿En qué porcentaje reduce la transmisión del VPH el uso correcto del condón?,70%.
"La clasificación de Richart para colposcopía divide las lesiones en _____, _____ y _____.","NIC 1, NIC 2 y NIC 3"
Manejo de una paciente con VPH-AR positivo para genotipos no 16/18 y citología negativa:,Repetir la prueba en 12 meses.
¿Bajo qué circunstancia se debe referir a oncología en menos de 10 días?,Diagnóstico confirmado de cáncer invasor o sospecha clínica de malignidad en colposcopía.
El tratamiento de un NIC 2 no debe exceder los _____ días hábiles desde su diagnóstico.,20
¿Qué complicación renal define el estadio IIIB en la clasificación FIGO?,Hidronefrosis.
¿Cuál es la principal vía de diseminación inicial del cáncer cervicouterino?,Extensión directa (vagina y parametrios).
"En pacientes con VIH y tratamiento antirretroviral efectivo con CD4 normales, ¿cada cuánto se realiza el tamizaje?",Cada 3 a 5 años.
La vacuna contra el VPH _____ (sí/no) está contraindicada durante el embarazo.,no (aunque es preferible administrarla después).
"Ante un caso de abuso sexual, ¿cuántas dosis de vacuna contra VPH se pueden aplicar?",Hasta dos dosis (esquema 0-6 meses).
