¿Qué evento electrofisiológico representa la onda P en el electrocardiograma?,La despolarización auricular.
¿Cuál es la duración normal de la onda P según las generalidades del material?,$< 0.12 \ s$.
¿Cuál es el rango de tiempo normal para el segmento PR?,$0.12$ a $0.20 \ segundos$.
¿Qué evento electrofisiológico representa el complejo QRS?,La despolarización ventricular.
¿Cuál es la duración normal de un complejo QRS?,$< 0.12 \ s$.
¿Qué evento electrofisiológico representa la onda T?,La repolarización ventricular.
¿Con qué hallazgo en el electrocardiograma inicia la sístole?,Con el complejo QRS.
¿En qué punto del electrocardiograma inicia la diástole y en cuál finaliza?,Inicia con el segmento ST y finaliza con la onda P.
Concepto: Automatismo cardiaco,Es el mecanismo de generación del impulso nervioso.
Concepto: Dromotropismo cardiaco,Es el mecanismo de propagación del impulso nervioso.
¿Cuál es la conducta a seguir ante un paciente con frecuencia cardiaca $< 50 \ lpm$ pero asintomático?,Únicamente vigilancia.
¿Cuál es la dosis inicial recomendada de Atropina IV en el tratamiento de bradicardias sintomáticas?,$1 \ mg$ en bolo.
¿Cuál es la frecuencia de administración y la dosis máxima total de Atropina en bradicardias?,Repetir cada $3$ a $5 \ minutos$ hasta un máximo de $3 \ mg$.
¿Qué fármacos se pueden utilizar en bradiarritmias si la Atropina resulta inefectiva?,Infusión de Dopamina o Adrenalina.
¿Cuál es el rango de dosis habitual para la infusión de Dopamina en bradicardias?,$5$ a $20 \ mcg/kg$ por minuto.
¿Cuál es el rango de dosis para la infusión de Adrenalina en bradicardias?,$2$ a $10 \ mcg$ por minuto.
¿Qué caracteriza al bloqueo AV de primer grado en el electrocardiograma?,Intervalo PR alargado ($> 200 \ ms$) de forma constante.
¿Qué hallazgo define al bloqueo AV de segundo grado tipo Mobitz I (Wenckebach)?,Intervalos PR que se alargan progresivamente hasta que una onda P no conduce.
¿Qué caracteriza al bloqueo AV de segundo grado tipo Mobitz II?,Intervalo PR constante con la aparición repentina de una onda P que no conduce.
¿Qué define al bloqueo AV de tercer grado (disociación AV)?,"Ausencia de relación entre ondas P y complejos QRS, con presencia de más ondas P que QRS."
¿Cuál es la causa más frecuente de implante de marcapasos definitivo en el medio descrito?,Los bloqueos auriculoventriculares (AV).
¿Cuáles son las dos etiologías principales de los bloqueos AV en pacientes geriátricos?,Causas idiopáticas y fármacos frenadores.
¿Con qué tipo de infarto agudo al miocardio se asocian frecuentemente los bloqueos AV?,Infarto inferior.
¿En qué situaciones se indica marcapasos en bloqueos de primer grado o segundo grado tipo I?,"Solo en caso de sintomatología, como síncopes."
¿Para qué tipos de bloqueos AV está indicado el marcapasos independientemente de los síntomas iniciales?,Bloqueo de segundo grado tipo II y bloqueo de tercer grado.
¿Qué define al síndrome del nodo sinusal enfermo en términos de frecuencia cardiaca relativa?,Frecuencia cardiaca menor del $80\%$ de acuerdo a la edad.
¿Cuál es la manifestación clínica característica del síndrome de bradicardia-taquicardia?,Periodos de bradicardia extrema que se alternan con periodos de taquicardia.
¿Qué estudio diagnóstico se utiliza si el paciente con sospecha de enfermedad del nodo sinusal presenta síntomas poco frecuentes?,Holter subcutáneo.
¿Cuál es el hallazgo diagnóstico en el tiempo de conducción sinoauricular en pacientes con enfermedad del nodo sinusal?,El tiempo de conducción está alargado.
¿En qué fase del potencial de acción cardiaco actúan los antiarrítmicos de Clase I?,Fase 0 y Fase 1.
¿Cuál es el mecanismo de acción principal de los fármacos antiarrítmicos de Clase II?,Disminuyen el automatismo.
"Mecanismo de acción de la Clase III de antiarrítmicos: Bloquean canales de $K^{+}$ y prolongan la repolarización, lo que causa el alargamiento del _____.",Intervalo QT.
¿En qué fase del potencial de acción actúan los calcioantagonistas (Clase IV)?,Fase 2.
"Fármacos ejemplo: Clase 1A, 1B y 1C de Vaughan Williams","1A Procainamida, 1B Lidocaína/Fenitoína, 1C Propafenona."
¿Cuál es el fármaco prototipo de los antiarrítmicos de Clase III?,Amiodarona.
¿Qué define a una taquicardia sinusal en términos de frecuencia y morfología?,Ritmo sinusal $> 100 \ lpm$ con onda P idéntica a la sinusal.
¿Cuál es el manejo terapéutico principal de la taquicardia sinusal?,"Tratar la causa responsable (estrés, anemia, fiebre, etc.)."
¿Qué fármacos pueden emplearse para controlar la frecuencia en una taquicardia sinusal persistente?,"Beta-bloqueantes, calcioantagonistas o ivabradina."
¿Cuál es la arritmia crónica sostenida más frecuente en la práctica clínica?,Fibrilación auricular.
¿Qué hallazgo en el electrocardiograma sustituye a las ondas P en la fibrilación auricular?,Ondas f (minúsculas) de $350$ a $600 \ lpm$.
¿Cuál es el factor predisponente más frecuente para el desarrollo de fibrilación auricular?,Hipertensión arterial.
¿Qué porcentaje de los eventos trombóticos es causado por la fibrilación auricular?,El $20\%$ de los eventos.
¿Cuál es el estándar de oro para el diagnóstico de fibrilación auricular?,Electrocardiograma de 12 derivaciones.
