¿Cómo se define una hernia en términos anatómicos generales?,Es la protrusión a través de una debilidad u orificio anormal en una capa envolvente.
¿Cuál es la cirugía electiva más frecuente realizada por el cirujano general?,La hernioplastía (reparación de hernias).
"Definición: Hernia que no se puede reducir, es blanda y dolorosa, pero no presenta compromiso vascular.",Hernia incarcerada.
Una hernia incarcerada que presenta compromiso vascular del contenido herniado se denomina hernia _____.,Estrangulada
¿Cuáles son las características clínicas de una hernia estrangulada?,"Es dolorosa, a tensión y presenta una coloración violácea."
"Definición: Hernia que, después de reducirse manualmente, no vuelve a salir espontáneamente.",Hernia coercible.
Definición: Hernia que vuelve a salir de forma inmediata después de haber sido reducida.,Hernia incoercible.
¿Qué caracteriza a una hernia por deslizamiento?,Una porción del saco herniario está formada por la pared de una víscera (como el ciego o sigmoides).
¿Cuál es el tipo de hernia más frecuente en la población general?,La hernia inguinal.
¿Qué tipo de hernia inguinal es más común en los hombres?,La hernia inguinal indirecta.
"En la población de adultos mayores, ¿qué tipo de hernia inguinal se presenta con mayor frecuencia?",La hernia inguinal directa.
¿En qué sexo son más frecuentes las hernias femorales (crurales)?,En las mujeres.
¿Qué lugar ocupan las hernias femorales como causa de obstrucción del intestino delgado?,Segunda causa.
Mencione tres factores de riesgo para el desarrollo de hernias inguinales.,"Antecedentes genéticos, tabaquismo y problemas pulmonares crónicos."
¿Qué hallazgo clínico suele observarse inicialmente en una hernia inguinal no complicada?,Un bulto en la región inguinal que no es doloroso.
¿Qué síntoma adicional a la masa dolorosa sugiere una hernia incarcerada?,Un cuadro obstructivo intestinal.
¿A través de qué canal atraviesa una hernia crural o femoral?,"Atraviesa el canal formado por el ligamento lacunar, la vena femoral y el ligamento inguinal."
Las hernias indirectas salen de la cavidad abdominal laterales a los vasos _____.,Epigástricos
¿Cuál es el sitio de protrusión anatómico de una hernia inguinal directa?,El triángulo de Hesselbach.
¿Qué tipo de hernia inguinal tiene la capacidad de descender hasta el escroto?,La hernia inguinal indirecta.
¿Cuál es el método principal para realizar el diagnóstico de una hernia inguinal?,La exploración física y la clínica.
¿Cuál es el estudio de imagen inicial indicado ante una duda diagnóstica de hernia?,Ultrasonido (USG).
"Si el ultrasonido no es concluyente para el diagnóstico de hernia, ¿qué estudio se debe realizar a continuación?",Resonancia Magnética (RM).
¿Cuál es el estándar de oro ($Gold$ $Standard$) para el diagnóstico de hernias de difícil detección?,La herniografía.
¿Cuál es la conducta terapéutica ante una hernia inguinal asintomática?,Vigilancia y programación de cirugía electiva.
La técnica de elección (estándar de oro) para el tratamiento quirúrgico es la hernioplastía abierta con _____.,Material protésico (malla)
¿Qué técnica quirúrgica sin tensión utiliza una malla plana y tiene el menor índice de recurrencia?,La técnica de Lichtenstein.
¿En qué situación se utiliza la técnica de Shouldice (con tensión)?,Cuando existe ausencia de material protésico o en hernias complicadas.
¿Cuál es la complicación postquirúrgica más frecuente tras una hernioplastía inguinal?,Retención urinaria.
¿Cuál es el analgésico antiinflamatorio (AINE) de elección en el postquirúrgico de hernia?,Ketorolaco.
¿Qué tipo de mallas se recomiendan específicamente para la reparación de una hernia femoral?,Mallas preperitoneales (como Stoppa o Wantz).
¿Cuál es el manejo quirúrgico de una hernia estrangulada respecto al uso de malla?,Se realiza reducción o resección del contenido y plastía convencional sin malla.
"En la clasificación de Nyhus, ¿qué caracteriza al Tipo I?",Hernia indirecta con anillo inguinal interno de diámetro normal.
"En la clasificación de Nyhus, ¿qué caracteriza al Tipo II?",Hernia indirecta con anillo inguinal interno dilatado y pared posterior intacta.
"Según Nyhus, ¿qué tipo de hernia se clasifica como IIIa?",Hernia inguinal directa.
"Según Nyhus, ¿qué tipo de hernia se clasifica como IIIc?",Hernia femoral.
¿Qué categoría de Nyhus corresponde a las hernias recurrentes?,Tipo IV.
¿Cómo se clasifican las hernias ventrales mediales localizadas a menos de $3$ cm por debajo del xifoides?,M1 (Subxifoideas).
¿Qué zona delimita a las hernias ventrales umbilicales (M3) según su localización?,Zona que va de $3$ cm por arriba a $3$ cm por debajo del ombligo.
¿Cómo se llaman las hernias ventrales que ocurren después de un procedimiento quirúrgico?,Postincisionales.
¿Cómo se define el tamaño de una hernia ventral 'grande'?,$> 10$ cm.
¿Cuál es la técnica de elección para la colocación de malla retro-aponeurótica en hernias ventrales?,Técnica de Rives.
¿Cuál es la relación de frecuencia de hernia umbilical entre mujeres y hombres?,$2:1$ (más frecuente en mujeres).
Mencione dos síndromes asociados a la presencia de hernia umbilical.,Síndrome de Down y Síndrome de Ehlers-Danlos.
¿A qué edad se debe considerar la reparación quirúrgica de una hernia umbilical pediátrica persistente?,Después de los $2$ años de edad.
¿Cuál es la indicación de tamaño para operar una hernia umbilical pediátrica a cualquier edad?,Defecto herniario mayor de $1.5$ cm.
¿Cuál es la técnica de primera elección para la reparación de hernia umbilical en adultos sin malla?,Técnica de Mayo.
¿A partir de qué diámetro de defecto se recomienda el uso de malla en hernias umbilicales de adultos?,$> 3$ cm.
¿Qué contiene el saco herniario en una hernia de Litre?,Un divertículo de Meckel.
Definición: Herniación de una porción de la pared antimesentérica del intestino delgado.,Hernia de Richter.
¿En qué localización anatómica surge la hernia de Spiegel?,En la unión del borde lateral del recto abdominal con la línea semilunar de Spiegel.
Definición: Hernia que contiene una apendicitis aguda dentro de su saco.,Hernia de Amyand.
¿Qué complicación grave puede ocurrir en una hernia con pérdida de domicilio debido al volumen excesivo?,Síndrome compartimental abdominal.
¿Cuál es el abordaje quirúrgico de elección para una esplenectomía si el bazo mide menos de $20$ cm?,Abordaje laparoscópico.
¿Cuál es la indicación de abordaje por laparotomía en una esplenectomía?,Bazo mayor de $20$ cm o trauma esplénico.
Mencione dos enfermedades hematológicas que son indicaciones frecuentes de esplenectomía.,Esferocitosis hereditaria y Talasemia mayor.
"¿Qué vacuna es obligatoria antes de una esplenectomía, además de la de Neumococo y Meningococo?",$Haemophilus$ $influenzae$ tipo B.
"Durante la exploración física, si el saco choca con la punta del dedo, se sospecha de una hernia inguinal _____.",Indirecta
"Durante la exploración física, si el saco choca con la parte lateral del dedo, se sospecha de una hernia inguinal _____.",Directa
¿Qué estudio radiológico se debe solicitar en caso de sospecha de oclusión intestinal por hernia?,Radiografía de tórax.
¿Cuál es el síntoma cardinal de las hernias de Spiegel?,Dolor con masa palpable.
¿Cuál es el porcentaje de recidiva de una hernia cuando no se utiliza material protésico?,Mayor al $50\%$.
¿Cuál es el esquema de seguimiento anual recomendado para un paciente post-hernioplastía?,Seguimiento anual hasta cumplir $5$ años.
