¿Cuál es el agente etiológico de la Brucelosis?,"Género Brucella (principalmente B. melitensis), un coco Gram negativo aerobio."
¿Cuál es la principal causa de muerte en pacientes con Brucelosis?,Endocarditis.
Tipo de fiebre característica que presenta un paciente con Brucelosis.,Fiebre continua ondulante.
¿Cuál es el medio de cultivo específico (Gold Standard) para el diagnóstico de Brucelosis?,Medio de Ruiz-Castañeda (hemocultivo o aspirado de médula ósea).
¿Qué prueba se utiliza para el diagnóstico presuntivo de Brucelosis?,Aglutinación Rosa de Bengala.
Tratamiento de primera línea para Brucelosis no complicada.,Doxiciclina + Estreptomicina (o Gentamicina).
Esquema de tratamiento para Brucelosis en mujeres embarazadas y ancianos.,Rifampicina + TMP/SMX (Trimetoprima/Sulfametoxazol).
Tratamiento de elección para Brucelosis cuando existe complicación por endocarditis.,Doxiciclina + Rifampicina + TMP/SMX.
Fisiopatología de la Rickettsiosis: Invade células _____ de los vasos sanguíneos causando vasculitis.,Endoteliales
Agente causal de la Fiebre Manchada de las Montañas Rocosas.,Rickettsia rickettsii.
Vector principal de la Rickettsiosis en México.,Garrapata (Rhipicephalus sanguineus o Ixodes scapularis).
Descripción del exantema característico en Rickettsiosis.,Exantema macular petequial de distribución centrípeta.
¿Cuál es el Gold Standard para el diagnóstico de Rickettsiosis?,Detección de anticuerpos mediante Inmunofluorescencia Indirecta (IFI).
Tratamiento antibiótico de elección para Rickettsiosis.,Doxiciclina (vía oral o IV si el caso es crítico).
Agente causal de la Enfermedad de Lyme.,Borrelia burgdorferi (una espiroqueta).
Manifestación cutánea patognomónica de la etapa inicial de la Enfermedad de Lyme.,Eritema migratorio (mácula con palidez central).
Complicaciones características de la infección inicial diseminada en Lyme.,"Meningorradiculitis linfocítica, lesiones de nervios craneales y arritmias."
Tratamiento farmacológico de elección para la Enfermedad de Lyme.,Tetraciclinas o Ceftriaxona.
¿Cuál es el agente causal del Carbunco (Ántrax)?,Bacillus anthracis.
Características microbiológicas del Bacillus anthracis.,"Bacilo Gram positivo inmóvil, aerobio o anaerobio facultativo, formador de esporas."
Forma clínica más frecuente del Carbunco.,Carbunco cutáneo.
Descripción de la lesión en el Carbunco cutáneo.,Úlcera con escara necrótica negruzca e indolora.
Tratamiento de elección para cepas de Bacillus anthracis asociadas a bioterrorismo.,Ciprofloxacino o Levofloxacino.
Agente etiológico de la Tularemia.,Francisella tularensis.
Reservorios animales comúnmente asociados a la transmisión de Tularemia.,Liebres y conejos.
Descripción de la lesión cutánea por inoculación en Tularemia.,Pápula inflamada que progresa a úlcera en sacabocados.
Tratamiento de primera línea para la Tularemia.,Estreptomicina (por 7 a 10 días).
Especie de Aspergillus responsable del $90\%$ de los casos de Aspergilosis.,Aspergillus fumigatus.
Cuadro clínico: Esfera fúngica que coloniza una cavidad pulmonar preexistente (ej. por TB).,Aspergiloma.
¿Qué signo radiológico caracteriza al Aspergiloma?,Signo de cascabel.
¿Qué signo radiológico caracteriza a la Aspergilosis pulmonar invasora?,Signo del halo.
Ángulo de ramificación característico de las hifas de Aspergillus en cortes histológicos.,$45^{\circ}$
Tratamiento de primera elección para la Aspergilosis invasora.,Voriconazol IV.
¿Cuál es la principal causa de meningitis fúngica en pacientes con VIH?,Cryptococcus neoformans.
Conteo de linfocitos T $CD4$ usualmente asociado a criptococosis en pacientes con VIH.,$< 100$ cel/mL.
Método de tinción clásica para visualizar la cápsula de Cryptococcus en LCR.,Tinta China.
Hallazgos típicos en el LCR de un paciente con meningitis por Cryptococcus.,"Hipoglucorraquia, hiperproteinemia y pleocitosis de predominio mononuclear."
Tratamiento de inducción para meningitis por Cryptococcus en pacientes con VIH.,Anfotericina B.
Tratamiento de mantenimiento para Criptococosis en pacientes con VIH.,Fluconazol 200 mg por 12 meses.
Micosis asociada a la exposición a murciélagos en cuevas o excremento de aves.,Histoplasmosis (H. capsulatum).
¿Con qué enfermedad endocrina se asocia la Histoplasmosis diseminada en un $44\%$ de los casos?,Enfermedad de Addison.
Método diagnóstico para Histoplasmosis en su forma diseminada.,Aspiración de médula ósea.
Tratamiento para Histoplasmosis diseminada.,Anfotericina B + Glucocorticoides (por 2 semanas).
Mecanismo de transmisión de la Coccidioidomicosis.,Inhalación de artroesporas.
¿Qué estructuras se observan en el examen directo para diagnosticar Coccidioidomicosis?,Endoesporas.
Tratamiento de elección para casos leves a moderados de Coccidioidomicosis.,Fluconazol o Itraconazol.
"Micosis con hifas en aspecto de ""timón de barco"" en el frotis o biopsia.",Paracoccidioidomicosis (P. brasilensis).
Tratamiento de elección para Blastomicosis y Paracoccidioidomicosis.,Anfotericina B.
Factor de riesgo principal para desarrollar Mucormicosis (Zigomicosis).,Diabetes mellitus descompensada (cetoacidosis).
Características clínicas de la Mucormicosis rinocerebral.,"Necrosis facial, úlceras necróticas en paladar duro y destrucción ósea."
Hallazgo histológico característico de la Mucormicosis.,Hifas gruesas no tabicadas con invasión de vasos sanguíneos (angio-invasión).
¿Cuál es la micosis subcutánea más frecuente en México?,Micetoma.
Agente causal más frecuente del Micetoma en México ($90\%$ de los casos).,Nocardia brasiliensis.
Tratamiento de elección para el Micetoma cutáneo por Nocardia.,TMP/SMX + Diaminofenilsulfona por 2 meses.
Signo clínico del Micetoma: inflamación crónica con abscesos que drenan _____.,Gránulos de material purulento
Tratamiento para Tularemia si el paciente presenta meningitis.,Cloranfenicol (por 14 a 21 días).
Principal reservorio animal de la Brucelosis por B. melitensis.,Cabras (caprinos).
Vía de transmisión más común de la Brucelosis al humano.,Ingesta de lácteos no pasteurizados de animales enfermos.
Manifestación de la infección tardía persistente en la Enfermedad de Lyme.,Artritis franca oligoarticular y acrodermatitis crónica atrófica.
Tratamiento de la Aspergilosis broncopulmonar alérgica.,Voriconazol + Esteroides (por la hiperreactividad bronquial).
Especie de Cryptococcus asociada a árboles como el eucalipto.,Cryptococcus gattii.
