¿Cómo se define una cardiopatía congénita?,Malformaciones cardíacas o de los grandes vasos presentes desde el nacimiento que se originan en las primeras semanas de gestación.
¿Cuál es la cardiopatía congénita más frecuente a nivel mundial?,Comunicación interventricular (CIV).
¿Cuál es la cardiopatía congénita más frecuente en México?,Persistencia del conducto arterioso (PCA).
¿En qué porcentaje aumenta el riesgo de cardiopatía en pacientes con cromosomopatías?,Aumenta en un $30 \%$.
¿En qué rango de tiempo ocurre el cierre fisiológico del conducto arterioso tras el nacimiento?,$12$ a $72$ horas.
¿A qué edad ocurre el cierre anatómico del conducto arterioso?,De $15$ días a $2$ meses.
¿A qué edad ocurre el cierre del foramen oval?,$3$ meses.
¿Qué estructura se origina del conducto onfalomesentérico?,Divertículo de Meckel.
¿Hacia dónde se dirige el cortocircuito en las cardiopatías acianógenas?,De izquierda a derecha.
Mencione tres ejemplos de cardiopatías acianógenas con flujo pulmonar aumentado.,"Comunicación interauricular (CIA), comunicación interventricular (CIV) y persistencia del conducto arterioso (PCA)."
Mencione dos ejemplos de cardiopatías acianógenas con flujo pulmonar normal.,Coartación aórtica y estenosis pulmonar.
¿Cuál es el estudio de diagnóstico inicial para las cardiopatías acianógenas?,Radiografía de tórax.
¿Cuál es el estudio de diagnóstico confirmatorio (estándar de oro) para las cardiopatías acianógenas?,Ecocardiograma.
"En una cardiopatía acianógena, un defecto pequeño se asocia clínicamente con un soplo _____.",Audible.
"En una cardiopatía acianógena, un defecto grave se asocia clínicamente con un soplo _____.",Leve.
¿Cuál es la localización más frecuente de la comunicación interauricular (CIA)?,Ostium secundum.
¿Qué hallazgo característico se encuentra en la auscultación del segundo ruido en una CIA?,Desdoblamiento fijo del segundo ruido.
¿Cuál es la característica del soplo en una comunicación interauricular?,Mesosistólico eyectivo de baja intensidad en foco pulmonar.
¿En qué rango de edad se recomienda el cierre quirúrgico de una CIA si el defecto es $> 7$ mm?,Entre los $3$ y $6$ años.
¿Cuál es la localización más frecuente de la comunicación interventricular (CIV)?,Perimembranosa.
¿Cómo se describe el soplo característico de una comunicación interventricular (CIV)?,"Soplo en barra (pansistólico), no irradiado y con frémito palpable."
¿En qué situación está contraindicado el cierre de una comunicación interventricular?,En pacientes con Síndrome de Eisenmenger.
¿Qué infección congénita se asocia frecuentemente con la persistencia del conducto arterioso (PCA)?,Rubéola.
¿Cómo se denomina el soplo característico de la persistencia del conducto arterioso?,Soplo en maquinaria de Gibson.
¿Hacia dónde se irradia típicamente el soplo de la persistencia del conducto arterioso?,Hacia la espalda o el cuello.
¿Cuál es el tratamiento farmacológico de elección para el PCA en recién nacidos prematuros?,Indometacina o Ibuprofeno.
¿Con qué síndrome genético se asocia frecuentemente la coartación de la aorta?,Síndrome de Turner.
