¿Cuál es el agente causal principal de la tuberculosis?,Complejo $Mycobacterium\ tuberculosis$
"Mencione tres especies, además de $M.\ tuberculosis$, que integran el complejo causante de la tuberculosis.","$M.\ bovis$, $M.\ microti$ y $M.\ africanum$"
¿Qué porcentaje de los casos de tuberculosis suelen ser de localización pulmonar?,84%
¿Cuáles son los tres estados de México con mayor afectación por tuberculosis?,"Baja California, Sinaloa y Sonora"
¿Cuál es la principal característica de tinción del bacilo de la tuberculosis?,Bacilo ácido-alcohol resistente (BAAR)
¿Cuánto tiempo suele tardar el inicio de la replicación de las micobacterias tras la inhalación de partículas?,De 14 a 21 días
¿Cuál es la comorbilidad asociada más frecuente en pacientes con tuberculosis en México?,Diabetes (20%)
¿Qué porcentaje de pacientes con tuberculosis en México presenta desnutrición como comorbilidad?,13%
¿Qué porcentaje de los contactos de un caso activo desarrollarán tuberculosis latente?,30-40%
¿Cuál es la forma más frecuente de tuberculosis extrapulmonar?,Adenitis tuberculosa (linfadenitis)
¿Cuál es el síntoma respiratorio cardinal de la tuberculosis pulmonar?,Tos productiva por más de 2 semanas
¿Cuál es el rango típico de pérdida de peso en un paciente con clínica de tuberculosis?,De 2 a 8 kg
¿Cuál es el signo clínico característico de tuberculosis en niños?,Falta de crecimiento
¿A cuántos microgramos equivale la carga infectante necesaria para desarrollar tuberculosis?,50 a 200 $\mu g$ inhalados
¿Cuál es la manifestación cutánea más frecuente de la tuberculosis?,Lupus vulgar
¿Con qué frecuencia se debe realizar la notificación de un caso de tuberculosis pulmonar?,Semanal
¿Con qué frecuencia se debe realizar la notificación de un caso de tuberculosis meníngea?,Inmediata
¿Qué hallazgo auscultatorio es típico del síndrome cavitario en tuberculosis?,Soplo anfórico
¿Qué hallazgo se espera a la percusión en un paciente con síndrome cavitario?,Matidez
¿Cuál es la principal causa de Fiebre de Origen Desconocido (FOD) según el material?,Tuberculosis
¿En qué porcentaje previene la vacuna BCG la tuberculosis pulmonar?,50%
