¿Cuál es el mecanismo fisiopatológico básico de la Enfermedad Pélvica Inflamatoria (EPI)?,Infección ascendente de gérmenes procedentes del cérvix.
¿Qué porcentaje de los casos de EPI se considera de etiología polimicrobiana?,75% de los casos.
Agente etiológico de la EPI que es el principal según la Guía de Práctica Clínica (GPC):,Neisseria gonorrhoeae.
Agente etiológico de la EPI más frecuente a nivel mundial:,Chlamydia trachomatis.
¿Qué patógeno se asocia a EPI en usuarias de DIU durante las primeras 3 semanas tras su colocación?,Actinomyces israelii.
Menciona dos asociaciones o secuelas reproductivas graves de la EPI:,Embarazos ectópicos e infertilidad.
¿Cuál es el factor protector mencionado para la Enfermedad Pélvica Inflamatoria?,Uso de anticonceptivos hormonales orales.
¿Qué síntoma clínico está presente en el 90% de las pacientes con EPI?,Dolor abdominal bajo.
¿Cuál es el 'dato pivote' durante el examen bimanual en una sospecha de EPI?,Dolor a la movilización cervical.
¿Qué hallazgo en la exploración física sugiere la presencia de un absceso en pacientes con EPI?,Presencia de una masa anexial.
"Según la clasificación de Monif, ¿qué caracteriza al Grado I?",EPI sin masa anexial ni datos de irritación peritoneal.
"Según la clasificación de Monif, ¿qué define al Grado II?","EPI con masa anexial o abscesos, con o sin signos de irritación peritoneal."
"Según la clasificación de Monif, ¿cuál es el hallazgo distintivo del Grado III?",Absceso tubo-ovárico roto o datos de irritación peritoneal generalizada.
¿Qué añade el Grado IV a la clasificación de Monif en EPI?,Datos de respuesta inflamatoria sistémica.
¿Cuál es el método diagnóstico de primera elección (imagen) para la EPI?,Ultrasonido transvaginal.
¿Cuál es el estándar de oro (Gold Standard) para el diagnóstico de EPI?,Laparoscopía.
¿En qué situación específica se indica realizar una laparoscopía en EPI?,En caso de duda diagnóstica para diferenciar de apendicitis o embarazo ectópico.
Prueba específica para confirmar Neisseria gonorrhoeae en pacientes con EPI:,Frotis con tinción de Gram.
Prueba específica para confirmar Chlamydia trachomatis en pacientes con EPI:,Inmunofluorescencia.
¿Qué marcadores inflamatorios inespecíficos se encuentran aumentados en la EPI?,Proteína C Reactiva (PCR) y Velocidad de Sedimentación Globular (VSG).
Tratamiento ambulatorio de elección para EPI leve o moderada según la disponibilidad en el sector salud:,Levofloxacino más Metronidazol.
¿En qué plazo se debe citar a una paciente con EPI ambulatoria para evaluar la respuesta al tratamiento?,A las 72 horas.
Menciona tres criterios absolutos para el tratamiento hospitalario de la EPI:,"Casos graves (Monif III-IV), embarazadas y falla al tratamiento ambulatorio."
Esquema de tratamiento hospitalario para EPI que utiliza Ceftriaxona:,Ceftriaxona 250 mg IM + Doxiciclina 100 mg c/12h + Metronidazol 400 mg c/12h.
¿Por cuánto tiempo se debe completar el tratamiento antibiótico total en EPI?,14 días.
Antibiótico alternativo en EPI hospitalaria en caso de alergia a cefalosporinas:,Azitromicina.
¿Cuál es el tiempo de incapacidad recomendado para una paciente con EPI leve a moderada?,De 3 a 5 días.
¿Cuál es la secuela más frecuente de la Enfermedad Pélvica Inflamatoria?,Dolor pélvico crónico.
"En una tinción de Gram para Gonorrea, ¿qué hallazgo se reporta específicamente?",Diplococos Gram negativos intracelulares.
Definición del Síndrome de Fitz-Hugh-Curtis:,Perihepatitis de la cara anterior derecha secundaria al ascenso de Chlamydia.
¿Cuál es el dato patognomónico visualizado en la laparoscopía del Síndrome de Fitz-Hugh-Curtis?,Adherencias perihepáticas en 'cuerda de violín'.
Tratamiento quirúrgico indicado para el Síndrome de Fitz-Hugh-Curtis:,Adhesiólisis laparoscópica.
¿Cuál es el Gold Standard diagnóstico para la Endocervicitis?,Pruebas de Amplificación de Ácidos Nucleicos (NAAT).
Tratamiento de dosis única para la infección por Chlamydia en endocervicitis:,Azitromicina 1 g vía oral.
¿Cuál es la causa número uno de vaginitis?,Vaginosis Bacteriana.
Agente etiológico principal de la Vaginosis Bacteriana:,Gardnerella vaginalis.
Características típicas de la leucorrea en la Vaginosis Bacteriana:,"Grisácea, con olor a pescado y sin prurito."
¿Cuál es el valor del pH vaginal en la Vaginosis Bacteriana?,pH > 4.5.
"En el diagnóstico de Vaginosis Bacteriana, ¿cuál es el dato más específico al microscopio?",Presencia de células clave (clue cells).
Menciona los cuatro criterios de Amsel para el diagnóstico de Vaginosis Bacteriana:,"pH > 4.5, olor a pescado (KOH+), células clave y leucorrea característica."
Tratamiento de elección para la Vaginosis Bacteriana:,Metronidazol 500 mg cada 12 horas por 7 días.
"Clasificación utilizada para evaluar la flora vaginal (Grados I, II y III):",Clasificación de Hay/Ison.
¿A qué grupo de pacientes con Vaginosis Bacteriana se les DEBE dar tratamiento aunque sean asintomáticas?,Mujeres embarazadas o pacientes que serán sometidas a procedimientos quirúrgicos.
¿Cuál es el manejo de la pareja sexual en casos de Vaginosis Bacteriana?,No se requiere tratar a la pareja.
Causa número uno de cervicovaginitis sintomática:,Candidiasis vaginal.
¿Qué patógeno causa el 90% de los casos de Candidiasis vaginal?,Candida albicans.
Descripción macroscópica clásica del flujo en la Candidiasis:,Blanquecino con grumos (aspecto de queso cottage).
¿Cuál es la principal característica clínica subjetiva de la Candidiasis vaginal?,Prurito vulvar intenso.
¿Cómo se encuentra el pH vaginal en una infección por Candida?,Normal (4.0 - 4.5).
Menciona tres factores de riesgo para Candidiasis vaginal recurrente:,"Diabetes mellitus, obesidad y uso de antibióticos de amplio espectro."
Estudio de elección inicial para confirmar Candidiasis vaginal:,Frotis en fresco (observación de levaduras o hifas).
Tratamiento local de primera línea para Candidiasis vaginal en pacientes gestantes:,Clotrimazol.
Tratamiento de primera línea para Candidiasis vaginal no complicada (vía oral):,Fluconazol dosis única.
¿Qué esquema de mantenimiento se recomienda para Candidiasis recurrente por C. glabrata?,Fluconazol 150 mg una vez por semana durante 6 meses.
¿Qué tipo de microorganismo es Trichomonas vaginalis?,Protozoo flagelado.
Única cervicovaginitis del grupo considerada estrictamente una Enfermedad de Transmisión Sexual (ETS):,Tricomoniasis.
Hallazgo colposcópico característico ('patognomónico') de la Tricomoniasis:,Eritema cervical o 'cérvix en fresa'.
Descripción del flujo vaginal en la Tricomoniasis:,"Amarillo-verdoso, espumoso y fétido."
Gold Standard para el diagnóstico de Tricomoniasis:,Cultivo vaginal en medio Diamond.
Manejo esencial respecto a los contactos sexuales en la Tricomoniasis:,Tratar a la paciente y a todas sus parejas de los últimos 6 meses.
Tratamiento de elección para Tricomoniasis (tanto en embarazadas como no embarazadas):,Metronidazol (2 g dosis única o 500 mg c/12h por 7 días).
¿Qué sospecha diagnóstica debe tenerse ante casos recurrentes de Tricomoniasis?,Infección por VIH.
Definición de Bartholinitis:,"Infección e inflamación de la glándula de Bartolino, en la cara interna del labio mayor."
¿En qué grupo de edad predomina la Bartholinitis?,Mujeres en edad reproductiva (20 a 40 años).
¿Cuál es la ubicación anatómica exacta de la tumefacción en la Bartholinitis?,Región posterior de los labios mayores.
Tratamiento inicial para un absceso de la glándula de Bartolino:,Incisión y drenaje.
Procedimiento quirúrgico indicado en Bartholinitis ante recurrencias:,Marsupialización.
¿Qué agentes infecciosos se asocian con mayor frecuencia a la Bartholinitis?,E. coli y Neisseria gonorrhoeae.
¿Cuál es la conducta recomendada ante una paciente con EPI que tiene un DIU colocado?,No se debe retirar el DIU.
Criterio de envío a segundo nivel en casos de cervicovaginitis:,Falla al tratamiento de primera línea o infecciones por especies distintas a C. albicans.
¿Qué efecto tienen los azoles tópicos sobre los métodos de barrera?,Dañan los condones y diafragmas de látex.
Características de la secreción vaginal normal:,"Inodora, clara, viscosa, pH < 4.5 y ausencia de neutrófilos."
¿Qué diagnóstico sugiere un dolor en cuadrante superior derecho irradiado a hombro con antecedente de EPI?,Síndrome de Fitz-Hugh-Curtis.
¿A qué glándulas invade la Trichomonas vaginalis en el 90% de los casos?,Glándulas parauretrales.
¿Cuál es el síntoma predominante de la Vaginosis Bacteriana?,Leucorrea fétida (olor a pescado).
"¿Qué otro microorganismo, además de los clásicos, puede causar Vaginosis Bacteriana?",Mycoplasma hominis.
¿Qué complicación obstétrica se asocia a la Vaginosis Bacteriana?,Parto prematuro y ruptura prematura de membranas.
Definición de Candidiasis recurrente:,Más de 4 episodios documentados por año.
Tratamiento de segunda línea para Vaginosis o Tricomoniasis en caso de falla o alternativa al Metronidazol:,Tinidazol.
Antibiótico indicado para pacientes con Vaginosis Bacteriana alérgicas al Metronidazol:,Clindamicina.
