¿Cuál es la causa número uno de muerte en la población de 1 a 44 años?,El trauma.
"En la población general, el trauma es la _____ causa de muerte después de enfermedades cardiovasculares y cáncer.",Tercera
¿Cuál es la causa principal de muerte en el grupo de 1 a 25 años en USA?,Armas de fuego.
¿Cuál es la causa número uno de muerte mundial en el grupo de 5 a 29 años?,Accidentes de tránsito.
¿Cuál es la causa más común de shock en el paciente con trauma?,Hemorragia (shock hemorrágico).
¿Cuál es la principal causa de muerte prevenible en el trauma de adultos?,Hemorragia.
¿Cuáles son las principales causas de discapacidad permanente a nivel mundial tras un trauma?,Lesión cerebral traumática (TCE) y lesión medular.
¿Cuál es la causa más común de muerte prevenible en niños con trauma?,Fallo en vía aérea o ventilación (hipoxia).
¿Cuál es el mecanismo de lesión número uno en pacientes geriátricos ($>65$ años)?,Caídas a nivel de piso.
Criterio de Triage (Signos vitales): ¿Qué puntaje en la Escala de Coma de Glasgow indica necesidad de traslado a centro de trauma?,$GCS \le 13$.
Criterio de Triage (Signos vitales): ¿Qué cifra de Presión Arterial Sistólica se considera crítica?,$< 90 mmHg$.
Criterio de Triage (Signos vitales): ¿Cuál es el rango de Frecuencia Respiratoria que indica prioridad?,$< 10$ o $> 29$ rpm.
"En menores de 1 año, una Frecuencia Respiratoria menor a _____ rpm es un criterio de triage.",20
Criterio de Triage (Anatomía): ¿A partir de qué localización se consideran críticas las lesiones penetrantes en extremidades?,Proximales al codo o rodilla.
Criterio de Triage (Anatomía): ¿A partir de qué localización una amputación se considera de alta prioridad?,Proximal a la muñeca o tobillo.
¿Qué significa la mnemotecnia S-XABCDE-BAR para el traspaso de pacientes?,"Situación, Exanguinación, revisión primaria (A-B-C-D-E), Background, Assessment, Recomendación."
¿Cuál es el principal cambio de la 11ava edición de ATLS en la revisión primaria?,El control de la hemorragia exanguinante externa (X) antes de la vía aérea.
"En el manejo de la vía aérea (A), ¿qué maniobra manual se prefiere si hay sospecha de lesión cervical?",Tracción mandibular (sin extensión del cuello).
¿Cuál es la meta de saturación de oxígeno ($SpO_2$) en la revisión primaria?,$> 95\%$.
"En la evaluación de la circulación (C), ¿cuáles son las 5 fuentes de hemorragia oculta?","Tórax, abdomen, pelvis, retroperitoneo y huesos largos."
¿Cuál es el bolo inicial de cristaloides isotónicos recomendado para un adulto en shock?,1 litro (tibio).
¿Cuál es la dosis de líquidos inicial para un paciente pediátrico en shock?,$20 ml/kg$.
¿A qué nivel anatómico se debe colocar la faja pélvica ante sospecha de fractura de pelvis?,A la altura de los trocánteres mayores.
"En la evaluación de déficit neurológico (D), ¿qué parámetro de la escala de Glasgow se relaciona más con el pronóstico?",La respuesta motora.
¿Cuál es el objetivo principal de la exposición y control del ambiente (E)?,Identificar todas las lesiones y prevenir la hipotermia.
¿Qué sugiere la presencia de Actividad Eléctrica Sin Pulso (AESP) en un paciente con trauma torácico?,Taponamiento cardíaco o neumotórax a tensión.
