¿Cómo se define la placenta previa?,Implantación placentaria que cubre parcial o totalmente el orificio cervical interno.
¿A qué distancia del orificio cervical interno (OCI) se encuentra una placenta de inserción baja?,A menos de 2 cm del OCI sin llegar a cubrirlo.
¿Cuál es la distancia normal entre la placenta y el orificio cervical interno?,A más de 2 cm por encima del OCI.
¿Cuál es el factor de riesgo más importante para el desarrollo de placenta previa?,Fertilización in vitro.
¿Cuál es el factor de riesgo más característico para presentar placenta previa?,Cesáreas previas.
Describa el color del sangrado característico en la placenta previa.,Rojo rutilante.
¿Cómo suele ser el inicio del sangrado en una paciente con placenta previa?,Lento e insidioso.
¿La placenta previa se presenta con dolor abdominal?,"No, es una hemorragia indolora."
¿Cómo se encuentra el tono uterino en una paciente con placenta previa?,Sin cambios (tono normal).
¿Cuál es el estudio diagnóstico inicial ante la sospecha de placenta previa?,Especuloscopía más exploración física.
¿Cuál es el método diagnóstico de elección para placenta previa?,Ultrasonido transvaginal.
¿Qué maniobra exploratoria está contraindicada en sospecha de placenta previa?,Tacto vaginal.
¿En qué semana de gestación se realiza el tamizaje de placenta previa mediante USG abdominal?,Semana 20.
¿En qué semana de gestación se debe confirmar el diagnóstico definitivo de placenta previa?,Semana 32.
¿Cuándo se programa el parto en una paciente con placenta previa sin episodios de sangrado?,Entre las semanas 36 y 37.
¿En qué momento se programa la cesárea si la paciente con placenta previa tuvo un episodio de sangrado previo?,Entre las semanas 34 y 36.
¿Cuál es la indicación de cesárea basada en la distancia de la placenta al OCI?,Cuando la distancia es menor a 10 mm.
¿Cuál es el manejo inicial de una paciente con sangrado por placenta previa menor a 34 SDG y estable?,"ABCDE, estabilización y esquema de maduración pulmonar."
Mencione el esquema de administración de Betametasona para maduración pulmonar.,12 mg cada 24 horas por 2 días.
Mencione el esquema de administración de Dexametasona para maduración pulmonar.,6 mg cada 12 horas por 2 días.
¿Qué define al acretismo placentario?,Invasión de la placenta al miometrio debido a una extensión anormal del trofoblasto.
¿Qué porcentaje de pacientes con placenta previa presentan también acretismo placentario?,10%.
¿Cuál es la principal causa de sangrado en el tercer periodo del trabajo de parto?,Acretismo placentario.
¿Cuál es la profundidad de invasión en la placenta acreta?,Alcanza el miometrio sin invadirlo profundamente (75% de los casos).
¿Qué caracteriza a la placenta increta?,Invade directamente el miometrio (17% de los casos).
¿Qué caracteriza a la placenta percreta?,Penetra el miometrio y puede alcanzar órganos vecinos (5% de los casos).
¿Qué síntoma clínico sugiere invasión vesical en una placenta percreta?,Hematuria.
¿Qué síntoma clínico sugiere invasión rectal en una placenta percreta?,Rectorragia.
¿Cuál es la sospecha clínica típica de acretismo durante el parto?,Dificultad para la expulsión de la placenta o sangrado abundante post-expulsión.
¿Cuál es el estudio de elección para el diagnóstico de acretismo placentario?,Ultrasonido Doppler.
"En el contexto de acretismo, ¿a qué se refiere el hallazgo de 'queso Gruyere' en el USG?",Presencia de espacios vasculares lacunares en el parénquima placentario.
¿Cuál es el tratamiento de elección para el acretismo placentario programado?,Cesárea clásica más histerectomía entre las semanas 34 y 36.
¿Cuál es el manejo recomendado para la placenta durante la cesárea por acretismo?,Dejar la placenta in situ y evitar intentar separarla de las paredes uterinas.
¿Qué es el desprendimiento prematuro de placenta normoinserta (DPPNI)?,Separación prematura de la placenta de su sitio de implantación antes del nacimiento.
¿Cuál es el principal factor de riesgo para presentar un abruptio placentario (DPPNI)?,Estados hipertensivos del embarazo (preeclampsia).
¿Cuál es la causa número uno de coagulación intravascular diseminada (CID) en el embarazo?,Desprendimiento prematuro de placenta normoinserta (DPPNI).
Describa el color del sangrado en el DPPNI.,Rojo oscuro.
¿Qué hallazgo en el tono uterino es característico del DPPNI?,Hipertonía uterina.
"Según la clasificación de Page, ¿qué porcentaje de desprendimiento define a la Clase II (Moderada)?",25 - 50%.
¿Qué nivel de desprendimiento en la clasificación de Page se asocia con choque grado IV y óbito fetal?,"Clase III (Severa), con desprendimiento mayor al 50%."
¿Cuál es el hallazgo ultrasonográfico característico del DPPNI?,Hematoma retroplacentario.
¿Cuál es el tratamiento de elección definitivo para el DPPNI con feto vivo?,Cesárea urgente.
¿En qué caso se puede valorar el parto vaginal ante un DPPNI?,Cuando existe muerte fetal y la madre está estable.
¿Qué es el útero de Couvelaire?,Extravasación de sangre hacia la musculatura uterina y debajo de la serosa por DPPNI.
¿Qué maniobra quirúrgica se debe realizar ante un útero de Couvelaire?,Histerectomía más cesárea.
¿Cómo se define la ruptura uterina?,Desgarro del miometrio con o sin exposición de partes fetales.
¿Cuál es el antecedente quirúrgico más relacionado con la ruptura uterina?,Dehiscencia de cicatriz uterina (dos o más cesáreas previas).
Mencione los tres elementos de la tríada clásica de ruptura uterina.,"Dolor abdominal súbito, sangrado transvaginal y anomalías en la FCF."
¿Qué hallazgo a la exploración física es indicativo de ruptura uterina completa?,Palpación de partes fetales y pérdida de la presentación fetal.
¿Cuál es el diagnóstico confirmatorio de la ruptura uterina?,Laparotomía.
¿Cuál es el manejo inicial y definitivo de la ruptura uterina?,Estabilización (ABCDE) seguida de laparotomía urgente con cesárea inmediata.
¿Qué es la vasa previa?,Vasos sanguíneos fetales que cruzan el orificio cervical interno sin protección de placenta o cordón.
¿Cuál es el factor de riesgo principal para vasa previa?,Inserción velamentosa del cordón umbilical.
¿En qué momento ocurre típicamente el sangrado en la vasa previa?,Al momento de la ruptura de membranas (amniorrexis).
"En la vasa previa, ¿cómo se encuentra el estado hemodinámico materno frente al fetal durante el sangrado?",Madre estable (sin dolor) y feto en alto riesgo (sufrimiento fetal súbito).
¿Cuál es el método para confirmar el diagnóstico de vasa previa entre las semanas 30 y 34?,Ultrasonido Doppler.
¿Cuál es el tratamiento de urgencia ante una hemorragia activa por vasa previa?,Cesárea urgente.
¿Qué patología hemorrágica del tercer trimestre se asocia con el uso de cocaína?,Desprendimiento prematuro de placenta normoinserta (DPPNI).
¿Qué diferencia el dolor entre el DPPNI y la placenta previa?,"El DPPNI presenta dolor intenso, mientras que la placenta previa es indolora."
"La presencia de polisistolia ayuda a diferenciar el DPPNI de la ruptura uterina, ¿en cuál está ausente?",En la ruptura uterina.
¿Cuál es la mortalidad fetal estimada en casos de vasa previa?,75%.
