¿Qué hallazgo clínico define la interrupción del tránsito intestinal en el abdomen agudo obstructivo?,La incapacidad de expulsar gases y heces por el recto.
¿Cuál es la causa principal de obstrucción de intestino delgado en pacientes con antecedentes de cirugía previa?,Bridas o adherencias postquirúrgicas.
"En ausencia de antecedentes quirúrgicos, ¿cuál es la etiología más frecuente de la obstrucción de intestino delgado?",Hernias.
¿Qué tipo de ruidos peristálticos son característicos de una obstrucción intestinal mecánica?,Ruidos metálicos (hiperperistaltismo).
¿Cómo se clasifica el contenido del vómito en una obstrucción intestinal proximal?,Gastroalimentario.
¿Qué característica presenta el vómito cuando la obstrucción de intestino delgado es de localización distal?,Vómito fecaloide.
"Ante la presencia de fiebre, dolor continuo y rigidez muscular en una obstrucción intestinal, ¿qué complicación se debe sospechar?",Estrangulación intestinal.
¿Cuál es el estudio de imagen inicial para el diagnóstico de obstrucción intestinal?,Radiografía de abdomen AP en bipedestación.
¿A partir de qué diámetro se considera que existe dilatación de las asas de intestino delgado en una radiografía?,$> 3\ cm$.
¿Qué nombre recibe el signo radiológico de asas delgadas dispuestas una sobre otra en la obstrucción intestinal?,Imagen en pila de monedas.
¿Qué hallazgo en la radiografía de abdomen indica la presencia de aire y líquido atrapados en las asas intestinales?,Niveles hidroaéreos.
¿Cuál es el estándar de oro (gold standard) para el diagnóstico de la obstrucción intestinal?,Tomografía Axial Computarizada (TAC).
¿Cuál es el primer paso en el tratamiento de una obstrucción intestinal mecánica no complicada?,Colocación de sonda nasogástrica (SNG) y reposición hidroelectrolítica.
¿Cuál es el período máximo recomendado para mantener el manejo conservador en una oclusión por adherencias antes de considerar cirugía?,De 48 a 72 horas.
¿Cuál es la causa más frecuente de obstrucción en el intestino grueso?,Cáncer (tumores colorrectales).
¿En qué región anatómica se localiza con mayor frecuencia el cáncer que causa obstrucción colónica?,Recto-sigmoides.
¿Cuál es el sitio con mayor riesgo de perforación en una obstrucción de colon con válvula ileocecal competente?,El ciego.
¿Qué hallazgo a la exploración física es indicativo de gran distensión gaseosa en la obstrucción de colon?,Timpanismo abdominal.
¿Cómo suele ser la instauración de la obstrucción intestinal debida a un proceso neoplásico?,De forma lenta e insidiosa.
¿Cuál es el volumen de drenaje por sonda nasogástrica que se considera un predictor de falla al tratamiento conservador?,$> 500\ ml$.
¿Qué nivel de Proteína C Reactiva (PCR) sugiere la necesidad de intervención quirúrgica en una oclusión intestinal?,$> 75\ mg/L$ (o $UI/L$ según fuente).
¿Qué valor de Creatina Fosfoquinasa (CPK) se asocia a un fallo en el manejo médico de la obstrucción?,$> 130\ UI/L$.
¿Cuál es el nombre técnico de la intervención quirúrgica para liberar adherencias intestinales?,Adhesiolisis.
¿Qué es un vólvulo de sigmoides?,La torsión axial del sigmoides sobre su pedículo vascular.
¿Qué porcentaje de los vólvulos colónicos corresponden a la localización sigmoidea?,75%.
¿Cuál es la causa principal de obstrucción intestinal durante el embarazo?,Vólvulo de sigmoides.
Mencione dos factores de riesgo para el desarrollo de vólvulo de sigmoides relacionados con el estilo de vida o edad.,Edad mayor de 60 años y estreñimiento crónico.
¿Qué enfermedad infecciosa crónica se asocia frecuentemente con el desarrollo de megacolon y vólvulo de sigmoides?,Enfermedad de Chagas.
¿Qué signo clínico se caracteriza por palpar una fosa ilíaca derecha vacía en el vólvulo?,Signo de Dance.
¿Cuál es el hallazgo radiológico más frecuente (90%) en un vólvulo de sigmoides?,Ausencia de gas rectal.
¿Cuál es el signo radiológico más sensible para el diagnóstico de vólvulo de sigmoides?,Imagen en grano de café.
¿Qué signo se observa en el enema de bario ante un vólvulo de sigmoides?,Signo del as de espadas (o pico de pájaro).
¿Qué hallazgo es patognomónico del vólvulo de sigmoides en una TAC?,Signo del remolino (o grano de café).
¿Cuál es el tratamiento inicial de elección para un paciente estable con vólvulo de sigmoides?,Colonoscopía descompresiva (destorsión endoscópica).
"Tras una descompresión exitosa de vólvulo de sigmoides, ¿qué porcentaje de recidiva se espera?",30%.
¿Cuál es la cirugía de urgencia indicada en un paciente inestable con vólvulo de sigmoides?,Procedimiento de Hartmann.
¿En qué consiste el vólvulo de ciego?,En la torsión del ciego sobre el eje mesentérico.
¿Cuál es el perfil epidemiológico típico del vólvulo de ciego?,Mujeres de edad media con antecedentes de cirugías previas.
¿Qué patrón radiológico se observa característicamente en el vólvulo de ciego?,Asa desproporcionadamente dilatada más un patrón de oclusión de intestino delgado distal.
¿Cuál es el tratamiento quirúrgico de elección para el vólvulo de ciego?,Hemicolectomía derecha con anastomosis primaria.
"En pacientes con vólvulo de ciego y alto riesgo quirúrgico, ¿qué alternativa quirúrgica se puede realizar?",Cecopexia.
"Ante un hombre de 25-40 años con vómito gastroalimentario y cicatrices abdominales, ¿cuál es el diagnóstico más probable?",Obstrucción de intestino delgado por bridas.
"Ante un paciente masculino mayor de 60 años con pérdida de peso y estreñimiento crónico, ¿cuál es la sospecha principal de obstrucción?",Cáncer colorrectal.
¿Qué grupo de pacientes institucionalizados presenta un riesgo aumentado de vólvulos de colon?,"Pacientes con enfermedades neuropsiquiátricas (ej. Parkinson, retraso mental) o inmovilidad prolongada."
¿Qué indicación quirúrgica absoluta existe si un paciente presenta edema del mesenterio y líquido intraperitoneal en la TAC?,Falla al tratamiento conservador o sospecha de compromiso vascular.
¿Qué condición clínica se sospecha en una mujer de 25-40 años con vómito fecaloide y antecedentes obstétricos?,Vólvulo del ciego.
"La tríada clínica clásica de la obstrucción intestinal incluye dolor abdominal, distensión y _____.",Vómitos.
¿Qué complicación mecánica debe descartarse ante una hernia con dolor intenso y cambios de coloración cutánea?,Hernia estrangulada.
¿Cuál es el manejo definitivo programado tras una descompresión endoscópica exitosa de sigmoides?,Resección de sigmoides y anastomosis primaria (cirugía electiva).
"En el contexto de obstrucción intestinal, ¿cuándo se considera que el íleo meconial es un criterio quirúrgico?",Cuando persiste por más de 3 días.
El signo de la 'U' invertida en una radiografía de abdomen es característico de _____.,Vólvulo de sigmoides.
¿Cuál es el tratamiento definitivo mencionado para el vólvulo de sigmoides?,Megasigmoidoplastía.
¿Qué porcentaje de los casos de vólvulo corresponden al vólvulo de ciego?,20%.
¿Cuál es la principal causa de obstrucción de colon en pacientes con enfermedad inflamatoria intestinal (EII)?,Estenosis o inflamación aguda (aunque el cáncer sigue siendo la causa general más común).
"En la exploración física de un vólvulo, ¿qué porcentaje de pacientes presenta hipersensibilidad abdominal?",81%.
