¿Cómo se define el 'crecimiento' en pediatría?,Es el aumento de peso y talla debido a hipertrofia e hiperplasia celular.
¿Qué término describe el perfeccionamiento y maduración de las funciones en el niño?,Desarrollo
"En la clasificación por edad, ¿qué periodo comprende el 'lactante menor'?",De 1 a 12 meses de edad.
¿A qué edad se considera que un niño deja de ser preescolar para ser escolar?,A los 6 años.
¿Cuál es la hormona principal que modula el crecimiento durante la vida intrauterina?,Insulina
¿Qué hormonas son fundamentales para el crecimiento desde el nacimiento hasta la etapa preescolar?,Hormonas tiroideas
"En la etapa escolar, la hormona que predomina en la modulación del crecimiento es la _____.",Hormona del crecimiento
¿Cuáles son las 4 áreas que evalúa el Test de Denver?,"Motor grueso, motor fino, aspectos personales (social/emocional) y lenguaje."
"En niños prematuros, ¿hasta qué edad se debe restar el tiempo de prematuridad al evaluar el desarrollo?",Hasta los 2 años.
Dato de alarma a los 3 meses: No fijar la mirada es sugerente de _____.,Daño neurológico
¿Qué implica un resultado 'Rojo' en la Prueba de Evaluación del Desarrollo Infantil (EDI)?,Riesgo de retraso en el desarrollo y necesidad de referir a segundo nivel.
¿A qué edades es obligatoria la aplicación de la prueba EDI en México?,"1, 6, 18 y 30 meses."
¿En qué mes de vida el lactante suele levantar la cabeza en posición prona y presentar sonrisa social?,A los 2 meses.
¿A qué edad se espera que un niño logre la sedestación por sí solo (sentarse solo)?,Entre los 6 y 8 meses.
¿A qué edad aparece típicamente la 'pinza fina' y el inicio de la bipedestación?,A los 9-10 meses.
¿Cuántas palabras (además de mamá y papá) se espera que use un niño de 12 meses?,2 palabras.
¿A qué edad se espera que un niño sea capaz de pedalear un triciclo?,A los 3 años.
¿Cuántos cubos debe ser capaz de apilar un niño de 2 años en una torre?,6 cubos.
¿A qué edad desaparece normalmente el reflejo de Moro?,A los 6 meses.
¿En qué rango de edad desaparece el reflejo de prensión palmar?,A los 3-4 meses.
La desaparición de los reflejos arcaicos se asocia fisiológicamente a la _____.,Madurez cortical
¿Cuántas consultas médicas se recomiendan para un neonato (menor de 30 días)?,2 consultas.
¿Con qué frecuencia se deben realizar las consultas de seguimiento en niños de 1 a 4 años?,Cada 6 meses.
¿Qué cantidad de Vitamina D se debe administrar a un lactante de 0 a 6 meses?,400 UI.
¿En qué semanas de vida se debe realizar la primera evaluación del reflejo pupilar?,Semana 1 y 4.
¿A qué edad se espera que la dentición esté completa?,A los 2 años.
¿En qué mes cierra típicamente la fontanela anterior?,A los 18 meses.
¿En qué rango de meses ocurre el cierre de la fontanela posterior?,Entre los 4 y 5 meses.
¿Cuál es la recomendación de tiempo frente a pantallas para niños menores de dos años?,Cero pantallas.
¿A partir de qué edad se inicia la desparasitación rutinaria?,A partir de los 2 años.
¿Hasta qué mes se recomienda la lactancia materna exclusiva?,Hasta los 6 meses.
¿Qué porcentaje de la ingesta calórica debe representar la lactancia materna a los 2 años de edad?,50%.
¿Qué inmunoglobulina es característica del calostro (secretado los primeros 5 días)?,IgA
La leche materna madura se establece a partir de los _____ días postparto.,15 días.
¿Cuál es la principal causa de abandono de la lactancia materna?,Falta de producción láctea.
"Para disminuir la regurgitación, un niño hipotónico debe alimentarse en posición _____.",Cruzada o de balón de futbol.
¿Cuál es la regla de oro sobre el acercamiento durante la lactancia?,El bebé alcanza el pecho y no el pecho al bebé.
