¿Qué patología dermatológica se define por la hipopigmentación de la piel asociada a componentes autoinmunes?,Vitíligo
Menciona tres patologías autoinmunes asociadas frecuentemente al vitíligo.,"Anemia perniciosa, diabetes tipo 1 y tiroiditis."
Descripción morfológica de las lesiones típicas del vitíligo.,Lesiones hipopigmentarias (acrómicas) rodeadas de un anillo hipercrómico.
¿En qué zonas faciales suele ubicarse preferentemente el vitíligo?,"Ojos, boca y narinas."
¿En qué zonas extrafaciales suele ubicarse preferentemente el vitíligo?,"Manos, pies, superficies flexoras y genitales."
Definición de vitíligo localizado.,Afectación de un solo segmento corporal.
¿Qué porcentaje de superficie corporal define al vitíligo diseminado?,Menos del $75\%$.
Definición de vitíligo generalizado.,Afectación de más del $75\%$ de la superficie corporal.
Tratamiento de primera línea para el vitíligo localizado.,Esteroides tópicos e inhibidores de calcineurina.
Tratamiento de elección para el vitíligo generalizado.,Láser Excimer.
¿De qué tipo de cáncer tienen mayor riesgo los pacientes con vitíligo?,Melanoma.
¿Cuál es el trastorno despigmentario más común en dermatología?,Vitíligo.
¿A qué grupo de edad afecta principalmente la rosácea?,Personas de mediana edad.
¿Cuál es la característica clínica cardinal de la rosácea?,"Rubor o flushing en la región facial (periocular, nasal, malar)."
Menciona dos microorganismos asociados a la etiología de la rosácea.,$Demodex\ folliculorum$ y $H.\ pylori$.
¿Qué lesiones elementales provocan el rubor en la rosácea?,"Pápulas, pústulas y telangiectasias."
Menciona dos trastornos oftálmicos que pueden aparecer en la rosácea crónica.,Blefaritis y conjuntivitis.
Concepto: Rinofima.,Engrosamiento y deformidad de la nariz como dato pivote de rosácea crónica.
Tratamiento tópico de elección para la rosácea.,Metronidazol tópico o ácido azelaico.
Fármaco oral utilizado en casos severos de rosácea.,Isotretinoína.
¿Qué estructura celular se ve afectada en el pénfigo vulgar?,Los desmosomas.
¿Qué estructura celular se ve afectada en el penfigoide bulloso?,Los hemidesmosomas.
¿Qué tipo de reacción de hipersensibilidad e inmunoglobulina median el pénfigo vulgar?,Hipersensibilidad tipo 2 mediada por $IgG$.
Características de las ampollas en el pénfigo vulgar.,Ampollas flácidas.
Características de las ampollas en el penfigoide bulloso.,Ampollas tensas.
¿Cuál es la diferencia de afectación de la mucosa oral entre pénfigo vulgar y penfigoide bulloso?,"El pénfigo vulgar afecta la mucosa oral, mientras que el penfigoide bulloso no."
¿Cuál es el resultado del signo de Nikolsky en el pénfigo vulgar?,Positivo.
¿Cuál es el resultado del signo de Nikolsky en el penfigoide bulloso?,Negativo.
Estándar de oro para el diagnóstico de patologías ampollosas como el pénfigo.,Biopsia con inmunofluorescencia.
Tratamiento sistémico de elección para el pénfigo vulgar.,Esteroides sistémicos (Prednisona).
Mecanismo patogénico de la psoriasis.,Proliferación excesiva de queratinocitos (hiperqueratosis) que aumenta el grosor epidérmico.
¿Qué subpoblación de linfocitos se propone como causante del ataque en la psoriasis?,Linfocitos $Th1$.
Menciona tres alelos $HLA$ asociados a una mayor incidencia de psoriasis.,"$HLA-Cw6$, $HLA-B12$ y $HLA-Bw57$."
¿Qué porcentaje de herencia de la psoriasis se atribuye al gen $PSORS1$?,Entre el $35\%$ y el $50\%$.
¿Qué porcentaje de pacientes con psoriasis desarrolla artritis psoriásica?,Al menos un $30\%$.
Menciona tres fármacos asociados con la exacerbación de la psoriasis.,"Litio, beta-bloqueadores y $AINES$."
Localización clásica de las lesiones en la psoriasis vulgar.,"Áreas extensoras (codos, rodillas, glúteos)."
Descripción de las placas en la psoriasis vulgar.,Placas eritematosas con descamación plateada y bordes bien definidos.
¿Qué tipo de psoriasis se caracteriza por brotes de pequeñas pápulas tras una infección faríngea estreptocócica?,Psoriasis en gota (guttata).
Características clínicas de la psoriasis pustular.,"Múltiples pústulas superficiales que tienden a coalescer, acompañadas de fiebre."
¿Qué áreas corporales se ven afectadas en la psoriasis inversa?,"Áreas flexoras (axilar, inguinal, submamario, genitales)."
Definición de eritrodermia psoriásica.,Afectación de más del $90\%$ de la superficie corporal con predominio de eritema.
Hallazgos clínicos típicos de la psoriasis ungueal.,Onicodistrofia con hiperqueratosis distal y manchas en 'aceite'.
Concepto: Fenómeno de Koebner.,Aparición de lesiones psoriásicas en zonas de traumatismo cutáneo.
Concepto: Signo de Auspitz.,Aparición de pequeñas gotas de sangre tras el levantamiento de la escama (rocío sangriento).
¿Qué es el Halo de Woronoff?,Anillo de hipocromía que rodea a una placa de psoriasis.
¿En qué consiste el raspado metódico de Brocq?,Raspar la superficie de la lesión con un objeto romo para observar signos clínicos.
Tratamiento tópico inicial recomendado (inducción) para psoriasis.,Combinación de análogos de Vitamina $D3$ + esteroides (Clobetasol) + retinoide tópico.
Tratamiento sistémico oral de primera línea para psoriasis.,Ciclosporina o Metotrexato.
Tratamiento de elección para psoriasis en pacientes embarazadas.,Tratamiento tópico únicamente.
¿Qué debe descartarse antes de iniciar tratamiento sistémico biológico en psoriasis?,Tuberculosis latente o activa.
¿Cuáles son las características de las escamas en la dermatitis seborreica?,Escamas grasas de color amarillo-grisáceo sobre placas de eritema.
Menciona los dos hongos asociados a la dermatitis seborreica.,$Cándida$ y $Malassezia$.
Epidemiología de la dermatitis seborreica infantil.,Se presenta en los primeros 3 meses de vida y suele resolverse al año.
Zonas de predilección de la dermatitis seborreica.,"Áreas ricas en glándulas sebáceas (cuero cabelludo, cara, pliegues retroauriculares)."
¿Qué prueba diagnóstica se utiliza en adultos para confirmar dermatitis seborreica?,Prueba de cinta e hidróxido de potasio ($KOH$).
Antifúngico tópico de elección para dermatitis seborreica.,Ketoconazol al $2\%$.
¿Qué agente queratolítico se recomienda para la dermatitis seborreica en cuero cabelludo?,Ácido salicílico.
Agentes etiológicos de la pitiriasis versicolor.,$Malassezia\ furfur$ o $M.\ globosa$.
Factores ambientales que predisponen a la pitiriasis versicolor.,Calor y humedad.
¿Cuál es la variante clínica más frecuente de la pitiriasis versicolor?,Lesiones hipocrómicas.
Concepto: Signo de la uñada.,Desprendimiento de una escama fina tras el rascado de la lesión en pitiriasis versicolor.
Tratamiento de elección para casos extensos o recurrentes de pitiriasis versicolor.,Ketoconazol oral ($200\ mg$ por 10 días).
¿Qué color de fluorescencia emite la pitiriasis versicolor bajo la lámpara de Wood?,Amarillo-anaranjado.
Descripción de la imagen microscópica clásica en $KOH$ para pitiriasis versicolor.,Hifas cortas no septadas y esporas (imagen de 'espagueti y albóndigas').
Etiología propuesta para la pitiriasis rosada de Gilbert.,"Idiopática, frecuentemente asociada al virus herpes simple 6 ($VHS-6$)."
Descripción de la lesión inicial en la pitiriasis rosada de Gilbert.,"Medallón heráldico de $3$-$6\ cm$, circular, color asalmonado o hiperpigmentado."
Patrón de distribución secundaria característico de la pitiriasis rosada.,Signo de 'árbol de Navidad' en el tronco.
¿Cuál es la duración promedio de la pitiriasis rosada de Gilbert?,Se autolimita en $4$-$8$ semanas.
Menciona tres grupos de fármacos asociados frecuentemente al Síndrome de Stevens-Johnson ($SSJ$).,"Sulfas, antiepilépticos y alopurinol."
Definición de Síndrome de Stevens-Johnson según la extensión de superficie corporal.,Desprendimiento epidérmico en menos del $10\%$ de la superficie corporal.
Definición de Necrólisis Epidérmica Tóxica ($NET$) según la extensión de superficie corporal.,Desprendimiento epidérmico en más del $30\%$ de la superficie corporal.
¿Cuál es el rango de superficie corporal para la transición $SSJ$-$NET$?,Entre el $10\%$ y el $30\%$.
Resultado del signo de Nikolsky en $SSJ$ y $NET$.,Positivo.
Tratamiento farmacológico de elección (fines ENARM) para $SSJ$/$NET$.,Inmunoglobulina intravenosa y enoxaparina.
¿Cuál es el manejo de los esteroides en el tratamiento del $SSJ$/$NET$?,Están contraindicados.
¿Qué mortalidad se asocia a la Necrólisis Epidérmica Tóxica?,Mayor al $30\%$.
Menciona tres factores de riesgo para desarrollar $NET$.,"Edad avanzada, infección por $VIH$ y $HLA-B12$."
Hallazgo patognomónico del eritema multiforme.,Lesiones en diana (o en blanco de tiro).
Infección viral más comúnmente relacionada con el eritema multiforme.,Herpes simple.
Descripción clínica de las pápulas en el liquen plano.,"Pápulas planas, poligonales, rojo-violáceas y muy pruriginosas."
Localización típica del liquen plano.,"Cara flexora de muñecas, antebrazos, tobillos y región lumbosacra."
¿Cómo se manifiestan las lesiones de liquen plano en las mucosas?,Lesiones reticuladas blanquecinas (Estrías de Wickham).
¿Qué porcentaje de pacientes con liquen plano presenta afectación en mucosas?,Entre el $60\%$ y el $70\%$.
¿Cuál es el tratamiento inicial para la psoriasis ungueal?,Se sigue el esquema general de tratamiento tópico o sistémico según la gravedad.
