¿Qué es la diverticulosis?,La presencia de divertículos en el colon sin manifestaciones clínicas (asintomáticos).
¿Cómo se define la enfermedad diverticular?,La aparición de signos y síntomas secundarios a la presencia de diverticulosis.
¿Qué caracteriza a la diverticulitis?,La presencia de datos de inflamación e infección en los divertículos.
¿En qué segmento del colon se localiza el $95\%$ de los divertículos?,En el colon sigmoides.
¿Qué porcentaje de los pacientes con diverticulosis desarrollará diverticulitis?,Entre el $10\%$ y el $20\%$.
¿Cuál es el principal factor de riesgo para el desarrollo de diverticulosis?,El estreñimiento crónico.
¿Cuál es la prevalencia de la patología diverticular en personas mayores de $80$ años?,El $65\%$.
¿Cuál es la causa más frecuente de sangrado de tubo digestivo bajo en mayores de $60$ años?,La patología diverticular.
"En pacientes con diverticulosis, ¿qué tipo de dieta se recomienda como medida preventiva?",Dieta rica en fibra ($20-35\text{ g/día}$) y baja en grasas y carne roja.
¿Qué fármacos se asocian frecuentemente con el sangrado en la enfermedad diverticular?,Aspirina (ASA) y antiinflamatorios no esteroideos (AINES).
¿Cuál es la localización típica del dolor crónico en la enfermedad diverticular?,Fosa ilíaca izquierda.
¿Qué hallazgo hematológico inusual se menciona asociado a la enfermedad diverticular crónica?,Leucopenia.
"¿Cuál es el estudio de imagen ideal para la enfermedad diverticular, aunque actualmente esté en desuso?",Enema opaco.
"Si la enfermedad diverticular se asocia a colitis, ¿qué estudio debe realizarse para descartar otras entidades?",Colonoscopía.
¿Cuál es la dosis y esquema de la rifaximina en el tratamiento de la enfermedad diverticular?,"$400\text{ mg}$ cada $12$ horas por $7$ días, una vez al mes."
"Si no hay mejoría con rifaximina, ¿qué fármacos se pueden agregar al tratamiento?",Mesalazina ($5$-ASA) más probióticos.
¿A qué edad promedio suele aparecer la diverticulitis?,A los $62$ años.
¿Qué término clínico se utiliza para describir la diverticulitis debido a su similitud diagnóstica?,Apendicitis izquierda.
¿Cuál es el síntoma sistémico que diferencia a la diverticulitis de la diverticulosis?,La presencia de fiebre.
¿Qué porcentaje de pacientes con diverticulitis en fase aguda presenta hemorragia?,El $25\%$.
¿Cuál es el estudio de elección para el diagnóstico de diverticulitis?,Tomografía Axial Computarizada (TAC) de abdomen y pelvis.
¿Qué valor de Proteína C Reactiva (PCR) es sugestivo de diverticulitis?,Mayor a $50\text{ mg/L}$.
¿Por qué están contraindicados el enema opaco y la colonoscopía en la fase aguda de la diverticulitis?,Por el elevado riesgo de perforación colónica.
Mencione tres complicaciones posibles de la diverticulitis.,"Abscesos, peritonitis, fístulas u obstrucción."
¿A qué corresponde el Estadio $0$ de la clasificación de Hinchey?,Diverticulitis leve.
¿A qué corresponde el Estadio $Ia$ de la clasificación de Hinchey?,Inflamación pericólica y flemón.
¿A qué corresponde el Estadio $Ib$ de la clasificación de Hinchey?,Absceso menor a $5\text{ cm}$ en la proximidad del proceso inflamatorio primario.
¿A qué corresponde el Estadio $II$ de la clasificación de Hinchey?,"Absceso intraabdominal, pélvico o retroperitoneal distante al sitio primario."
¿A qué corresponde el Estadio $III$ de la clasificación de Hinchey?,Peritonitis purulenta generalizada.
¿A qué corresponde el Estadio $IV$ de la clasificación de Hinchey?,Peritonitis fecal.
¿Cuál es el manejo inicial para un Hinchey Estadio $0$?,"Manejo conservador y ambulatorio con reposo intestinal, líquidos y fibra."
¿Cuál es el esquema antibiótico de elección para el manejo hospitalario de la diverticulitis?,Ciprofloxacino o Ceftriaxona más Metronidazol por $7$ a $10$ días.
¿Cuál es la indicación de primera elección para abscesos mayores a $5\text{ cm}$ (Estadio $II$)?,Drenaje percutáneo.
¿Cuál es el tratamiento quirúrgico para los Estadios $III$ y $IV$ de Hinchey?,"Laparotomía exploratoria con resección del segmento afectado, anastomosis primaria e ileostomía derivativa."
¿Qué técnica quirúrgica electiva se prefiere para la diverticulitis complicada?,Sigmoidectomía laparoscópica.
¿Cuál es el estatus actual del procedimiento de Hartmann en el tratamiento de la diverticulitis?,Se encuentra actualmente en desuso.
"Fisiopatológicamente, ¿por qué se forman los divertículos?",Por un aumento de la presión intraluminal sumado a una debilidad de la musculatura colónica.
¿Cuánto tiempo se debe esperar para realizar una cirugía electiva tras un episodio de diverticulitis controlada?,De $6$ a $8$ semanas.
"En el contexto de diverticulosis, existe un aumento de la actividad _____ y una disminución de la actividad no colinérgica.",colinérgica
¿A partir de qué volumen de pérdida hemática se hace presente la melena?,Mayor a $100\text{ ml}$.
¿Qué patología debe descartarse primero en un paciente joven con sangrado de tubo digestivo bajo y anemia?,Patología diverticular.
Concepto: Flemón (en Hinchey $Ia$),Masa de tejido blando inflamado sin una cavidad de pus definida.
¿Qué hallazgo en la exploración física sugiere irritación peritoneal en diverticulitis?,Resistencia o dolor a la descompresión en la fosa ilíaca izquierda.
"El $95\%$ de los _____ afectan al colon sigmoides, al igual que los divertículos.",vólvulos
¿Qué porcentaje de personas mayores de $45$ años padece diverticulosis?,El $35\%$.
"En la enfermedad diverticular, no debe haber datos de _____, a diferencia de la diverticulitis.",SRIS (Síndrome de Respuesta Inflamatoria Sistémica)
¿Cuál es la función del consumo alto de fibra en relación con la diverticulosis?,Actúa como un factor protector.
"Si no se dispone de TAC para evaluar una diverticulitis, ¿cuál es el estudio de imagen alternativo?",Ultrasonografía (USG).
"La tríada clínica clásica de la diverticulitis incluye dolor en FII, fiebre y _____.",leucocitosis
¿Qué síntoma gastrointestinal puede acompañar a la colitis asociada a divertículos?,Diarrea y rectorragia.
