¿Qué hallazgo clínico es característico del cáncer de endometrio en estadios tempranos?,"Sangrado transvaginal con aspecto de ""agua de lavar carne"" y crecimiento uterino."
¿Cuál es la tríada clínica sugerente de cáncer de ovario en etapas avanzadas?,"Distensión o dolor abdominal, masa en flancos y presencia de ascitis."
"En el cáncer cervicouterino, el sangrado en ""agua de lavar carne"" y la leucorrea fétida suelen presentarse en estadios _____.",Tardíos
¿Cuál es el estímulo hormonal principal que condiciona la hiperplasia endometrial?,Un estímulo mantenido de estrógenos sin oposición de progestágenos.
¿Por qué la hiperplasia endometrial se presenta frecuentemente en los extremos de la vida reproductiva?,Debido a la presencia de ciclos de oligoovulación.
Mencione tres factores de riesgo para hiperplasia endometrial asociados a hiperestrogenismo sostenido.,"SOP (Síndrome de Ovario Poliquístico), nuliparidad e infertilidad."
¿A partir de qué edad se considera un factor de riesgo para el desarrollo de patología endometrial?,Mayor a 45 años.
¿Qué fármaco modulador de los receptores de estrógeno se asocia con un mayor riesgo de hiperplasia y cáncer de endometrio?,Tamoxifeno
¿Cuál es el factor de progresión a malignidad más importante en la hiperplasia endometrial?,La presencia de atipias celulares.
Concepto: Hiperplasia simple,"Definición: Tipo de hiperplasia endometrial más frecuente, con un riesgo de malignización del 1-5%."
¿Cuál es el riesgo de malignización de una hiperplasia endometrial compleja con atipia?,Aproximadamente del 29-30%.
¿Cuánto tiempo de uso de anticonceptivos orales combinados se requiere para considerarse un factor protector contra patología endometrial?,Más de un año de uso continuo.
¿Qué dispositivo intrauterino actúa como factor protector para la hiperplasia endometrial?,DIU de levonorgestrel (DIU-LNG).
¿Cuál es el síntoma clínico más común de la hiperplasia endometrial?,Hemorragia intermenstrual.
¿Cuál es el estudio inicial para valorar el grosor endometrial en pacientes con sospecha de hiperplasia?,Ultrasonido (USG) transvaginal.
¿Cuál es el punto de corte del grosor endometrial por USG para solicitar biopsia en una mujer premenopáusica?,Grosor de 12 mm o más.
¿Cuál es el punto de corte del grosor endometrial por USG para solicitar biopsia en una mujer postmenopáusica?,Grosor de 5 mm o más.
¿Cuál es el estándar de oro para el diagnóstico de hiperplasia endometrial?,Biopsia endometrial con estudio histopatológico.
¿Qué alternativa técnica existe para la toma de biopsia endometrial además de la cánula de Pipelle?,AMEU (Aspiración Manual Endouterina).
¿En qué tipo de hiperplasia endometrial está indicado el tratamiento farmacológico con progestágenos?,En la hiperplasia sin atipia.
¿Cuál es la indicación de tratamiento quirúrgico (histerectomía) en la hiperplasia endometrial?,Presencia de hiperplasia con atipia o falla al tratamiento médico.
¿Cuál es la estirpe histológica más frecuente del cáncer de endometrio?,Adenocarcinoma endometrioide.
¿Cuál es el lugar que ocupa el cáncer de endometrio entre los cánceres ginecológicos en México?,Tercer lugar.
"¿Qué síndrome genético se asocia con un mayor riesgo hereditario de cáncer de endometrio, ovario y colorrectal?",Síndrome de Lynch.
¿Qué factor de riesgo metabólico es crítico para el cáncer de endometrio cuando el peso es mayor a 90 kg?,Obesidad
"A diferencia del tamoxifeno, el _____ no se asocia al desarrollo de cáncer de endometrio.",Raloxifeno
El factor protector contra el cáncer de endometrio que suele ser contraproducente para otros sistemas es el _____.,Tabaquismo
Concepto: Cáncer de endometrio Tipo I,"Definición: Neoplasia estrógeno-dependiente, asociada a obesidad e hiperplasia, de estirpe endometrioide y mejor pronóstico."
Concepto: Cáncer de endometrio Tipo II,"Definición: Neoplasia estrógeno-independiente, agresiva, en pacientes delgadas de mayor edad, con invasión miometrial profunda."
¿Qué estirpes histológicas se asocian al cáncer de endometrio Tipo II?,Carcinoma seroso y de células claras.
¿Cuál es el síntoma más común del cáncer de endometrio en la postmenopausia?,Sangrado uterino anormal (80% de los casos).
¿Para qué se utiliza el marcador CA 125 en el cáncer de endometrio?,Para monitorizar la respuesta clínica en casos de metástasis extrauterina.
¿Qué porcentaje de citologías vaginales resultan anormales en pacientes con cáncer de endometrio?,Aproximadamente el 50%.
¿En qué consiste la cirugía estadificadora estándar para cáncer de endometrio?,"LAPE, lavado peritoneal, histerectomía extrafascial, salpingooforectomía bilateral y linfadenectomía pélvica y paraaórtica."
¿En qué casos de cáncer de endometrio se debe realizar omentectomía y toma de biopsias de cúpula diafragmática?,"En estirpes de células claras, serosa-papilar o indiferenciados."
FIGO Endometrio: ¿Qué define el Estadio IA?,Invasión del miometrio menor al 50%.
FIGO Endometrio: ¿Qué define el Estadio IB?,Invasión del miometrio igual o mayor al 50%.
FIGO Endometrio: ¿Qué define el Estadio II?,Invasión del estroma cervical.
"¿Cuál es el tratamiento adyuvante para un Estadio IA, Grado 3 (G3) de cáncer de endometrio?",Radioterapia
¿Qué medicamentos se utilizan en el tratamiento paliativo (quimioterapia) del cáncer de endometrio Estadio IV?,Doxorrubicina y Cisplatino.
¿Cuál es la principal causa de muerte por cáncer ginecológico?,Cáncer de ovario.
¿Qué porcentaje de los casos de cáncer de ovario se diagnostican en estadio IV?,El 75%.
¿Cuál es la teoría etiológica principal para el cáncer de ovario epitelial?,Microtraumatismo secundario a la ovulación.
¿Qué mutaciones genéticas incrementan significativamente el riesgo de cáncer de ovario?,Mutaciones en los genes BRCA1 y BRCA2.
¿Cuál es el tipo histológico más común de cáncer de ovario?,Tumores epiteliales (60-85%).
"Dentro de los tumores epiteliales de ovario, el tipo más frecuente es el _____.",Seroso
Concepto: Cáncer de ovario mucinoso,"Definición: Tumor muy grande y multiloculado, asociado a pseudomixoma peritoneal y elevación de CA 19-9 o ACE."
¿Qué hallazgo histológico en un tumor seroso de ovario indica que es bien diferenciado y tiene buen pronóstico?,Cuerpos de Psamoma.
¿A qué hallazgo físico se asocia el cáncer de ovario con diseminación linfática umbilical?,Nódulo de la Hermana María José.
¿Cuál es el estudio de imagen inicial para el diagnóstico de cáncer de ovario?,Ultrasonido transvaginal con Doppler.
¿Cuál es el marcador tumoral clásico para el seguimiento de tumores epiteliales de ovario?, CA 125 
