¿Qué procesos patológicos afectan el parénquima pulmonar de forma difusa en las neumonías intersticiales?,Inflamación y fibrosis intersticial.
¿Cuáles son los fármacos comúnmente asociados al desarrollo de neumonía intersticial?,Nitrofurantoína y sulfas.
¿Cuál es el síntoma respiratorio paroxístico característico de las neumonías intersticiales?,Tos paroxística no productiva.
¿Qué patrón se observa típicamente en la espirometría de un paciente con enfermedad pulmonar intersticial?,Patrón restrictivo.
¿Qué hallazgos citológicos caracterizan el remodelado en las neumonías intersticiales?,Fibrosis e hiperplasia de las células epiteliales.
¿Cuál es la dosis inicial recomendada de prednisona para el tratamiento de neumonías intersticiales?,$20-40$ mg.
¿Qué fármaco se añade al tratamiento cuando existe enfermedad pulmonar intersticial extensa?,Hidroxicloroquina.
¿Qué sustancia sustituye al tejido pulmonar funcional en la fisiopatología de las neumoconiosis?,Colágeno.
¿Qué porcentaje de las enfermedades ocupacionales en el país representan las neumoconiosis?,$10\%$.
¿Cuál es el estudio confirmatorio de elección para las neumoconiosis?,Biopsia con broncoscopía.
¿Qué tipo de polvo mineral causa la bisinosis?,Polvo de algodón.
¿En qué sector industrial es más prevalente la bisinosis?,Industria del vestido o textil.
¿Qué término clínico describe el empeoramiento de los síntomas de la bisinosis el primer día después del descanso?,Opresión torácica del lunes.
¿Qué patología respiratoria produce el tabaquismo cuando se asocia a la bisinosis?,Bronquitis crónica.
¿Qué otras fibras vegetales pueden causar síndromes similares a la bisinosis pero más leves?,"Lino, cáñamo y yute."
¿Qué agente etiológico específico causa la silicosis?,Sílice cristalina (dióxido de silicio).
¿Cuál es el tamaño en micras de las partículas de sílice con mayor capacidad de generar daño?,$0.5-5$ micras.
¿Qué hallazgo radiológico clásico se observa en las adenopatías hiliares de la silicosis?,Calcificaciones en cáscara de huevo.
¿Qué complicación infecciosa es la más frecuente en pacientes con silicosis?,Infección por tuberculosis.
¿Por qué están contraindicados los esteroides en el tratamiento de la silicosis?,Por la predisposición aumentada a desarrollar tuberculosis.
¿A qué enfermedades reumatológicas se asocia frecuentemente la silicosis?,Esclerodermia y artritis reumatoide.
¿Cuál es el periodo de latencia típico de la asbestosis tras una exposición prolongada?,$10-20$ años.
¿En qué región pulmonar se localizan predominantemente los crepitantes y las opacidades en la asbestosis?,Zona basal y lateral.
¿Cuál es el Gold Standard para el diagnóstico de asbestosis?,Biopsia (detección de fibras de asbesto en macrófagos).
¿Cuál es la principal neoplasia maligna asociada a la exposición por asbesto?,Mesotelioma.
¿Qué otro nombre recibe la neumoconiosis de los mineros de carbón?,Antracosis.
¿Qué síndrome se define por la asociación de nódulos pulmonares y artritis reumatoide en mineros de carbón?,Síndrome de Caplan.
¿Cuál es el hallazgo característico en la biopsia pulmonar de un paciente con antracosis?,Gránulos negros en el parénquima pulmonar.
¿Qué tipo de granulomas caracterizan histológicamente a la sarcoidosis?,Granulomas no caseificantes.
¿Cuál es el grupo epidemiológico más afectado por la sarcoidosis?,Mujeres entre $20-40$ años.
¿Qué tipo de linfocito es el responsable de la formación de granulomas en la sarcoidosis?,Linfocitos $LT-CD4$.
¿Qué hallazgo radiológico hiliar es típico en la sarcoidosis?,Adenopatía hiliar bilateral.
¿Qué sustancia se acumula de forma anormal en los alvéolos en la proteinosis alveolar?,Constituyentes del surfactante.
¿Qué proceso autoinmunitario subyace a la mayoría de los casos de proteinosis alveolar?,Anticuerpos contra el factor estimulante de colonias de monocito-macrófagos.
¿Cómo se reporta la tinción del líquido de lavado broncoalveolar en la proteinosis alveolar?,PAS positivo ($PAS+$).
¿Cuál es el tratamiento de elección para los casos graves de proteinosis alveolar?,Lavado pulmonar completo.
¿Qué volumen de líquido se considera normal en el espacio pleural?,$10-15$ ml.
¿Cuál es la causa número uno de derrame pleural según la estadística presentada?,Enfermedades infecciosas ($52.2\%$).
¿Qué hallazgo físico en la percusión sugiere la presencia de derrame pleural?,Matidez.
¿Cuál es el estudio de imagen de primera elección ante la sospecha de derrame pleural?,Radiografía de tórax (AP y lateral).
¿Qué volumen mínimo de líquido pleural suele causar el borramiento del ángulo costo-diafragmático?,$50-75$ ml.
¿Qué signo radiológico se forma cuando el líquido pleural comienza a ascender por las paredes laterales?,Signo del menisco.
¿A partir de qué volumen se observa el borramiento de los ángulos cardiofrénico y costodiafragmático?,$> 200$ ml.
¿En qué dirección se desplaza el mediastino en un derrame pleural masivo?,Hacia el lado opuesto al derrame.
¿Qué criterios se utilizan para diferenciar entre un exudado y un trasudado pleural?,Criterios de Light.
¿Cuál es el punto de corte de la relación proteínas pleural/suero para clasificar un exudado?,$> 0.5$.
¿Cuál es el punto de corte de la relación $LDH$ pleural/suero para clasificar un exudado?,$> 0.6$.
¿Qué valor de $LDH$ en líquido pleural comparado con el límite superior plasmático define un exudado?,$> 2/3$ del límite superior normal.
¿Qué patologías sistémicas suelen causar trasudados pleurales?,"Insuficiencia cardíaca, cirrosis hepática e hipoalbuminemia."
¿Qué valor de Adenosina Desaminasa ($ADA$) es indicativo de tuberculosis pleural?,$> 35$ U/L.
¿Qué volumen total de líquido pleural se recomienda extraer en una toracocentesis diagnóstica?,$50$ ml.
¿Qué cantidad de líquido pleural debe enviarse específicamente a bacteriología?,$5$ ml.
¿Cuál es el tratamiento antibiótico de primera elección para el derrame paraneumónico?,Penicilina con inhibidor de $\beta$-lactamasas o cefalosporinas de 3ra generación.
¿Qué nivel de $pH$ pleural indica la necesidad de drenaje torácico?,$< 7.2$.
¿Qué nivel de glucosa en líquido pleural es criterio para colocar una sonda de drenaje?,$< 60$ mg/dL.
¿Qué valor de $LDH$ pleural en un derrame tabicado obliga al uso de drenaje torácico?,$> 1000$ U/L.
¿Cuándo está indicado realizar una toracocentesis terapéutica?,En pacientes con disnea moderada/severa o derrame masivo.
¿Cuál es la función biológica de la Alfa-1-Antitripsina?,Inhibir la elastasa de los neutrófilos.
¿Qué dos órganos se ven principalmente afectados por la deficiencia de Alfa-1-Antitripsina?,Pulmones (enfisema/EPOC) e hígado (cirrosis).
¿En qué grupo de edad se debe sospechar inicialmente la deficiencia de Alfa-1-Antitripsina?,Pacientes menores de $45$ años con datos de EPOC.
¿Cuál es el rango de valores normales de Alfa-1-Antitripsina en suero?,$80-220$ mg/dL.
¿Qué hallazgo en la radiografía de tórax es característico de la proteinosis alveolar?,Consolidación bilateral y perihiliar.
¿Qué complicación pulmonar se asocia a los trabajadores de la industria automotriz y demoledores?,Asbestosis.
¿Qué trabajadores presentan mayor riesgo de desarrollar silicosis?,"Mineros, cortadores de piedra y sopladores de cristal."
"En la espirometría de un paciente con bisinosis, el patrón esperado es de tipo _____.",Restrictivo.
El gradiente sérico pleural de albúmina en un trasudado es _____ a $1.2$.,Mayor ($>$).
El colesterol en el líquido pleural es mayor a $43$ mg/dL en el caso de un _____.,Exudado.
"La tríada clínica del derrame pleural incluye disnea, dolor pleurítico y _____.",Tos seca.
"Para el diagnóstico de mesotelioma, el principal factor de riesgo es la exposición a _____.",Asbesto.
¿Qué tamaño de sonda ($Fr$) se recomienda para el drenaje de colecciones pleurales?,$10-14$ Fr.
¿En qué etapa de la inspiración son más audibles los crepitantes de la proteinosis alveolar?,Teleinspiratorios (al final de la inspiración).
¿Qué tratamiento quirúrgico se indica si no hay expansión pulmonar tras el drenaje de un empiema?,Toracotomía.
La relación $LDH$ pleural/suero menor a _____ es característica de un trasudado.,$0.6$.
¿Qué antibióticos se deben iniciar si se sospecha de $S. aureus$ meticilino resistente en un derrame pleural?,Vancomicina o Linezolid.
¿Por qué los aminoglucósidos no están indicados en el tratamiento del derrame pleural?,Debido a su escasa penetración pleural.
