¿Cuál es el protozoo entérico más frecuente en el ser humano y los animales domésticos?,Giardia lamblia
¿Cuál es la cantidad mínima de quistes de Giardia lamblia necesarios para causar una infección?,10 quistes
¿Cuál es el síntoma más frecuente en un paciente con giardiasis?,Dolor abdominal
"En la giardiasis crónica, ¿a qué síndrome clínico se asocian frecuentemente los cuadros enterales?",Síndrome de malabsorción intestinal
¿Qué deficiencias vitamínicas son características en la infección por Giardia lamblia?,"Vitaminas A, D, E y K"
¿Cuál es el estudio diagnóstico de elección para identificar Giardia lamblia?,Coproparasitoscópico en serie de 3
¿Qué estudio diagnóstico se debe realizar en giardiasis si el coproparasitoscópico resulta negativo?,Antígeno fecal
¿Cuál es el tratamiento de primera elección para la giardiasis?,Metronidazol
¿Qué complicación visual específica se puede presentar en niños con giardiasis?,"Lesión en retina ""en sal y pimienta"""
¿Qué condición secundaria debe vigilarse durante 2 a 3 semanas después del tratamiento de la giardiasis?,Intolerancia a la lactosa
"En el contexto de la amebiasis, ¿cuál es la forma infectante del parásito?",Quiste
"En el ciclo de Entamoeba histolytica, ¿cuál es la forma invasora?",Trofozoíto
¿Cuál es la segunda causa de muerte por enfermedad parasitaria en el mundo?,Amebiasis
¿Qué mediador inmunológico hace que la población mexicana sea más susceptible al absceso hepático amebiano?,HLA-DR3
¿Cómo se denominan los tumores en el ciego producidos por Entamoeba histolytica?,Amebomas
¿Cuál es el estándar de oro para el diagnóstico de amebiasis?,PCR (Reacción en Cadena de la Polimerasa)
¿Qué tipo de fármaco se debe administrar en pacientes portadores asintomáticos de Entamoeba histolytica?,Amebicida luminal
¿Cuál es el helminto que causa la infección más frecuente a nivel mundial?,Ascaris lumbricoides
"En la ascariasis, ¿en qué órgano se albergan las larvas antes de ser deglutidas hacia la bucofaringe?",Alvéolos pulmonares
¿Qué síndrome se caracteriza por neumonitis con eosinofilia progresiva tras la ingesta de huevos de Ascaris?,Síndrome de Löffler
¿Cuál es el hallazgo radiológico típico en el Síndrome de Löffler?,Infiltrados alveolares bilaterales migratorios
¿Cuál es el tratamiento de elección para Ascaris lumbricoides?,Albendazol
¿Qué fármaco es la opción de tratamiento para ascariasis en pacientes embarazadas?,Pamoato de pirantel
¿Cuál es el hospedero intermediario de Taenia solium?,El cerdo
¿Cuál es el hospedero intermediario de Taenia saginata?,El ganado vacuno
¿Qué estructura parasitaria aparece en las heces permitiendo el diagnóstico de teniasis?,Proglótides
¿Cómo se adquiere específicamente la cisticercosis por Taenia solium?,Ingesta de huevos en heces humanas
¿Cuál es el principal estado de México afectado por la cisticercosis según el material?,Sonora
¿Qué hallazgo es característico en la TAC de un paciente con neurocisticercosis?,Lesiones con realce de contraste en anillo
¿Cuál es el esquema de tratamiento farmacológico para la neurocisticercosis?,Albendazol por 7 a 14 días
¿Para qué se utilizan los esteroides en el tratamiento de la neurocisticercosis?,Para evitar crisis convulsivas por la respuesta inflamatoria.
¿Cuál es el síntoma clínico patognomónico de la enterobiasis (oxiuriasis)?,Prurito de predominio vespertino o nocturno en región perianal
¿En qué consiste el Test de Graham para el diagnóstico de Enterobius vermicularis?,Uso de cinta de celofán en la región perianal antes de levantarse.
¿Qué hábito común en niños es un factor de riesgo para la oxiuriasis?,Succión del pulgar
¿Cuál es el vector transmisor de Wuchereria bancrofti?,Mosquito Culex quinquefasciatus
¿En qué horario es máxima la concentración sanguínea de microfilarias de Wuchereria bancrofti?,De 10 PM a 2 AM
¿Qué manifestación crónica grave produce la obstrucción linfática por filariasis?,Elefantiasis
¿Cuál es el mecanismo de transmisión de Strongyloides stercoralis?,Penetración de larvas filariformes a través de la piel.
¿Cómo se describe la lesión cutánea característica de la estrongiloidosis?,Infección serpiginosa con migración rápida
¿Cuál es el método diagnóstico más sensible para Strongyloides stercoralis?,Siembra de heces en placa de agar
¿Cuál es el tratamiento de elección para la estrongiloidosis?,Ivermectina
¿Cuál es el céstodo más frecuente y de menor tamaño que infecta al ser humano?,Hymenolepis nana
¿Qué animal actúa frecuentemente como reservorio de Hymenolepis nana?,Roedores
¿Cuál es el tratamiento de primera opción para la himenolepiasis?,Praziquantel
¿Qué tipo de reacción de hipersensibilidad media el prurito severo en la escabiosis?,Hipersensibilidad retardada tipo IV
¿En qué época del año es más frecuente la infestación por Sarcoptes scabiei?,Invierno
¿Qué áreas del cuerpo suele respetar la escabiosis clásica?,"Cabeza, cuello y pies"
¿Qué nombre reciben las líneas de pápulas en hombros y detrás de las rodillas en la escabiosis?,Líneas de Hebra
¿Cuál es el tratamiento tópico de elección para Sarcoptes scabiei?,Permetrina en crema al 5%
¿Cuánto tiempo puede sobrevivir el ácaro Sarcoptes scabiei fuera del cuerpo humano?,72 horas
"En pacientes con SIDA, ¿qué forma clínica grave de escabiosis se presenta?",Escabiosis noruega
¿Cuál es el síntoma más frecuente de la giardiasis que suele preguntarse en exámenes médicos?,Dolor abdominal
Un paciente con prurito anal nocturno y bruxismo probablemente está infectado por _____.,Enterobius vermicularis
La dosis estándar de albendazol para el tratamiento de ascariasis es de _____ mg en dosis única.,400 mg
"La triada de tos seca, disnea e infiltrados pulmonares migratorios por parásitos se conoce como _____.",Síndrome de Löffler
