¿Qué porcentaje de mujeres embarazadas padece enfermedad periodontal?,El 30% de las pacientes.
La enfermedad periodontal durante el embarazo se asocia principalmente a parto pretérmino y _____.,Ruptura prematura de membranas (RPM)
¿Cuál es la concentración recomendada del enjuague bucal con clorhexidina para la salud bucal prenatal?,Al 0.12%.
"Para evitar la compresión de la vena cava en el sillón dental, se debe elevar la cadera derecha de la paciente entre _____ cm.",10 a 12 cm
¿En qué posición inclinada debe colocarse la paciente en el sillón dental si no se eleva la cadera derecha?,Sobre el lado izquierdo de 5 a 15 grados.
¿En qué consulta se debe determinar obligatoriamente el grupo sanguíneo y el factor Rh?,En la primera consulta de control prenatal.
¿Qué prueba se solicita si una paciente embarazada tiene un grupo Rh negativo?,Test de Coombs indirecto.
La prueba que detecta anticuerpos circulantes contra eritrocitos en la madre se denomina Test de _____.,Coombs Indirecto
¿Qué detecta el Test de Coombs directo realizado en el neonato?,Anticuerpos fijados a eritrocitos hemolizados.
"Si una paciente Rh negativo recibe su primera dosis de inmunoglobulina en el primer trimestre, ¿cuándo debe recibir la segunda?",A las 28 semanas de gestación.
"Si la primera dosis de inmunoglobulina anti-D se administra entre las semanas 13 y 20, ¿cuándo se aplica la segunda?",A las 34 semanas de gestación.
¿Cuál es el tiempo límite para administrar la inmunoglobulina anti-D tras el parto si la madre es Rh negativa?,Dentro de las primeras 72 horas postparto.
"Ante una paciente embarazada Rh negativo con pareja Rh positivo y Coombs indirecto positivo, ¿cuál es la conducta a seguir?",Referir a segundo nivel para recibir tratamiento por sensibilización.
¿Qué tipo de inmunoglobulina media la incompatibilidad al Rh y es capaz de atravesar la placenta?,La inmunoglobulina G (IgG).
"La incompatibilidad del grupo ABO está mediada por la inmunoglobulina _____, la cual no atraviesa la placenta.",IgM
¿Cuál es la dosis estándar de inmunoglobulina humana anti-D para neutralizar hasta 30 ml de sangre fetal?,300 μ g (1500 UI).
¿Qué dosis de inmunoglobulina anti-D se recomienda en sangrados ocurridos antes de las 12 semanas de gestación?,150 μ g (750 UI).
¿Cuál es la cantidad mínima de sangre fetal necesaria para causar sensibilización materna?,0.1 ml.
¿Cuál es el periodo de tiempo en que puede presentarse la depresión posparto?,Desde el parto hasta los 12 meses del nacimiento.
"En México, la prevalencia de la depresión prenatal y posparto oscila entre el _____.",9% y el 13%.
¿Cuál es el estándar de oro para el diagnóstico de depresión en el embarazo?,Entrevista diagnóstica con criterios del DSM-V.
¿Con qué escala se realiza el tamizaje de depresión posparto?,Escala de Edimburgo.
¿A partir de cuántos puntos en la Escala de Edimburgo se debe iniciar tratamiento cognitivo-conductual?,Más de 10 puntos.
El tratamiento de primera línea para la depresión prenatal es la _____.,Terapia cognitivo-conductual
¿Cuáles son los dos antidepresivos de elección si falla el tratamiento no farmacológico en la depresión posparto?,Sertralina o paroxetina.
¿Qué categoría de riesgo se le asigna al uso de paroxetina durante el embarazo?,Riesgo D.
¿Cuál es el principal agente bacteriano causante de infecciones de vías urinarias en el embarazo?,Escherichia coli.
¿Qué estudio es la elección para el tamizaje obligatorio de bacteriuria asintomática en la primera consulta?,Urocultivo.
Tratamiento de primera elección para infecciones de vías urinarias bajas en el embarazo:,Fosfomicina 3 g en dosis única.
¿Cuál es el esquema de administración de nitrofurantoína para el tratamiento de IVU bajas?,100 mg cada 12 horas por 5 días.
¿En qué trimestres del embarazo se debe evitar el uso de nitrofurantoína?,En el primero y el tercer trimestre.
Se define bacteriuria asintomática como la presencia de bacterias en orina mayor a _____ UFC.,"100,000 UFC"
¿En qué porcentaje incrementa la bacteriuria asintomática el riesgo de pielonefritis?,En un 20% a 30%.
¿Por qué la bacteriuria asintomática aumenta el riesgo de parto pretérmino?,"Por el aumento de ácido araquidónico, fosfolipasa A2 y prostaglandinas."
"Durante el primer trimestre, el aumento de la _____ puede causar un falso hipertiroidismo.",Gonadotropina coriónica humana (hCG)
¿Cuál es el fármaco de elección para tratar la enfermedad de Graves en el primer trimestre?,Propiltiouracilo.
¿Qué fármaco se utiliza para la enfermedad de Graves después del primer trimestre?,Metimazol (o Carbimazol).
"Si una paciente con Graves requiere tiroidectomía, ¿en qué trimestre se debe realizar preferentemente?",En el segundo trimestre.
¿Qué complicación fetal puede resultar del uso excesivo de tionamidas por parte de la madre?,Hipotiroidismo fetal o defectos congénitos.
"En mujeres con hipotiroidismo que desean embarazarse, se debe mantener una TSH menor a _____.",2.5 mUI/L
¿A partir de qué valor de TSH se considera hipotiroidismo clínico independientemente de los niveles de T4L?,Mayor a 10 mUI/L.
Se define hipotiroidismo subclínico en el embarazo como una TSH mayor a 2.5 mUI/L con presencia de anticuerpos _____.,Anti-TPO positivos
¿Cuál es la dosis inicial recomendada de levotiroxina durante el embarazo?,1.2 μ g/kg/día.
¿En qué porcentaje se debe aumentar la dosis de levotiroxina en una paciente con hipotiroidismo preexistente al embarazarse?,Entre un 25% y un 30%.
¿Cuál es la meta de TSH durante el primer trimestre del embarazo?,0.1 a 2.5 mUI/L.
¿Cuál es la meta de TSH durante el segundo trimestre del embarazo?,0.2 a 3.0 mUI/L.
¿A partir de qué semana de gestación se realiza el registro cardiotocográfico en embarazos de riesgo?,A partir de la semana 28.
¿Cuál es el rango normal de la frecuencia cardíaca fetal (FCF)?,Entre 120 y 160 latidos por minuto.
¿Qué condición materna se asocia frecuentemente con bradicardia fetal?,Hipoglucemia materna.
"En el registro cardiotocográfico, las desaceleraciones que ocurren simultáneamente con la contracción se llaman _____.",DIP I (o tempranas)
¿Qué significan las desaceleraciones tipo DIP II (o tardías)?,Que las desaceleraciones no corresponden temporalmente con la contracción.
¿Cuál es el rango de variabilidad normal en un registro cardiotocográfico?,Entre 10 y 25 latidos.
Un registro cardiotocográfico se considera positivo si presenta más del _____ de DIP II en 10 contracciones.,30%
¿Cuál es el marcador ecográfico de mayor importancia para la detección de cromosomopatías en el primer trimestre?,Translucencia nucal.
¿Qué prueba de tamizaje sérico compone el 'Duo Test' del primer trimestre?,bhCG y PAPP-A.
¿Cuál es el marcador más sensible para cromosomopatías en el segundo trimestre?,Hipoplasia nasal.
Periodo de gestación recomendado para realizar una biopsia corial:,Semana 9 a 13 de gestación.
Periodo de gestación indicado para realizar una amniocentesis según la GPC:,Semana 16 a 20 de gestación.
¿A partir de qué semana de gestación se puede realizar una cordocentesis?,A partir de la semana 20.
Mencione una causa no estrogénica de trombosis durante el embarazo:,Disminución de la actividad fibrinolítica.
"¿Qué sustancias, además de la insulina y la heparina, no atraviesan la placenta?",Inmunoglobulina M (IgM).
¿Cuál es la complicación neonatal más importante en hijos de madres con lupus y anticuerpos Anti-Ro/Anti-La?,Bloqueo auriculoventricular (AV).
