¿Cuál es el mecanismo de acción de las tetraciclinas?,Bloquean la síntesis de proteínas uniéndose a la subunidad $30S$ ribosomal.
Mencione tres efectos secundarios importantes de las tetraciclinas.,"Efecto disulfiram, neutropenia y neuropatía periférica."
¿Cómo inhiben la síntesis proteica los aminoglucósidos?,Se unen a la subunidad $30S$ ribosomal.
¿Cuáles son los dos efectos adversos más característicos de los aminoglucósidos?,Nefrotoxicidad y ototoxicidad.
Verdadero o Falso: Los aminoglucósidos deben emplearse habitualmente en monoterapia.,Falso; no se deben emplear en monoterapia.
¿Cuál es el mecanismo de acción de los macrólidos (ej. Eritromicina)?,Bloquean la síntesis de proteínas uniéndose a la subunidad $50S$ ribosomal.
¿Qué efectos secundarios se asocian al uso de macrólidos?,Diplopía y hepatotoxicidad.
¿Cuál es el principal efecto secundario de las lincosamidas como la clindamicina?,Colitis por $C. difficile$.
El síndrome del niño gris y la anemia aplásica son efectos secundarios de _____.,Cloranfenicol
¿Cómo actúan las fluoroquinolonas en las bacterias Gram negativas?,Inhiben la síntesis de ácidos nucleicos mediante el bloqueo de la girasa.
¿Qué estructuras anatómicas pueden verse afectadas gravemente por el uso de fluoroquinolonas?,Los tendones (riesgo de tendinitis y ruptura de tendones).
¿Qué alteración en el electrocardiograma pueden causar las fluoroquinolonas?,Prolongación del intervalo $QT$.
¿Cuál es el mecanismo de acción de los glucopéptidos como la vancomicina?,Inhiben la incorporación de mureína al peptidoglicano de la pared celular.
Concepto: Síndrome de hombre rojo,Definición: Reacción adversa característica de los glucopéptidos (vancomicina) por infusión rápida.
¿Cuál es el mecanismo de acción de los nitroimidazoles (ej. Metronidazol)?,Efecto citotóxico mediado por la formación de radicales libres.
¿Cómo interfieren las sulfamidas en el metabolismo bacteriano?,Interfieren en la síntesis de ácido fólico.
Mencione una complicación cutánea grave asociada a las sulfamidas.,Síndrome de Stevens-Johnson.
¿Cuáles son los criterios de temperatura para el Síndrome de Respuesta Inflamatoria Sistémica (SRIS)?,"$>38 \, ^{\circ}C$ o $<36 \, ^{\circ}C$."
¿Qué valor de frecuencia respiratoria ($FR$) se requiere para cumplir un criterio de SRIS?,"$FR > 20 \, rpm$."
¿Qué niveles de leucocitos definen un criterio de SRIS?,"$>12,000$ o $<4,000$."
¿Cómo se define la Sepsis según el material?,Presencia de SRIS más la sospecha de un foco infeccioso.
¿Qué diferencia a la Sepsis Grave de la Sepsis convencional?,La Sepsis Grave incluye disfunción orgánica o anormalidades de la perfusión.
