¿Cuál es el mecanismo fisiopatológico del Reflujo Gastroesofágico (RGE) funcional?,Se debe a una relajación transitoria del esfínter esofágico inferior.
¿Cuál es la tríada de síntomas característicos del RGE funcional?,"Regurgitación, irritabilidad y, ocasionalmente, vómito."
"En el RGE funcional, los pacientes presentan regurgitación sin presentar falla de medro ni _____.",manifestaciones extraesofágicas
¿A qué edad se presenta el pico máximo de incidencia del reflujo fisiológico en lactantes?,A los 4 meses de edad.
¿En qué porcentaje se soluciona el reflujo fisiológico al año de vida?,En el 90% de los casos.
Definición clínica de RGE: Dos o más episodios de regurgitación al día por al menos _____.,3 semanas
¿Cuál es la manifestación clínica más común de la Enfermedad por Reflujo Gastroesofágico (ERGE)?,La regurgitación.
¿Qué nombre recibe la extensión del cuello como síntoma sistémico de la ERGE?,Síndrome de Sandifer.
Enumere tres síntomas respiratorios asociados a la ERGE pediátrica.,"Apnea, sibilancias y tos crónica."
¿Cuál es el estándar de oro (gold-standard) para el diagnóstico de ERGE?,La pH-metría.
¿En qué situación se indica realizar una Serie Esofagogastroduodenal (SEGD) en sospecha de ERGE?,Cuando se sospechan alteraciones anatómicas del tubo digestivo alto.
¿Cuál es la medida postural recomendada para el tratamiento del reflujo funcional?,Decúbito lateral izquierdo.
"Para el reflujo funcional, ¿con qué sustancia se recomienda espesar las fórmulas lácteas?",Con agua de cereal de arroz.
¿Cuál es la posición recomendada para lactantes con ERGE para evitar la muerte súbita del lactante?,Decúbito supino.
¿Cuánto tiempo dura la prueba terapéutica inicial con inhibidores de la bomba de protones (IBP) en ERGE?,De 2 a 4 semanas.
"Si los síntomas de ERGE mejoran tras la prueba con IBP, ¿por cuánto tiempo total se debe mantener el tratamiento?",Por 3 meses.
¿Qué fármaco para el manejo de ERGE está contraindicado por el riesgo de causar trombocitopenia?,La ranitidina.
¿Cuál es el procedimiento quirúrgico de elección para el tratamiento de la ERGE refractaria?,Funduplicatura de Nissen.
Definición de Invaginación Intestinal:,Es la introducción de una asa proximal de intestino dentro de un segmento distal.
¿Cuál es la causa más frecuente de obstrucción intestinal en pacientes de 3 meses a 6 años?,La invaginación intestinal.
¿Qué infección previa se asocia comúnmente con la aparición de invaginación intestinal?,Gastroenteritis viral.
¿Cuál es la localización anatómica más común de la invaginación intestinal?,La zona ileocólica.
Mencione los tres elementos de la tríada clásica de la invaginación intestinal.,"Tumor palpable, vómitos y evacuaciones en jalea de grosella."
¿Cómo se describe el signo de la 'morcilla o salchicha' en la invaginación intestinal?,Como una masa palpable en el hipocondrio derecho.
¿En qué consiste el signo de Dance en la exploración abdominal de una invaginación?,En la percepción de un vacío en la fosa ilíaca derecha.
¿Cuál es el estudio de imagen inicial y de elección para diagnosticar invaginación intestinal?,Ultrasonido abdominal.
¿Qué hallazgo ultrasonográfico es característico de la invaginación intestinal?,El signo de la diana.
¿Cuál es el tratamiento de elección no quirúrgico para la invaginación intestinal?,Hidroenema (o enema neumático).
¿En qué caso se indica tratamiento quirúrgico inmediato para la invaginación intestinal?,Si han transcurrido más de 48 horas desde el inicio del cuadro clínico.
El Divertículo de Meckel es un remanente del conducto embrionario _____.,vitelino (u onfalomesentérico)
¿Cuál es la anomalía congénita más frecuente del tubo digestivo?,Divertículo de Meckel.
"Según la 'Regla de los 2', ¿a qué distancia de la válvula ileocecal se localiza el Divertículo de Meckel?",A 2 pies ($60\text{ cm}$).
¿Qué tipo de tejidos ectópicos puede contener el Divertículo de Meckel?,Tejido gástrico o pancreático.
¿Cuál es la manifestación clínica más común del Divertículo de Meckel en lactantes?,Rectorragia (sangrado gastrointestinal) asintomática.
¿Cuál es el estudio diagnóstico confirmatorio para el Divertículo de Meckel?,Gammagrafía con Tecnecio 99.
¿Cuál es el estándar de oro para el diagnóstico del Divertículo de Meckel?,Laparoscopía.
¿Cuál es el tratamiento definitivo para el Divertículo de Meckel?,Resección quirúrgica del divertículo con anastomosis término-terminal.
¿Cuál es la causa más frecuente de obstrucción intestinal inferior en el neonato?,Enfermedad de Hirschsprung.
¿Cuál es el defecto histológico básico en la Enfermedad de Hirschsprung?,Ausencia de células ganglionares (agangliosis) en el plexo mientérico.
¿Qué zona del colon se ve afectada con mayor frecuencia en la Enfermedad de Hirschsprung?,El recto-sigmoides.
Mencione la tríada clásica de la Enfermedad de Hirschsprung en neonatos.,"Distensión abdominal, ausencia de meconio en 24-48 horas y vómito bilioso."
¿Cuál es el estándar de oro para diagnosticar la Enfermedad de Hirschsprung?,Biopsia rectal (que demuestra ausencia de células ganglionares).
¿Cuál es la principal complicación de la Enfermedad de Hirschsprung?,Sobrecrecimiento bacteriano (enterocolitis).
¿Qué malformación cromosómica se asocia frecuentemente con la Enfermedad de Hirschsprung?,Síndrome de Down.
"Para diagnosticar estreñimiento funcional en menores de 4 años, ¿cuántas defecaciones por semana definen el criterio?",Menos de 2 defecaciones por semana.
¿Qué criterios se utilizan para el diagnóstico del estreñimiento funcional pediátrico?,Criterios de Roma IV.
¿Cuál es el tratamiento farmacológico inicial para la desimpactación en el estreñimiento funcional?,Polietilenglicol (PEG) por 2 a 7 días.
¿Cuál es la ingesta diaria recomendada de fibra para el mantenimiento en estreñimiento funcional?,De 5 a 30 gramos al día.
¿Cuál es el diagnóstico de la inflamación de los ganglios linfáticos mesentéricos en pacientes de 3 a 15 años?,Adenitis mesentérica.
¿Cuál es la segunda causa más frecuente de dolor en la fosa ilíaca derecha en pediatría?,Adenitis mesentérica.
¿Qué antecedente infeccioso suele preceder al cuadro de adenitis mesentérica?,Infección respiratoria.
¿Qué hallazgo se observa en el ultrasonido abdominal en casos de adenitis mesentérica?,Nódulos mesentéricos hipoecoicos con apéndice normal.
¿Cuál es la principal complicación de la adenitis mesentérica?,Necrosis de los ganglios linfáticos.
