¿Cuál es el rango de edad con mayor morbimortalidad por aspiración o ingesta de cuerpos extraños?,Niños de 2 a 12 años de edad.
Menciona tres de los cuerpos extraños más comunes encontrados en pediatría.,"Cacahuates, cereales y granos de maíz."
¿Cuál es el factor de riesgo de edad más frecuente para la aspiración de cuerpo extraño?,Edad entre 6 meses y 5 años.
¿Cuál es la relación por sexo (hombres:mujeres) en los factores de riesgo de aspiración?,2:1.
"La tríada clásica de aspiración de cuerpo extraño incluye sibilancias, tos y _____.",Disminución de ruidos respiratorios.
¿Cuál es el sitio anatómico de localización más frecuente por aspiración (34%)?,Bronquio principal derecho.
¿En qué parte del esófago se localizan con mayor frecuencia (60-75%) los cuerpos extraños ingeridos?,Esfínter esofágico superior.
¿Cuál es el estudio de imagen inicial ante la sospecha de aspiración de cuerpo extraño?,Radiografía de tórax en 2 posiciones.
¿Cuál es el hallazgo radiológico más común (42%) en una aspiración de cuerpo extraño?,Hiperclaridad distal de la zona de obstrucción.
¿Cuál es el Gold Standard para el diagnóstico de aspiración de cuerpo extraño?,Broncoscopia rígida.
¿Cuál es el tratamiento de elección para la remoción de un objeto aspirado?,Broncoscopia rígida.
¿Qué medida inmediata se debe tomar ante la ingestión de una pila de botón de hidróxido de sodio?,Extraer de forma inmediata.
¿Cuál es la vía de exposición más frecuente en las intoxicaciones pediátricas?,Vía digestiva (oral).
¿Cuál es la principal causa de muerte por intoxicación inhalatoria en niños?,Monóxido de carbono.
¿Cuál es la vía principal de excreción para la mayoría de los tóxicos?,Riñones (orina).
¿Cuáles son los tres componentes del Triángulo de Valoración Pediátrica?,"Apariencia, trabajo respiratorio y circulación."
¿Dentro de qué periodo de tiempo es efectivo realizar un lavado gástrico tras la ingesta?,Dentro de la primera hora.
¿Qué sustancia produce la mayor cantidad de intoxicaciones según los puntos ENARM?,Etanol.
¿Cuál es el medicamento que más se asocia a intoxicaciones en la práctica clínica?,Paracetamol.
"¿Qué elementos componen el ""cóctel toxicológico"" para pacientes con déficit neurológico desconocido?","Glucosa, oxígeno, naloxona y tiamina."
¿Cuál es el metabolito altamente reactivo y hepatotóxico del paracetamol?,N-acetil-para-benzoquinoneimina (NAPQI).
¿Cuál es la dosis terapéutica de paracetamol en pediatría?,$10-15 \text{ mg/kg}$ cada 6 a 8 horas.
¿A partir de qué dosis total se considera una ingesta letal de paracetamol?,Más de 20 gramos.
¿Qué síntomas caracterizan la Fase 2 (24-48 horas) de la intoxicación por paracetamol?,"Dolor en hipocondrio derecho (CSD), náusea, vómito y aumento de transaminasas."
¿Qué herramienta clínica se utiliza para predecir la necesidad de tratamiento con N-acetilcisteína tras una ingesta aguda?,Normograma de Rumack-Matthew.
¿A partir de cuántas horas tras la ingesta se deben medir los niveles séricos para usar el normograma de Rumack-Matthew?,4 horas.
¿Qué valor de AST indica hepatotoxicidad establecida en el contexto de intoxicación por paracetamol?,$>1000$.
¿Cuál es el antídoto específico para la intoxicación por paracetamol?,N-acetilcisteína (NAC).
¿Cuál es la dosis de carga de N-acetilcisteína por vía oral?,$140 \text{ mg/kg}$.
¿Cuál es la dosis de mantenimiento de N-acetilcisteína vía oral y cada cuánto se administra?,$70 \text{ mg/kg}$ cada 4 horas.
¿Cuál es la dosis de intoxicación aguda por Ácido Acetilsalicílico (AAS)?,$150 \text{ mg/kg}$.
La intoxicación por salicilatos típicamente causa una acidosis metabólica con anion gap aumentado y una _____.,Alcalosis respiratoria.
¿Qué normograma se utiliza para evaluar la severidad de la intoxicación por salicilatos?,Normograma de Done.
¿Cuál es la prueba confirmatoria en orina para intoxicación por salicilatos?,Prueba de cloruro férrico (Reactivo de Trinder).
¿Cuál es el objetivo de la administración de bicarbonato de sodio en la intoxicación por salicilatos?,Alcalinización urinaria para aumentar la excreción del tóxico.
¿Qué tipo de necrosis producen los agentes corrosivos ácidos?,Necrosis por coagulación.
¿Qué tipo de necrosis producen los agentes corrosivos álcalis?,Necrosis por licuefacción.
"Entre ácidos y álcalis, ¿cuál produce una lesión local más profunda debido a la ausencia de una barrera protectora?",Álcalis.
¿Cuál es el Gold Standard diagnóstico para evaluar la extensión del daño por corrosivos?,Endoscopia.
¿Qué clasificación endoscópica se utiliza para estadificar las lesiones por cáusticos?,Clasificación de Zargar.
¿En qué ventana de tiempo se recomienda realizar la endoscopia tras la ingesta de un corrosivo?,Entre las 6 y las 48 horas.
"¿Qué grado de la escala de Zargar se caracteriza por úlceras circunscritas, profundas o circunferenciales?",Grado IIb.
¿A partir de qué estadio de Zargar se observa necrosis?,Estadio III (IIIa o IIIb).
¿Cuál es la complicación más frecuente a largo plazo de la intoxicación por corrosivos?,Estenosis esofágica.
¿Cuál es el nombre alternativo de la intoxicación por plomo?,Saturnismo.
¿Cómo se llama el signo clínico consistente en una coloración oscura en las encías por intoxicación por plomo?,Ribete de Burton.
¿Cuál es el tratamiento de elección (antídoto) para la intoxicación por plomo?,Penicilamina.
"¿Qué intoxicación por metales pesados se asocia con diarrea en ""agua de arroz"" y líneas de Mees?",Arsénico.
¿Cuál es el antídoto de primera línea para la intoxicación por arsénico y mercurio?,DMSA o DMPS (Succimer).
¿En qué metal pesado se presenta el Ribete de Gilbert como parte del cuadro clínico?,Mercurio.
¿Cuál es el antídoto específico para la intoxicación por hierro?,Deferroxamina.
