¿A qué familia de virus pertenece el agente causal del sarampión?,Paramyxovirus
¿Cuál es el periodo de incubación típico del sarampión?,$10$ días
¿En qué periodo es contagioso un paciente con sarampión?,Desde $3$ días antes del exantema hasta $5$ días después de su aparición.
¿Cómo se denominan las lesiones blancas en la cara interna de los carrillos patognomónicas del sarampión?,Manchas de Koplik
¿Qué nombre reciben los puntos grisáceos en faringe o amígdalas observados en el sarampión?,Manchas de Herman
¿En qué consiste el signo de Stimson en el sarampión?,Hiperemia en la conjuntiva palpebral.
¿Cuál es la dosis de vitamina A para un niño mayor de $1$ año con sarampión?,"$200,000$ UI por dos días."
¿Cuál es la dosis de vitamina A para un niño menor de $1$ año con sarampión?,"$100,000$ UI por dos días."
¿Cuál es la complicación más frecuente del sarampión?,Otitis media aguda
¿Cuál es la complicación más grave del sarampión que causa más muertes?,Neumonía
¿A qué familia pertenece el virus de la rubéola?,Togavirus (Matonavirus)
¿Cómo se describen las manchas de Forchheimer en la rubéola?,Lesiones petequiales en el paladar blando.
¿Qué hallazgo clínico define el signo de Teodor en la rubéola?,Adenopatías retroauriculares dolorosas.
¿Cuál es la complicación más frecuente de la rubéola en niños?,Artritis
¿Cuál es el periodo de incubación de la rubéola?,De $12$ a $23$ días.
¿En qué momento es más infecciosa la rubéola?,Durante la erupción cutánea.
¿Qué virus es el principal responsable de la roséola (sexta enfermedad)?,Herpes virus humano $6$ (HHV-6)
¿Cuál es la característica clave de la fiebre en la roséola?,Desaparece súbitamente cuando aparece el exantema.
¿Qué son las manchas de Nagayama en la roséola?,Pápulas eritematosas en el paladar blando y la úvula.
¿En qué consiste el signo de Berliner observado en la roséola?,Edema palpebral y periorbitario.
¿Cuál es la complicación más frecuente de la roséola durante la fase febril?,Crisis convulsivas
¿Cuál es el agente causal de la escarlatina?,Estreptococo beta hemolítico del grupo A (S. pyogenes).
¿Cómo evoluciona la lengua en un paciente con escarlatina?,"Inicia con una capa blanquecina y papilas hipertrofiadas, tornándose luego roja como fresa."
¿Cómo se describe la textura del exantema en la escarlatina?,Exantema en lija o piel de gallina.
¿Qué hallazgo clínico define el signo de Pastia en la escarlatina?,Petequias longitudinales en los pliegues de flexión.
¿Qué es el triángulo nasogeniano de Filatov en la escarlatina?,Palidez perioral característica.
¿Cuál es el estándar de oro para el diagnóstico de la escarlatina?,Cultivo de exudado faríngeo
