¿De qué estructura específica surge el carcinoma basocelular (CBC)?,De la capa basal de la epidermis y sus apéndices.
¿Cuáles son los agentes etiológicos más importantes para el desarrollo de CBC?,La exposición a rayos $UV$ y las quemaduras solares.
El carcinoma basocelular representa el _____% de los casos de cáncer de piel.,$74$%
¿Cuál es la estirpe histológica más común del carcinoma basocelular a nivel global?,La variante nodular.
¿Qué velocidad de crecimiento anual suele presentar el carcinoma basocelular?,$0.5$ cm por año.
¿En qué región anatómica se localiza el $82$% de los carcinomas basocelulares?,"En el rostro, específicamente en la nariz."
Concepto: Carcinoma basocelular superficial.,Definición: Placa eritematosa localizada comúnmente en el tronco y la cara.
¿Qué característica clínica define al carcinoma basocelular morfeiforme?,Su capacidad para infiltrar los nervios cutáneos.
¿Cuál es la descripción clínica típica de una lesión por CBC nodular?,Pápula rosa de brillo perlado con telangiectasias y posible depresión central.
¿Qué hallazgos dermatoscópicos son característicos del carcinoma basocelular?,Presencia de estructuras en hojas de arce y ruedas de carro.
¿Cuál es el estándar de oro para el diagnóstico del carcinoma basocelular?,Biopsia escisional con estudio histopatológico.
¿Qué hallazgo histopatológico es patognomónico del CBC?,Células basaloides dispuestas en empalizada.
¿Cuál es el tratamiento de primera línea para el carcinoma basocelular?,Extirpación quirúrgica.
¿En qué casos de carcinoma basocelular se indica la cirugía de Mohs?,En lesiones clasificadas como de alto riesgo de recurrencia.
¿Qué opciones terapéuticas existen para un paciente con CBC que no es candidato quirúrgico?,Uso de imiquimod o radioterapia.
¿Cuál es el esquema de seguimiento post-tratamiento para el carcinoma basocelular?,"Revisiones a los $3$, $6$ y $12$ meses, seguidas de citas anuales por $5$ años."
¿Qué tamaño define a un CBC nodular como de 'bajo riesgo' en una zona de riesgo bajo?,Menor a $2$ cm.
El carcinoma basocelular tipo tumor de _____ se clasifica siempre como de bajo riesgo.,Pinkus
¿A partir de qué tamaño un CBC nodular en topografía de riesgo alto se considera de 'alto riesgo'?,Cualquier tamaño mayor a $1$ cm.
¿Cuál es el origen celular del carcinoma espinocelular (CEC)?,Los queratinocitos epidérmicos.
¿Cuál es la lesión precursora más frecuente del carcinoma espinocelular?,La queratosis actínica.
¿Qué porcentaje de carcinomas espinocelulares se localizan en la cara?,$60$%
¿Qué característica clínica diferencia al CEC del CBC respecto a los vasos sanguíneos?,El carcinoma espinocelular presenta ausencia de telangiectasias.
¿Qué forma clínica peculiar puede adoptar el CEC en el $20$% de los casos?,Presentación en forma de cuerno cutáneo.
¿Qué hallazgo histológico es característico del carcinoma espinocelular bien diferenciado?,Perlas de queratina.
¿Qué estudios de imagen se solicitan ante la sospecha de metástasis por CEC?,Tomografía Computarizada ($TAC$) y Resonancia Magnética ($RM$).
¿Cuáles son los sitios más frecuentes de metástasis del carcinoma espinocelular?,"Pulmón, hígado y cerebro."
¿Qué factores de riesgo no solares se asocian al carcinoma espinocelular?,"Tabaquismo, infección por $VPH$, úlceras crónicas e inmunosupresión."
¿Cuál es el tratamiento quirúrgico para un CEC de bajo riesgo?,Curetaje o electrocauterización.
¿Qué esquema de quimioterapia se utiliza en el CEC con metástasis?,$5$-fluorouracilo combinado con cetuximab.
¿Cuál es la recomendación de reaplicación del fotoprotector solar?,Cada $3$ horas.
¿De qué células deriva el melanoma?,De los melanocitos.
¿Qué lugar ocupa el melanoma en frecuencia entre las neoplasias cutáneas en México?,Tercer lugar.
¿Cuál es la variante clínica de melanoma más frecuente en la población mexicana?,Melanoma nodular.
¿Qué gen es el principal responsable de la susceptibilidad oncogénica en el melanoma?,El gen $CDKN2A$ ($P16^{INK4}$).
"En la regla $ABCDE$ del melanoma, ¿qué significa la letra 'A'?",Asimetría de la lesión.
"En la regla $ABCDE$ del melanoma, ¿qué significa la letra 'B'?","Bordes irregulares o ""con picos""."
"En la regla $ABCDE$ del melanoma, ¿qué significa la letra 'C'?",Color no homogéneo (variaciones del marrón claro al negro).
"En la regla $ABCDE$ del melanoma, ¿qué punto de corte en el diámetro ('D') sugiere malignidad?",Mayor a $6$ mm.
"En la regla $ABCDE$ del melanoma, ¿qué evalúa la letra 'E'?",Evolución o cambios en la lesión en los últimos $1$ a $2$ meses.
¿Qué cantidad de nevos comunes aumenta significativamente el riesgo de melanoma?,Más de $100$ nevos comunes.
¿Qué fototipos de Fitzpatrick tienen mayor riesgo de desarrollar melanoma?,Fototipos I y II.
¿Qué antecedente de tratamiento para psoriasis se asocia con riesgo de melanoma?,Más de $250$ tratamientos con $PUVA$ (luz $UV$ con psoralenos).
¿Cuál es el margen de tejido celular subcutáneo recomendado en una biopsia escisional por melanoma?,De $1$ a $3$ mm.
¿Bajo qué criterio de espesor se debe buscar el ganglio centinela en melanoma?,Cuando el índice de Breslow es mayor a $1$ mm.
Concepto: Melanoma de diseminación superficial.,Características: Representa el $70$% mundial; común en espalda (hombres) y piernas (mujeres).
¿Qué signo clínico es característico del melanoma lentiginoso acral en el lecho ungueal?,Signo de Hutchinson.
¿Cuál es el pronóstico general del melanoma lentiginoso acral?,Mal pronóstico.
¿Cuál es la principal neoplasia intraocular derivada de la capa pigmentada?,Melanoma uveal.
¿Cuál es el primer paso ante un paciente con una lesión sospechosa según el sistema $ABCDE$?,Referencia inmediata a dermatología para biopsia.
¿Cuál es el objetivo de realizar una biopsia incisional en lugar de escisional en melanoma?,Se reserva para lesiones muy grandes donde no es posible el cierre directo inicial.
¿Qué estudio diagnóstico se indica si el ganglio centinela resulta positivo en melanoma?,"Extensión mediante $TAC$, $RM$ y $PET$."
¿Cuál es la frecuencia de seguimiento recomendada para pacientes de alto riesgo de melanoma?,Cada $6$ meses.
