¿Cómo se define un pólipo endometrial según su morfología?,Es una protrusión benigna sobre la superficie endometrial.
Menciona tres factores de riesgo para el desarrollo de pólipos endometriales.,"Edad avanzada, obesidad y el uso de tamoxifeno."
¿Qué métodos anticonceptivos actúan como factores protectores contra los pólipos?,Los anticonceptivos orales (ACOS) y el DIU de levonorgestrel (LNG).
¿Cuál es el estudio de primera elección para el diagnóstico de pólipos endometriales?,Ultrasonido (USG).
¿Cuál es el Gold Standard para el diagnóstico de pólipos endometriales?,Histerosonografía.
¿Cuál es la forma más frecuente de presentación clínica de los pólipos endometriales?,Asintomática.
¿Cómo se describe el sangrado intermenstrual característico de los pólipos?,"Sangrado ""en goteo""."
¿Qué procedimiento se debe realizar tras la extirpación quirúrgica de un pólipo?,Estudio histológico para descartar malignidad.
¿Qué es la adenomiosis?,Es la extensión de glándulas y tejido endometrial hacia el miometrio.
¿Cuál es el pico de incidencia de edad para la adenomiosis?,Entre los 40 y 50 años.
¿Cuál es el estudio inicial para el diagnóstico de adenomiosis?,Ultrasonido transvaginal.
"En un USG transvaginal, ¿qué hallazgo es sugerente de adenomiosis?",Presencia de lagunas quísticas en el miometrio.
¿Cuál es el estudio de elección (más específico) para adenomiosis?,Resonancia Magnética (RM).
¿Cuál es el Gold Standard para el diagnóstico de la adenomiosis?,Biopsia o estudio histológico.
Describe las características físicas del útero en la adenomiosis.,"Útero aumentado de tamaño, globular y simétrico (similar a 14 SDG)."
¿En qué consiste el signo de Halban?,Presencia de un útero blando y doloroso a la palpación bimanual.
¿Cuál es el tratamiento definitivo para la adenomiosis?,Histerectomía.
Concepto: Leiomioma,Tumor benigno de músculo liso (miometrio) que es hormonodependiente.
¿Cuál es la neoplasia benigna ginecológica más común?,Miomatosis uterina.
¿Qué grupo étnico presenta el mayor riesgo de padecer miomatosis uterina?,Pacientes afroamericanas.
¿Qué sucede con el tamaño de los miomas durante la menopausia?,Sufren regresión debido a su dependencia hormonal.
¿Qué tipo de mioma se localiza por debajo del endometrio y es el más sintomático?,Mioma submucoso.
¿Qué porcentaje de los miomas son de localización intramural?,55%.
Define el mioma subseroso.,Mioma localizado en la superficie uterina que deforma la serosa.
¿Qué tipo de mioma se asocia con mayor frecuencia a la infertilidad por dificultad de implantación?,Mioma submucoso.
"Según la clasificación por tamaño, ¿cuál es el diámetro de un mioma de medianos elementos?",Entre 2.1 y 6 cm.
Define la miomatosis gigante.,Presencia de miomas con un diámetro mayor a 20 cm.
¿Qué tipo de degeneración de los miomas es más frecuente durante el embarazo?,Degeneración roja (por infarto muscular agudo).
¿Cuál es el síntoma clínico más frecuente de la miomatosis uterina?,Menorragia (sangrado abundante).
¿Qué tipo de anemia es característica en pacientes con miomatosis sintomática?,Anemia microcítica hipocrómica.
¿Cuál es el estudio inicial para detectar miomas mayores a 5 cm?,Exploración bimanual.
¿A partir de qué tamaño un ultrasonido puede detectar miomas uterinos?,Mayores a 3 cm.
¿Cuál es el estudio de imagen con mayor sensibilidad y especificidad para miomatosis?,Resonancia Magnética (RM).
¿Cuál es el estudio de elección para el diagnóstico de miomas submucosos?,Histeroscopía.
¿Qué tratamiento médico se indica prequirúrgicamente para reducir el tamaño de un mioma?,Análogos de GnRH.
¿En qué porcentaje reducen los análogos de GnRH el tamaño de los miomas?,Entre un 35% y 60%.
¿Cuál es la técnica quirúrgica de elección para miomas de medianos y grandes elementos?,Laparotomía.
¿Bajo qué condiciones se utiliza la miomectomía por laparoscopía?,En miomas de pequeños elementos cuando son únicos.
¿Cuál es la conducta a seguir ante una paciente asintomática con útero menor a 14 cm?,Vigilancia clínica y por USG cada 6 a 12 meses.
¿Cuándo se debe referir a una paciente con miomatosis a segundo nivel?,"Si es sintomática, el útero mide más de 14 cm o es de rápido crecimiento."
"De acuerdo al método de Higham, ¿cuál es el volumen de sangre que absorbe un tampón súper?",8 ml.
¿Qué volumen de pérdida sanguínea representa una toalla nocturna según el método de Higham?,15 ml.
Define torsión ovárica.,"Rotación del ovario y la trompa sobre su pedículo vascular, interrumpiendo el flujo sanguíneo."
¿Cuál es el principal factor de riesgo para sufrir una torsión ovárica?,Presencia de masas ováricas mayores a 5-6 cm.
¿Por qué el ovario derecho se afecta más frecuentemente en una torsión?,Porque el ligamento utero-ovárico derecho es más largo.
Menciona la tríada clínica de la torsión ovárica.,"Dolor pélvico súbito unilateral, náuseas/vómitos y masa anexial palpable."
¿Qué indica la presencia de fiebre en un cuadro de torsión ovárica?,Necrosis del tejido afectado.
¿Cuál es el estándar de oro para el diagnóstico de torsión ovárica?,Laparoscopía diagnóstica.
¿Cuál es el hallazgo ultrasonográfico típico en una torsión ovárica?,Ovario aumentado de tamaño con folículos periféricos.
¿Cuál es el tratamiento de elección para restaurar el flujo en la torsión ovárica?,Destorsión por laparoscopía inmediata.
¿En qué casos se indica una ooforectomía ante una torsión ovárica?,Cuando el tejido está necrótico o en mujeres postmenopáusicas.
¿Qué complicación es frecuente en pacientes sometidas a histerectomía?,Tromboembolismo venoso.
¿Qué fármaco se utiliza para el manejo del sangrado uterino anormal en pacientes con actividad sexual?,DIU de levonorgestrel.
¿Cuál es la causa más frecuente de histerectomía según el material?,Miomatosis uterina.
¿A qué edad es más común encontrar adenomiosis en lugar de miomatosis?,En pacientes multíparas entre 35 y 50 años.
