¿Cuál es el mecanismo de acción del síndrome anticolinérgico?,Bloqueo competitivo de la acetilcolina en las sinapsis parasimpáticas.
Menciona tres clases de fármacos que pueden causar un síndrome anticolinérgico.,"Antihistamínicos, neurolépticos y antidepresivos tricíclicos."
¿Qué hallazgo pupilar es característico del síndrome anticolinérgico?,Midriasis.
¿Cómo se describe clásicamente el estado de la piel y mucosas en el síndrome anticolinérgico?,"Paciente ""seco"" (piel seca y rubicunda)."
¿Cuál es el tratamiento específico (antídoto) para el síndrome anticolinérgico?,Fisostigmina.
¿Cuál es el mecanismo fisiopatológico del síndrome simpaticomimético?,"Exceso de aminas en el SNC por aumento de liberación, disminución de recaptación o impedimento de su metabolismo."
¿Qué hallazgo en la piel diferencia al síndrome simpaticomimético del anticolinérgico?,La presencia de diaforesis (sudoración) en el simpaticomimético.
"En el síndrome simpaticomimético por cocaína, ¿cuál es el tratamiento de elección para el control de la agitación?",Benzodiacepinas.
¿Qué fármaco se recomienda para el manejo de una crisis hipertensiva en un síndrome simpaticomimético?,Nicardipino.
Menciona tres causas farmacológicas del síndrome serotoninérgico.,"Sertralina, fluoxetina y ondansetrón."
¿Qué síntomas gastrointestinales y neuromusculares distinguen al síndrome serotoninérgico?,"Diarrea, mioclonías y rigidez."
¿Cuál es el tratamiento específico inicial para el síndrome serotoninérgico?,Benzodiacepinas.
El síndrome colinérgico es el resultado de la hiperestimulación de los receptores _____ de la acetilcolina.,Muscarínicos.
¿Cuáles son las manifestaciones muscarínicas clásicas del síndrome colinérgico?,"Miosis, broncorrea, bradicardia, sialorrea y lagrimación."
¿Qué síntomas caracterizan la fase nicotínica del síndrome colinérgico?,"Taquicardia, midriasis, temblor y parálisis craneal."
¿En qué período de tiempo se presenta el síndrome intermedio tras una exposición a organofosforados?,De 1 a 4 días.
¿Cuál es el tratamiento específico inicial para las manifestaciones muscarínicas del síndrome colinérgico?,Atropina (1-2 mg cada 5 minutos).
¿Qué fármacos son la elección para reactivar la acetilcolinesterasa en una intoxicación por organofosforados?,Oximas (ej. obidoxima).
¿Cómo se realiza el diagnóstico confirmatorio de intoxicación por organofosforados?,Estimación de la actividad de la colinesterasa plasmática y eritrocitaria.
