¿Cómo se define la Hipertensión Arterial Sistémica (HAS) según las cifras de presión arterial en el consultorio?,Como la elevación persistente de la presión arterial $\ge 140/90$ mmHg tras exámenes repetidos.
"Fisiológicamente, la presión arterial es el producto del gasto cardíaco por la _____.",Resistencia vascular sistémica
¿Cuál es la prevalencia aproximada de la hipertensión arterial en la población adulta de México?,32.3\%
¿Qué porcentaje de pacientes hipertensos en México se encuentra bajo un control adecuado?,15\%
¿A partir de qué edad se considera que el riesgo de desarrollar HAS aumenta significativamente como factor de riesgo?,40 años
¿Cuántas veces es más común la HAS en individuos que tienen un padre hipertenso?,2 veces
¿Cuál es el límite máximo recomendado de ingesta diaria de sodio para prevenir la HAS?,2000 mg (equivalente a 5 g de sal)
"Para la prevención de HAS, se recomienda realizar ejercicio aeróbico moderado o intenso durante al menos _____ minutos, 5 a 7 días por semana.",30 a 45 minutos
¿Qué porcentaje de los casos de hipertensión arterial corresponde a la forma primaria o esencial?,95\%
¿Cuál es la causa más común de hipertensión arterial secundaria?,Enfermedad Renal Crónica
¿Con qué frecuencia deben someterse a tamizaje los adultos de 18 a 39 años con presión normal ($<130/80$ mmHg) y sin factores de riesgo?,Cada 3 a 5 años
¿Con qué frecuencia debe realizarse la detección de HAS en adultos mayores de 40 años con factores de riesgo?,Anualmente
¿Cuáles son las dimensiones estándar (ancho y largo) del manguito de presión recomendado para la medición?,12-13 cm de ancho y 35 cm de largo
¿Cuántos minutos de reposo debe tener el paciente antes de iniciar la medición de la presión arterial?,5 minutos
"Según la clasificación, ¿cuáles son las cifras de presión arterial para el Nivel Óptimo?",$<120$ mmHg de sistólica y $<80$ mmHg de diastólica
¿Qué rango de presión arterial sistólica define a la HAS Estadio 1?,140 a 159 mmHg
¿Qué rango de presión arterial diastólica define a la HAS Estadio 2?,100 a 109 mmHg
La HAS Estadio 3 se define por una presión sistólica $\ge 180$ mmHg o una diastólica $\ge$ _____ mmHg.,110 mmHg
¿Cuál es el criterio diagnóstico de HAS mediante el monitoreo domiciliario (AMPA/MDPA)?,Cifras $\ge 135/85$ mmHg
¿Cuál es el criterio diagnóstico de HAS mediante MAPA en el periodo diurno?,Cifras $\ge 135/85$ mmHg
¿Cuál es el criterio diagnóstico de HAS mediante MAPA en el periodo nocturno?,Cifras $>120/75$ mmHg
La HAS de bata blanca se sospecha en adultos con una presión sistólica mayor a $130$ mmHg pero menor a _____ mmHg en el consultorio.,160 mmHg
¿Qué condición se define como presión arterial $<140/90$ mmHg en consultorio pero $>140/90$ mmHg en casa?,Hipertensión enmascarada
¿Cuál es el método de elección para confirmar el diagnóstico de hipertensión arterial?,MAPA (Monitorización Ambulatoria de la Presión Arterial) de 24 horas
¿Cuántas mediciones y visitas médicas se requieren para el diagnóstico inicial 'tradicional' de HAS?,2-3 mediciones en al menos 2 visitas médicas
¿Cuánto puede reducir la presión arterial sistólica la implementación de dietas como la DASH o Mediterránea?,Hasta 11 mmHg
¿En qué grupo de pacientes está contraindicada la suplementación de potasio?,Pacientes con Enfermedad Renal Crónica (ERC)
¿Qué tipo de carne se prefiere consumir en el tratamiento no farmacológico de la HAS?,Carne blanca (pescado o pollo)
¿Qué hallazgo en un paciente joven con HAS debe hacer sospechar de estenosis de la arteria renal tras iniciar tratamiento?,Incremento de creatinina mayor a 0.7 mg/dl o más del 30\%
¿Cuál es el manejo inicial recomendado para un paciente con HAS sistólica de 140 mmHg?,Inicio de tratamiento farmacológico para disminuir riesgo de muerte y EVC
¿Cuál es la estrategia farmacológica inicial recomendada para la mayoría de los pacientes con HAS?,Terapia dual a dosis estándar combinando fármacos de primera línea
¿En qué pacientes se sugiere iniciar con monoterapia en lugar de terapia dual?,Pacientes con fragilidad o edad $>80$ años
¿Con qué cifras de presión arterial se debe iniciar tratamiento farmacológico en pacientes de alto riesgo cardiovascular ($>10\%$)?,$>130/80$ mmHg
¿Cuáles son las dos combinaciones posibles para la terapia dual inicial?,IECA o BRA + Calcioantagonista (BCC) o IECA o BRA + Diurético
"¿Qué tipo de terapia dual se prefiere en pacientes con síndrome metabólico, obesidad o DM2?",Combinación que incluya un Calcioantagonista (BCC)
¿Qué tipo de diurético se sugiere utilizar si el aclaramiento de creatinina es $<30$ ml/min?,Diurético de asa
¿Qué fármacos componen la terapia triple para el tratamiento de la HAS?,IECA o BRA + Calcioantagonista + Diurético
¿Qué fármaco se añade a la terapia triple en casos de hipertensión arterial resistente?,Espironolactona
¿Qué alternativa farmacológica se prefiere en HAS resistente con aclaramiento de creatinina $<30$ ml/min en lugar de espironolactona?,"Bloqueadores alfa, betabloqueadores o simpaticolíticos"
¿Cuál es la meta de presión arterial sistólica a corto plazo en adultos menores de 80 años?,$<140$ mmHg (pero nunca menos de 65 mmHg)
¿Cuál es la meta de presión arterial en pacientes con diabetes mellitus e hipertensión?,$<130/80$ mmHg
¿Cuál es la meta de presión arterial en pacientes hipertensos con aterosclerosis carotídea mayores de 80 años?,$<150/90$ mmHg
¿Cuál es la contraindicación absoluta para el uso de diuréticos de tipo tiazida?,Gota
Menciona dos contraindicaciones para el uso de IECAs.,Embarazo y estenosis renal bilateral
¿En qué condiciones respiratorias y cardíacas están contraindicados los betabloqueadores?,Asma y bloqueo auriculoventricular (AV)
¿Qué condición define a la hipertensión sistólica aislada?,Cifras $>140/<90$ mmHg
¿Qué fenómeno clínico se caracteriza por náuseas y visión borrosa 1-2 horas después de comer en pacientes geriátricos?,Hipotensión posprandial
¿Cuál es la causa principal de hipotensión ortostática en pacientes geriátricos?,Causas farmacológicas
El signo de _____ consiste en la palpación de la arteria radial tras la desaparición del pulso al inflar el manguito.,Osler
¿Por qué se recomienda tomar la presión arterial en ambos brazos durante la primera consulta?,Porque una diferencia $>15$ mmHg indica enfermedad ateromatosa y mayor riesgo CV
¿Cómo se define la hipertensión arterial maligna?,Elevación de la TA asociada a edema de papila
¿Qué fármaco se debe administrar en caso de hipertensión perioperatoria con cifras $>160/90$ mmHg?,Esmolol o Nitroglicerina
¿Cuál es el criterio de presión arterial para posponer una cirugía programada?,$>180/110$ mmHg
¿Cuál es la cifra de presión arterial sistólica mínima recomendada en pacientes con insuficiencia cardíaca con FEVI conservada?,No menor a 130 mmHg
¿Qué estudios básicos de laboratorio se recomiendan para el abordaje inicial de la HAS?,"Biometría hemática, creatinina, urea, electrolitos séricos, examen de orina y perfil de lípidos"
¿Cuál es la definición general de crisis hipertensiva?,Elevación aguda de la TA con sistólica $>180$ mmHg y/o diastólica $>120$ mmHg
¿Qué característica distingue a la urgencia hipertensiva de la emergencia?,La ausencia de daño agudo a órgano diana
¿Cuál es la vía de administración preferida para el tratamiento de una urgencia hipertensiva?,Vía oral (manejo ambulatorio)
¿Cuál es el porcentaje de crisis hipertensivas que corresponden a emergencias?,24\%
¿Cuál es el fármaco de primera línea de forma general para la emergencia hipertensiva por su inicio rápido?,Nitroprusiato de sodio
¿Cuál es el esquema de tratamiento de primera línea para una disección aórtica aguda?,Esmolol o Labetalol + Nitroprusiato
¿Cuál es la meta de presión sistólica y frecuencia cardíaca en la disección aórtica en los primeros 20 minutos?,Sistólica $<120$ mmHg y FC $<80$ lpm
¿Cuál es la meta de reducción de la TAM en las primeras 24 horas para un EVC isquémico no candidato a trombólisis?,Disminución del 15\%
¿Cuál es la meta de presión arterial para iniciar trombólisis en un EVC isquémico?,$<185/110$ mmHg
