     1→¿Cuál es la definición de apendicitis aguda?,Es la inflamación del apéndice cecal o vermiforme.
     2→¿Cuál es la urgencia quirúrgica abdominal más común en la población general?,La apendicitis aguda.
     3→¿En qué rango de edad se presenta el pico máximo de incidencia de la apendicitis?,Entre los 15 y 35 años de edad.
     4→Menciona el evento fisiopatológico inicial que desencadena la apendicitis aguda.,La obstrucción de la luz apendicular.
     5→¿Qué porcentaje de los cuadros sugestivos de apendicitis resultan ser realmente una infección de vías urinarias (IVU)?,El 10%.
     6→¿Cuáles son los dos microorganismos más frecuentemente relacionados con la apendicitis?,E. coli y B. fragilis.
     7→¿Cuál es la posición anatómica más frecuente del apéndice cecal?,Retrocecal (74%).
     8→La arteria apendicular es una rama directa de la arteria _____.,Ileocólica.
     9→¿Cuál es la causa (etiología) más común de apendicitis en el paciente adulto?,Fecalitos.
    10→¿Cuál es la causa más común de apendicitis en pacientes pediátricos?,Hiperplasia de los folículos linfoides.
    11→Menciona las 4 fases evolutivas de la apendicitis aguda en orden cronológico.,"1. Congestiva, 2. Supurativa, 3. Gangrenosa y 4. Perforada."
    12→¿Cuál es la característica macroscópica principal de la fase catarral o congestiva?,Inflamación submucosa con apariencia macroscópicamente normal.
    13→La presencia de exudado purulento en la luz y región periapendicular define a la fase _____.,"Flemonosa, fibrosa o supurativa."
    14→¿Qué hallazgo define la fase gangrenosa de la apendicitis?,Necrosis y ulceración de la mucosa.
    15→¿Cuál es el parásito que se asocia con mayor frecuencia a la apendicitis?,Ascaris.
    16→¿Cómo afecta la apendicectomía el riesgo de padecer Colitis Ulcerativa Crónica Idiopática (CUCI)?,Reduce el riesgo de padecerla.
    17→¿Cuál es la complicación temprana más frecuente tras una intervención quirúrgica por apendicitis?,Infección de la herida quirúrgica.
    18→¿Cuál es la complicación tardía más frecuente después de una apendicectomía?,Absceso residual.
    19→Describe la migración clásica del dolor en la apendicitis aguda.,Inicia en la región periumbilical y migra hacia el cuadrante inferior derecho.
    20→¿Qué elementos integran la Tríada de Murphy en la apendicitis?,"Náusea, fiebre y dolor."
    21→¿Cuál es el primer signo clínico que suele presentarse en la apendicitis aguda?,Hiperalgesia cutánea.
    22→¿Qué hallazgo define al Signo de McBurney?,Dolor a la palpación y descompresión en el cuadrante inferior derecho.
    23→¿Qué indica la presencia del Signo de Blumberg?,Irritación peritoneal manifestada por sensibilidad de rebote pasajera.
    24→¿En qué consiste el Signo de Rovsing?,Dolor en el punto de McBurney al comprimir la fosa ilíaca izquierda.
    25→¿A qué variante anatómica de apendicitis se asocia el Signo del Psoas?,Apéndice o absceso retrocecal.
    26→¿En qué consiste el Signo del Obturador?,Dolor al realizar flexión y rotación interna del muslo derecho.
    27→¿Qué maniobra desencadena el Signo de Dunphy?,Aumento de dolor en la fosa ilíaca derecha provocado por la tos.
    28→"En la escala de Alvarado, ¿qué parámetros otorgan 2 puntos cada uno?",Dolor en el cuadrante inferior derecho y leucocitosis.
    29→¿Qué conducta se sugiere si un paciente obtiene 5 o 6 puntos en la escala de Alvarado?,Se considera posible apendicitis y requiere mayor observación.
    30→¿Qué rango de puntuación en la escala de Alvarado indica una alta probabilidad de apendicitis?,7 a 8 puntos.
    31→"¿Cuál es el estudio de imagen inicial recomendado para niños, adultos y embarazadas?",Ultrasonografía (USG).
    32→¿Cuál es el estándar de oro (gold standard) para el diagnóstico de apendicitis aguda?,Tomografía Computarizada (TAC).
    33→¿Cuál es el tratamiento quirúrgico de elección para la apendicitis aguda?,Apendicectomía laparoscópica.
    34→¿Qué fármaco se recomienda como profilaxis antibiótica pre-operatoria?,Cefoxitina 2 g IV.
    35→"En pacientes alérgicos a betalactámicos, ¿qué antibiótico se utiliza como alternativa?",Amikacina.
    36→Menciona una contraindicación para realizar cirugía laparoscópica en apendicitis.,Insuficiencia cardíaca congestiva o hipertensión pulmonar severa.
    37→¿En qué rango de edad pediátrica se observa la mayor incidencia de apendicitis?,Entre los 6 y 10 años de vida.
    38→¿Cuál es la tasa de perforación apendicular estimada en lactantes menores de un año?,Puede ser de hasta el 100%.
    39→¿Cuál es el orden típico de presentación de los síntomas en el paciente pediátrico?,"Dolor abdominal, seguido de náusea/vómito y finalmente fiebre."
    40→¿Cuál suele ser el síntoma inicial de apendicitis en lactantes?,Diarrea.
    41→¿Qué parámetros componen la 'prueba triple' diagnóstica en pediatría?,"PCR >8 mcg/ml, Leucocitosis >11,000/mm³ y Neutrofilia >8,000."
    42→¿Cuál es el abordaje quirúrgico recomendado para un niño con apendicitis menor de 5 años?,Apendicectomía abierta.
    43→¿Cuál es el padecimiento quirúrgico no obstétrico más común durante el embarazo?,Apendicitis aguda.
    44→¿En qué trimestre del embarazo es más frecuente la aparición de apendicitis?,Segundo trimestre.
    45→¿En qué trimestre del embarazo tiene la apendicitis un peor pronóstico?,Tercer trimestre.
    46→¿Cuál es el síntoma más frecuente de apendicitis en la mujer embarazada?,Dolor abdominal en fosa ilíaca derecha.
    47→¿Cuál es el principal diagnóstico diferencial de apendicitis en el primer trimestre del embarazo?,Embarazo ectópico.
    48→¿Cuántos centímetros puede desplazarse el apéndice hacia arriba de su posición normal por el crecimiento uterino?,De 3 a 4 cm.
    49→¿Cuál es el estudio de imagen de elección en embarazadas con más de 20 semanas de gestación si el USG no es concluyente?,Resonancia Magnética (RM).
    50→¿Cuál es la postura actual sobre el uso de la TAC en el embarazo?,Se deja como último recurso y solo después de la semana 20.
    51→¿Cómo suele ser la evolución clínica de la apendicitis en el adulto mayor?,"Subaguda, con una atención médica más tardía."
    52→¿Cuál es el estudio diagnóstico inicial recomendado para el adulto mayor con sospecha de apendicitis?,Tomografía Computarizada (TAC).
    53→¿Qué técnica quirúrgica se prefiere en un adulto mayor de 60 años con comorbilidades?,Apendicectomía abierta.
    54→Menciona el síntoma más frecuente de apendicitis en el paciente adulto mayor.,Dolor abdominal difuso de larga evolución.
    55→¿En qué zona específica del apéndice suele ocurrir la perforación?,"En el tercio distal, a nivel del borde antimesentérico."
    56→¿En cuánto tiempo puede ocurrir la perforación apendicular en los extremos de la vida?,En las primeras 12 horas del inicio del cuadro.
    57→¿Cuál es el tiempo estimado de reincorporación laboral tras una apendicectomía abierta?,De 2 a 3 semanas.
    58→¿Cuál es el tiempo estimado de reincorporación laboral tras una apendicectomía laparoscópica?,De 1 a 2 semanas.
    59→Concepto: Signo de Summer,Definición: Defensa involuntaria de los músculos abdominales por irritación peritoneal.
    60→¿Por qué las peritonitis en niños suelen ser más severas que en adultos?,Debido a la inmadurez anatómica del epiplón.
    61→¿Qué porcentaje de riesgo de pérdida fetal existe en una apendicitis perforada?,Hasta un 20%.
    62→¿Qué hallazgo en la biometría hemática de la embarazada sugiere un alto valor predictivo positivo para apendicitis?,"Leucocitosis entre 15,000 y 20,000/mm³."
    63→"Si una paciente en edad reproductiva presenta dolor en fosa ilíaca derecha, ¿qué prueba debe solicitarse siempre?",Prueba de embarazo.
