¿Cómo se define el Síndrome de Intestino Irritable (SII)?,Afectación con dolor o molestia abdominal crónico asociado a alteraciones en el hábito intestinal sin causa orgánica.
"Para diagnosticar SII, ¿durante cuántos días al mes deben presentarse los síntomas en los últimos 3 meses?",Al menos 3 días por mes.
¿Cuál es el trastorno funcional gastrointestinal más común según el material?,Síndrome de Intestino Irritable (SII).
¿A qué edad y en qué sexo se observa el pico de presentación del SII?,Entre los 30 y 50 años en mujeres.
¿Cuáles son los tres pilares de la etiología multifactorial del SII?,"Factores genéticos, factores psicosociales y alteración de la microbiota."
¿Qué criterios se utilizan para clasificar los síntomas gastrointestinales en el SII?,Criterios de Roma III.
¿Qué herramienta se utiliza para evaluar la consistencia y forma de las heces en el SII?,Escala de Bristol.
Mencione los tres tipos de presentación clínica del SII.,"SII con constipación, SII con diarrea y SII mixto."
¿Cuánto tiempo antes del diagnóstico deben haber comenzado los síntomas del SII?,Al menos 6 meses antes.
"En el SII, el dolor o molestia abdominal se asocia con la mejoría tras la _____.",Defecación
¿Cuál es la recomendación dietética principal para reducir la producción de gas en el SII?,"Dieta baja en FODMAPs (oligosacáridos, disacáridos, monosacáridos y polioles fermentables)."
¿Qué tipo de fibra se recomienda específicamente para el tratamiento del SII?,"Fibra soluble, como el Psyllium plantago."
Mencione tres alimentos o sustancias irritantes que deben evitarse en el SII.,"Café, alcohol y alimentos picantes."
¿Cuál es el objetivo de la Terapia Cognitivo-Conductual (TCC) en el SII?,Modificar patrones de pensamiento que exacerban la percepción del dolor y la ansiedad asociada.
Mencione tres fármacos antiespasmódicos indicados para el SII.,"Bromuro de pinaverio, trimebutina y pargeverina."
"¿Qué fármaco antidiarreico se menciona, aclarando que no debe usarse en monoterapia?",Loperamida.
"En pacientes con SII-Diarrea y comorbilidad psiquiátrica, ¿qué grupo de antidepresivos se prefiere por su efecto anticolinérgico?",Antidepresivos tricíclicos.
"En pacientes con SII-Constipación o Mixto, ¿qué antidepresivos se utilizan para reducir el dolor visceral?",Inhibidores Selectivos de la Recaptura de Serotonina (ISRS) como fluoxetina o paroxetina.
¿En qué situación clínica se recomienda el uso de Rifaximina en el SII?,Persistencia de diarrea y sospecha de sobrecrecimiento bacteriano.
¿Qué escala permite clasificar la gravedad del SII en un rango de 0 a 500 puntos?,IBS Severity Score (Cuestionario de Gravedad del SII).
Definición: Colitis Ulcerativa Crónica Idiopática (CUCI),Enfermedad inflamatoria crónica que afecta fundamentalmente la mucosa del colon de forma continua y difusa.
¿Qué genes se asocian a una respuesta inmune desregulada en la Colitis Ulcerativa?,$HLA-BW35$ y $HLA-DR2$.
"A nivel microscópico, ¿qué característica glandular presentan las criptas en la CUCI?",Aspecto pseudovelloso.
¿Qué hallazgo microscópico patognomónico se observa en las criptas de la mucosa con CUCI?,Microabscesos crípticos.
¿Cómo se describe la extensión de las lesiones en la colonoscopía de un paciente con CUCI?,Lesiones continuas que comienzan en el recto y se extienden proximalmente.
¿Qué porcentaje de los casos de CUCI se presenta como pancolitis?,$33\%$.
¿Qué escala se utiliza para clasificar la actividad clínica de la Colitis Ulcerativa?,Escala de Truelove.
¿Cuál es la tríada clínica clásica de las deposiciones en la Colitis Ulcerativa?,"Diarrea sanguinolenta, pus y moco."
Mencione dos afectaciones extraintestinales frecuentes en la Colitis Ulcerativa.,Colangitis esclerosante y pioderma gangrenoso.
¿Cuál es la complicación más frecuente y grave de la Colitis Ulcerativa mencionada?,Megacolon tóxico.
¿Qué signo radiológico característico se observa en la radiografía de abdomen de un paciente con CUCI crónica?,Imagen en tubería de plomo.
¿Qué anticuerpos son característicamente positivos en la Colitis Ulcerativa?,$pANCA$ positivo.
¿Qué tratamiento de primera elección se utiliza para la CUCI leve a moderada?,Mesalazina y otros aminosalicilatos (5-ASA).
¿Qué fármaco inmunosupresor se utiliza en fases más severas de la CUCI?,Azatioprina.
¿Cuál es el anticuerpo monoclonal indicado para casos severos tanto de CUCI como de Crohn?,Infliximab.
¿En qué consiste el tratamiento definitivo de la Colitis Ulcerativa?,Cirugía (colectomía).
Definición: Enfermedad de Crohn,Trastorno inflamatorio crónico transmural que puede involucrar cualquier parte del tracto gastrointestinal.
¿Cuál es la complicación más frecuente de la Enfermedad de Crohn?,Oclusión intestinal.
¿Qué gen ubicado en el cromosoma 16 se asocia con la Enfermedad de Crohn?,$NOD2/CAR15$.
¿Qué característica microscópica se encuentra en el $50\%$ de los pacientes con Crohn y es clave para el diagnóstico?,Granulomas no caseificantes.
"A diferencia de la CUCI, la inflamación en la Enfermedad de Crohn es de tipo _____.",Transmural
¿Cómo se describe el aspecto macroscópico de la mucosa en la Enfermedad de Crohn?,Aspecto en empedrado.
¿Qué tipo de distribución tienen las lesiones en la Enfermedad de Crohn?,Segmentaria (lesiones a saltos).
¿Qué porcentaje de los casos de Enfermedad de Crohn respeta el recto?,$50\%$.
