¿Cuáles son los tres componentes que caracterizan a la Cetoacidosis Diabética (CAD)?,"Acidosis metabólica, hipercetonemia e hiperglucemia."
¿En qué tipo de pacientes es más común la presentación de Cetoacidosis Diabética?,Pacientes con Diabetes Mellitus tipo 1.
¿Cuál es el principal factor desencadenante de la Cetoacidosis Diabética?,Las infecciones.
¿Cuál es la principal causa de muerte en niños que presentan Cetoacidosis Diabética?,El edema cerebral.
¿Cuál es el valor de glucosa típicamente observado en los tres niveles de severidad de la CAD?,$>250$ mg/dl.
"En la CAD leve, ¿cuál es el rango esperado de $pH$ arterial?",De $7.25$ a $7.3$.
"En la CAD moderada, ¿cuál es el rango esperado de $pH$ arterial?",De $7.24$ a $7.0$.
"En la CAD severa, ¿cuál es el valor de $pH$ arterial?",$<7.0$.
¿Cuál es el rango de bicarbonato ($HCO_{3}$) en una CAD leve?,$15$ a $18$ mEq/l.
¿Cuál es el rango de bicarbonato ($HCO_{3}$) en una CAD moderada?,$10$ a $15$ mEq/l.
¿Cuál es el nivel de bicarbonato ($HCO_{3}$) en una CAD severa?,$<10$ mEq/l.
¿Cuál es el estado mental típico de un paciente con CAD severa?,Estupor o coma.
¿Cuál es el estándar de oro para el diagnóstico de Cetoacidosis Diabética?,Medición de $\beta$-hidroxibutirato.
"¿Con qué frecuencia se deben realizar las mediciones de $pH$, $HCO_{3}$ y electrolitos séricos en el manejo de CAD?",Cada $4$ a $6$ horas.
¿Cuál es el manejo inicial de líquidos en la primera hora de tratamiento de la CAD?,Administración IV de $1000$ cc de solución salina al $0.9\%$.
"Si el potasio ($K$) es $<3.3$ mEq/l en un paciente con CAD, ¿qué acción debe tomarse respecto a la insulina?",No administrar insulina hasta reponer el potasio.
¿Bajo qué condición de $pH$ se recomienda administrar bicarbonato en CAD?,Cuando el $pH$ es $<6.9$.
¿Cuál es la dosis de infusión continua de insulina regular recomendada en el tratamiento de CAD?,$0.1$ unidades/kg/hora.
¿Cuál es la meta de disminución de glucosa plasmática por hora en el manejo de CAD?,$50$ a $75$ mg/dl por hora.
¿Qué solución debe añadirse cuando la glucosa es $<250$ mg/dl en el tratamiento de CAD?,Solución glucosada al $5\%$ o $10\%$.
¿Cuáles son los criterios de resolución de la Cetoacidosis Diabética?,"Glucosa $<200$, bicarbonato $>18$, brecha aniónica $<12$ y $pH$ venoso $>7.3$."
¿Qué caracteriza al Estado Hiperglucémico Hiperosmolar (EHH)?,"Hiperglucemia severa, hiperosmolaridad y deshidratación sin cetosis significativa."
¿En qué tipo de pacientes es más prevalente el Estado Hiperglucémico Hiperosmolar?,Pacientes con Diabetes Mellitus tipo 2.
¿Cuál es la tríada clínica del Estado Hiperglucémico Hiperosmolar?,"Hiperglucemia severa, hiperosmolaridad y deshidratación sin cetosis."
¿Cuál es el nivel de glucosa diagnóstico para el Estado Hiperglucémico Hiperosmolar?,$>600$ mg/dl.
¿Cuál es el umbral de osmolaridad sérica para diagnosticar EHH?,$>320$ mOsm/kg.
¿Cómo se calcula el sodio corregido en hiperglucemia?,$Na + 1.6$ mEq por cada $100$ mg/dl de glucosa por arriba de $100$.
¿Cuál es la fórmula para calcular la osmolaridad efectiva?,$2 \times Na + \text{Glucosa}/18$.
¿Cuál es el rango recomendado para reducir la osmolaridad en EHH?,De $3$ a $8$ mOsm/kg/hora.
¿Cuáles son los criterios de resolución del Estado Hiperglucémico Hiperosmolar?,"Osmolaridad $<310$ mOsm, glucosa sérica $<250$ mg/dl y recuperación del estado de alerta."
¿Cómo se define el pie diabético?,"Alteración anatómica y funcional del pie por hiperglucemia sostenida, con daño neuropático y vascular."
¿Cuál es la causa más frecuente de amputación no traumática?,Pie diabético.
¿Cuál es la supervivencia a 5 años de un paciente diabético tras presentar una úlcera?,Del $50\%$ al $60\%$.
¿Qué prueba se utiliza para el tamizaje de neuropatía en el pie diabético?,Prueba de Semmes-Weinstein (monofilamento).
¿Cuántos puntos de sensibilidad detectados en la prueba de monofilamento indican alteración?,$4$ de $10$ puntos.
¿Qué herramienta se utiliza para valorar la enfermedad arterial periférica en pacientes con pie diabético?,Índice Tobillo-Brazo.
¿Cuál es la altura recomendada del tacón para el calzado de un paciente diabético?,Entre $2$ y $3$ cm.
¿Cuál es el estudio de imagen inicial para evaluar el pie diabético?,Radiografía ($RX$) en dos proyecciones.
¿Cuál es el estándar de oro para el diagnóstico de complicaciones en pie diabético?,Resonancia Magnética ($RM$).
"Según la clasificación de Wagner, ¿qué grado corresponde a una úlcera profunda que llega a tendones y articulaciones?",Grado $2$.
"Según la clasificación de Wagner, ¿qué grado representa gangrena en todo el pie?",Grado $5$.
"En la clasificación de la Universidad de Texas, ¿qué estadio indica la presencia de infección e isquemia?",Estadio $D$.
¿Cuál es la meta de glucemia en un paciente con pie diabético?,$<140$ mg/dl.
¿Cuál es el tratamiento antibiótico de elección para un eritema perilesional $<2$ cm en pie diabético?,Cefalexina o Ceftriaxona.
¿Qué esquema antibiótico se recomienda para el tratamiento de osteomielitis en pie diabético?,Clindamicina + Rifampicina + Quinolonas por $6$ semanas.
"En gasometría, ¿qué valores definen una acidemia?",$pH < 7.35$.
¿Cuál es el rango normal de $PaCO_{2}$ en un adulto?,$35$ a $45$ mmHg.
¿Cuál es el rango normal de bicarbonato ($HCO_{3}$) en un adulto?,$22$ a $26$ mEq/l.
"En trastornos metabólicos, ¿en qué dirección se mueven el $pH$ y el $HCO_{3}$?",En la misma dirección.
¿Qué fórmula se utiliza para predecir el $PaCO_{2}$ esperado en una acidosis metabólica?,Fórmula de Winter: $PaCO_{2} = (1.5 \times HCO_{3}) + 8 \pm 2$.
¿Cuál es el primer paso para interpretar una gasometría arterial?,Determinar si existe acidosis o alcalosis mediante el $pH$.
"En una acidosis respiratoria aguda, ¿cuánto aumenta el $HCO_{3}$ por cada $+10$ mmHg de $CO_{2}$?",$+1$ mEq/l.
"En una acidosis respiratoria crónica, ¿cuánto aumenta el $HCO_{3}$ por cada $+10$ mmHg de $CO_{2}$?",$+3.5$ a $+4$ mEq/l.
¿Qué indica el exceso de base ($EB/BE$) en una gasometría?,El estado global del medio interno (normal $-2$ a $+2$ mEq/l).
¿Con qué frecuencia se recomienda la inspección de pies en un paciente de alto riesgo?,Cada $1$ a $3$ meses.
