"En la clasificación de Child-Pugh, ¿qué nivel de bilirrubina asigna 3 puntos?",Mayor a 3 mg/dL.
Parámetro de Child-Pugh: Una albúmina sérica de $2.8$ a $3.5$ g/dL otorga _____ puntos.,2
¿Qué puntaje total en la escala de Child-Pugh define la Clase B?,De 7 a 9 puntos.
Concepto: Child-Pugh Clase C,"Puntaje de 10 a 15, indicando una cirrosis descompensada con una sobrevida al primer año del $45\%$."
¿Cuál es la sobrevida estimada al segundo año para un paciente Child-Pugh Clase A?,85\%.
"En la escala de Child-Pugh, ¿qué grado de encefalopatía suma 3 puntos?",Grado 3 o 4.
¿Qué valor de INR se considera para asignar 1 punto en la escala de Child-Pugh?,Menor a $1.7$.
Definición patológica de cirrosis: Proceso difuso de fibrosis y conversión de la arquitectura normal en _____.,Nódulos estructuralmente anormales.
¿Cuál es el límite de consumo diario de alcohol en mujeres para considerar riesgo de cirrosis?,Más de 20 gramos al día.
¿Qué fármaco se menciona específicamente como causa de cirrosis en el material?,Metotrexato.
"En la cirrosis compensada, ¿cómo suele presentarse la analítica hepática?",Sin ninguna alteración.
¿Qué complicaciones definen clínicamente a la cirrosis descompensada?,"Hemorragia variceal (STDA), ictericia, ascitis y encefalopatía."
¿Cuál es el estándar de oro (Gold Standard) para el diagnóstico de cirrosis?,Biopsia hepática.
¿Cada cuánto tiempo se debe realizar una endoscopia de seguimiento si no se encuentran várices en el diagnóstico inicial?,Cada 2 años.
"En caso de encontrar una lesión mayor a 1 cm en el ultrasonido de un cirrótico, ¿qué estudio sigue?",Tomografía Computarizada (TAC).
¿Qué porcentaje de pacientes con cirrosis son asintomáticos?,40\%.
¿Cuál es la recomendación de consumo de sodio diario en el tratamiento de la cirrosis?,De 1 a 2 gramos al día.
¿Por qué se deben evitar los AINES en pacientes con cirrosis?,Porque pueden inducir falla renal.
¿Qué tipo de dieta se recomienda para un paciente con cirrosis?,Hiperproteica de origen vegetal.
¿Cuándo se define que la Hipertensión Portal es clínicamente significativa?,Cuando la presión es mayor o igual a 10 mmHg.
¿Cuál es el nivel normal de presión en el sistema portal?,De 1 a 5 mmHg.
¿A partir de qué gradiente de presión portosistémica aumenta significativamente el riesgo de sangrado variceal?,Mayor a 12 mmHg.
Causa de Hipertensión Portal: La trombosis de la vena porta es un ejemplo de causa _____.,Prehepática.
¿Qué síndrome se clasifica como una causa posthepática de Hipertensión Portal?,Síndrome de Budd-Chiari.
¿Cuál es la complicación letal más común de la cirrosis?,Várices esofágicas.
Clasificación de várices: Se consideran várices grandes cuando su tamaño es _____.,Igual o mayor a 5 mm.
"En la endoscopia, ¿qué hallazgo se describe como ""mucosa en piel de serpiente""?",Gastropatía hipertensiva portal (o mucosa en mosaico).
Mencione una contraindicación para realizar una endoscopia en un paciente cirrótico.,"Trombocitopenia menor a 50.000."
¿Cuál es el mecanismo de acción de los betabloqueadores en la profilaxis de várices?,Disminuyen la presión portal al reducir el flujo esplácnico.
¿En qué pacientes Child A está indicada la profilaxis primaria con betabloqueadores?,En aquellos con várices mayores a 5 mm.
¿Qué combinación de tratamiento se debe usar de por vida en la profilaxis secundaria de várices?,Betabloqueadores combinados con técnica de erradicación endoscópica (ligadura o escleroterapia).
¿Cuál es el fármaco de elección en el manejo inicial de una hemorragia variceal aguda?,Terlipresina.
"En una hemorragia aguda, ¿en qué ventana de tiempo se debe realizar el tratamiento endoscópico?",Durante las primeras 24 horas.
¿Cuál es la técnica endoscópica preferida para várices mayores a 5 mm en fase aguda?,Ligadura variceal.
¿Qué sonda se debe colocar si no se cuenta con endoscopia durante un sangrado activo?,Sonda de Sengstaken-Blakemore o sonda de Linton.
¿Cuál es la duración total del tratamiento con Terlipresina o Somatostatina en hemorragia aguda?,5 días.
¿Qué porcentaje de pacientes con cirrosis y ascitis morirán en un plazo de dos años?,50\%.
¿Cuál es el síntoma más frecuente de la ascitis?,Aumento del perímetro abdominal.
Exploración física de ascitis: La presencia del signo de la ola indica un volumen de al menos _____ litros.,10
¿Cuál es el mejor método diagnóstico para detectar ascitis leve (desde 100 ml)?,Ultrasonido abdominal.
Grados de ascitis: La ascitis detectable solo por ultrasonido se clasifica como Grado _____.,I
¿Qué indica un Gradiente de Albúmina Sérica/Ascítica (GASA) mayor a $1.1$ g/dL?,Hipertensión portal.
¿Cuál es el tratamiento farmacológico inicial para la ascitis moderada?,Espironolactona 100 mg y Furosemida 40 mg vía oral.
¿Cuál es la dosis máxima de Espironolactona recomendada en el tratamiento de la ascitis?,400 mg.
"En pacientes con ascitis y edema, ¿cuál es la pérdida de peso diaria esperada con el tratamiento?",1 kg por día.
¿Qué fármaco sustituye a la Furosemida en caso de intolerancia?,Amilorida.
"Paracentesis: Si se extraen más de 5 litros de líquido, se debe reponer albúmina a una dosis de _____ por litro extraído.",8 a 10 gramos.
¿Qué volumen de Dextrán se administra por cada litro extraído si la paracentesis es menor a 5 litros?,125 ml.
Criterio diagnóstico de Peritonitis Bacteriana Espontánea: Presencia de más de _____ polimorfonucleares (PMN) por $mm^{3}$.,250
¿Cuál es el agente etiológico más común en la ascitis infecciosa espontánea?,Escherichia coli.
¿Cuál es el tratamiento antibiótico de elección para la Peritonitis Bacteriana Espontánea?,Cefotaxima u Ofloxacino.
¿A qué se debe principalmente la Encefalopatía Hepática según la fisiopatología?,Aumento de amonio que altera la actividad de dopamina y serotonina.
¿Qué factores son los principales desencadenantes de la Encefalopatía Hepática?,Estreñimiento y fármacos.
"En caso de duda diagnóstica en encefalopatía, ¿qué hallazgo se busca en el electroencefalograma?",Ondas trifásicas.
Tratamiento de Encefalopatía Hepática: El fármaco de primera línea para disminuir el amonio es la _____.,Lactulosa (o lactitol).
¿Qué antibiótico no absorbible es el más usado para tratar la encefalopatía hepática?,Rifaximina.
¿Cuál es el antídoto indicado si la encefalopatía es desencadenada por benzodiazepinas?,Flumazenil.
Criterios de West-Haven: El Grado II se caracteriza por la presencia de _____.,Asterixis franca.
¿Qué grado de West-Haven presenta inversión del patrón de sueño y euforia?,Grado I.
Enfermedad de Wilson: ¿Cuál es el signo ocular característico?,Anillos de Kayser-Fleischer.
¿Cuál es el tratamiento farmacológico de elección para la Enfermedad de Wilson?,D-penicilamina y piridoxina (B6).
¿Qué parámetros utiliza el sistema MELD para priorizar el trasplante hepático?,"Bilirrubina sérica, INR y creatinina sérica."
Trasplante hepático: Se pone en lista de espera a pacientes con cirrosis descompensada y un MELD mayor a _____.,10
¿Cuál es la indicación más frecuente de trasplante hepático en la población pediátrica?,Atresia de vías biliares.
¿Qué tipo de compatibilidad NO es necesaria para un trasplante hepático?,Compatibilidad HLA.
Tipos de rechazo: El rechazo que ocurre entre el día 4 y 14 posoperatorio se denomina _____.,Agudo celular o reversible.
